RA,Dec,Name1,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
09:27:12.65,+29:43:44.1,J0927+2943,J0927+2943,0.713,0.713,spec,spec,09:27:12.65,+29:43:44.1,141.80270833333333,29.728916666666667,09:27:12.65,+29:43:44.1,141.80270833333333,29.728916666666667,J2000,Optical,SDSS,Binary AGN Candidate,18.35,V,apparent mag,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014 ; Liu+2014 ; Eracleous+2012 ; Runnoe+2015 ; Runnoe+2017 ; Nguyen+2020,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L ; 2014ApJ...789..140L ; 2012ApJS..201...23E ; 2015ApJS..221....7R ; 2017MNRAS.468.1683R ; 2020ApJ...894..105N,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572 ; https://doi.org/10.1088/0004-637X/789/2/140 ; doi:10.1088/0067-0049/201/2/23 ; https://doi.org/10.1088/0067-0049/221/1/7 ; https://doi.org/10.1093/mnras/stx452 ; https://doi.org/10.3847/1538-4357/ab88b5,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario. 
09:32:01.60,+03:18:58.7,J0932+0318,J0932+0318,0.42,0.42,spec,spec,09:32:01.60,+03:18:58.7,143.00666666666663,3.316305555555555,09:32:01.60,+03:18:58.7,143.00666666666663,3.316305555555555,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario.
10:00:21.80,+22:33:18.6,J1000+2233,J1000+2233,0.419,0.419,spec,spec,10:00:21.80,+22:33:18.6,150.0908333333333,22.55516666666667,10:00:21.80,+22:33:18.6,150.0908333333333,22.55516666666667,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario.
10:12:26.86,+26:13:27.3,J1012+2613,J1012+2613,0.378,0.378,spec,spec,10:12:26.86,+26:13:27.3,153.11191666666664,26.224249999999998,10:12:26.86,+26:13:27.3,153.11191666666664,26.224249999999998,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario.
10:50:41.36,+34:56:31.4,J1050+3456,J1050+3456,0.272,0.272,spec,spec,10:50:41.36,+34:56:31.4,162.67233333333334,34.942055555555555,10:50:41.36,+34:56:31.4,162.67233333333334,34.942055555555555,J2000,Optical,SDSS,Binary AGN Candidate,18.95,V,apparent mag,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014 ; Liu+2014 ; Eracleous+2012 ; Runnoe+2015 ; Runnoe+2017 ; Nguyen+2020,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L ; 2014ApJ...789..140L ; 2012ApJS..201...23E ; 2015ApJS..221....7R ; 2017MNRAS.468.1683R ; 2020ApJ...894..105N,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572 ; https://doi.org/10.1088/0004-637X/789/2/140 ; doi:10.1088/0067-0049/201/2/23 ; https://doi.org/10.1088/0067-0049/221/1/7 ; https://doi.org/10.1093/mnras/stx452 ; https://doi.org/10.3847/1538-4357/ab88b5,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario. 
11:54:49.42,+01:34:43.6,J1154+0134,J1154+0134,0.469,0.469,spec,spec,11:54:49.42,+01:34:43.6,178.70591666666664,1.5787777777777778,11:54:49.42,+01:34:43.6,178.70591666666664,1.5787777777777778,J2000,Optical,SDSS,Binary AGN Candidate,17.94,V,apparent mag,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014 ; Liu+2014 ; Eracleous+2012 ; Runnoe+2015 ; Runnoe+2017 ; Nguyen+2020,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L ; 2014ApJ...789..140L ; 2012ApJS..201...23E ; 2015ApJS..221....7R ; 2017MNRAS.468.1683R ; 2020ApJ...894..105N,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572 ; https://doi.org/10.1088/0004-637X/789/2/140 ; doi:10.1088/0067-0049/201/2/23 ; https://doi.org/10.1088/0067-0049/221/1/7 ; https://doi.org/10.1093/mnras/stx452 ; https://doi.org/10.3847/1538-4357/ab88b5,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario.  Liu+2014 examined follow-up second-epoch spectra to monitor the velocity offset broad lines.
15:36:36.22,+04:41:27.0,J1536+0441,J1536+0441,0.389,0.389,spec,spec,15:36:36.22,+04:41:27.0,234.15091666666663,4.690833333333334,15:36:36.22,+04:41:27.0,234.15091666666663,4.690833333333334,J2000,Optical,SDSS,Binary AGN Candidate,17.07,V,apparent mag,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014 ; Eracleous+2012 ; Runnoe+2015 ; Runnoe+2017 ; Nguyen+2020,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L ; 2012ApJS..201...23E ; 2015ApJS..221....7R ; 2017MNRAS.468.1683R ; 2020ApJ...894..105N,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572 ; doi:10.1088/0067-0049/201/2/23 ; https://doi.org/10.1088/0067-0049/221/1/7 ; https://doi.org/10.1093/mnras/stx452 ; https://doi.org/10.3847/1538-4357/ab88b5,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario.
15:39:08.09,+33:33:28.0,J1539+3333,J1539+3333,0.226,0.226,spec,spec,15:39:08.09,+33:33:28.0,234.7837083333333,33.55777777777777,15:39:08.09,+33:33:28.0,234.7837083333333,33.55777777777777,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario.
17:14:48.51,+33:27:38.3,J1714+3327,J1714+3327,0.181,0.181,spec,spec,17:14:48.51,+33:27:38.3,258.70212499999997,33.460638888888894,17:14:48.51,+33:27:38.3,258.70212499999997,33.460638888888894,J2000,Optical,SDSS,Binary AGN Candidate,16.84,V,apparent mag,-100.0,-100,-100,3.0,0.0,Velocity Shifts between Narrow and Broad Lines,-99,Tsalmantza+2011 ; Decarli+2013 ; Lusso+2014 ; Eracleous+2012 ; Runnoe+2015 ; Runnoe+2017 ; Nguyen+2020,2011ApJ...738...20T ; 2013MNRAS.433.1492D ; 2014MNRAS.441..316L ; 2012ApJS..201...23E ; 2015ApJS..221....7R ; 2017MNRAS.468.1683R ; 2020ApJ...894..105N,https://doi:10.1088/0004-637X/738/1/20 ; https://doi.org/10.1093/mnras/stt831 ; https://doi.org/10.1093/mnras/stu572 ; doi:10.1088/0067-0049/201/2/23 ; https://doi.org/10.1088/0067-0049/221/1/7 ; https://doi.org/10.1093/mnras/stx452 ; https://doi.org/10.3847/1538-4357/ab88b5,  Decarli+ find most objects do not undergo significant profile or flux variation. Lusso+ fit the SEDs to search for evidence of peculiar properties that could be consistent with the recoil hypothesis. In a scenario where the recoils displaced from the center of the galaxy and has left the torus behind the AGN should show a deficit of 12um emission. They find that all objects in the sample (with the possible exception of J1154) exhibit a significant amount of 12um emission in contrast to the recoil scenario.
,,030100.23+000429.3,030100.23+000429.3,0.486,0.486,spec,spec,03:01:00.23,+00:04:29.3,45.25095833333333,0.07480555555555556,03:01:00.23,+00:04:29.3,45.25095833333333,0.07480555555555556,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Shen+2013,2013ApJ...775...49S,https://doi.org/10.1088/0004-637X/775/1/49, 
,,032213.89+005513.4,032213.89+005513.4,0.185,0.185,spec,spec,03:22:13.89,+00:55:13.4,50.557874999999996,0.9203888888888888,03:22:13.89,+00:55:13.4,50.557874999999996,0.9203888888888888,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Shen+2013 ; Liu+2014 ; Guo+2019,2013ApJ...775...49S ; 2014ApJ...789..140L ; 2019MNRAS.482.3288G,https://doi.org/10.1088/0004-637X/775/1/49 ; https://doi.org/10.1088/0004-637X/789/2/140 ; https://doi.org/10.1093/mnras/sty2920,  
,,122909.52-003530.0,122909.52-003530.0,0.45,0.45,spec,spec,12:29:09.52,-00:35:30.0,187.28966666666662,-0.5916666666666667,12:29:09.52,-00:35:30.0,187.28966666666662,-0.5916666666666667,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Shen+2013,2013ApJ...775...49S,https://doi.org/10.1088/0004-637X/775/1/49, 
,,141020.57+364322.7,141020.57+364322.7,0.45,0.45,spec,spec,14:10:20.57,+36:43:22.7,212.58570833333332,36.722972222222225,14:10:20.57,+36:43:22.7,212.58570833333332,36.722972222222225,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Shen+2013 ; Guo+2019,2013ApJ...775...49S ; 2019MNRAS.482.3288G,https://doi.org/10.1088/0004-637X/775/1/49 ; https://doi.org/10.1093/mnras/sty2920, 
,,153705.95+005522.8,153705.95+005522.8,0.137,0.137,spec,spec,15:37:05.95,+00:55:22.8,234.27479166666666,0.9229999999999999,15:37:05.95,+00:55:22.8,234.27479166666666,0.9229999999999999,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Shen+2013 ; Guo+2019,2013ApJ...775...49S ; 2019MNRAS.482.3288G,https://doi.org/10.1088/0004-637X/775/1/49 ; https://doi.org/10.1093/mnras/sty2920, 
,,155053.16+052112.1,155053.16+052112.1,0.11,0.11,spec,spec,15:50:53.16,+05:21:12.1,237.7215,5.353361111111111,15:50:53.16,+05:21:12.1,237.7215,5.353361111111111,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Shen+2013 ; Guo+2019,2013ApJ...775...49S ; 2019MNRAS.482.3288G,https://doi.org/10.1088/0004-637X/775/1/49 ; https://doi.org/10.1093/mnras/sty2920, 
,,234932.77-003645.8,234932.77-003645.8,0.279,0.279,spec,spec,23:49:32.77,-00:36:45.8,357.38654166666663,-0.6127222222222222,23:49:32.77,-00:36:45.8,357.38654166666663,-0.6127222222222222,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Shen+2013 ; Guo+2019,2013ApJ...775...49S ; 2019MNRAS.482.3288G,https://doi.org/10.1088/0004-637X/775/1/49 ; https://doi.org/10.1093/mnras/sty2920, 
