  1 J030558.72-005027.5 52289  802  71 0.154710 19.13              2-Type II
  2 J075055.44+354411.4 52017  543 224 0.135580 17.10              Unknown
  3 J103618.74+152310.1 54177 2594 244 0.065870 15.80              Unknown
  4 J103801.87+371643.2 53432 1973 625 0.119080 16.22              2-Type II
  5 J111834.31+294110.7 53793 2215 543 0.138940 18.11              Type II+SF
  6 J112555.93+142206.4 53385 1754 317 0.208830 18.78              Type II+SF
  7 J121900.51+152442.2 53436 1767 344 0.241500 17.72              2-SF
  8 J122222.25+022038.6 52282  518  28 0.111020 16.40              Unknown
  9 J122239.58+134638.5 53436 1767 218 0.080020 16.71              Unknown
 10 J130242.81+143405.4 53498 1771 111 0.142160 16.91              Unknown
 11 J135224.16+181144.3 54508 2756 262 0.168460 16.71              Unknown
 12 J143615.95+560124.1 52668 1162 448 0.140700 17.49              Unknown
 13 J144420.56+120742.9 53531 1712 158 0.029140 15.44              Unknown
 14 J145059.71-000215.2 51994  309 304 0.043080 13.85              Unknown
 15 J164648.33+262857.4 53260 1691 311 0.137350 16.76              2-Type II
 16 J002856.80+004037.7 51782  391 534 0.090060 16.68              Type II+SF
 17 J021242.27+002903.8 53763 1507 421 0.150020 17.48              Type II+SF
 18 J034508.79-005546.6 54465 2639  44 0.226760 18.22              Unknown
 19 J080030.74+440720.4 51876  437 361 0.131870 16.60              2-SF
 20 J081948.05+254329.0 52962 1585 450 0.082080 18.08              Type II+SF
 21 J094410.57+654744.8 54468 1788 442 0.138870 17.31              Type II+SF
 22 J100443.64+062555.0 52731  995 600 0.163760 19.17              2-Type II
 23 J102700.40+174901.0 54140 2591 480 0.066580 15.20              Unknown
 24 J102938.95+375030.0 53432 1973 405 0.151760 19.64              2-Type II
 25 J103846.97+155359.0 54177 2594 498 0.194230 17.82              Type II+SF
 26 J105045.75+664146.9 51929  490 430 0.098970 16.43              Unknown
 27 J111506.62+132913.0 53379 1752  54 0.169970 16.55              Unknown
 28 J112756.91+245934.1 54154 2497 593 0.115100 17.03              2-Type II
 29 J112850.25+190339.8 54180 2502 314 0.166330 17.82              2-SF
 30 J114617.47+145305.2 53415 1762 263 0.173420 18.05              2-Type II
 31 J123656.65+254129.8 54498 2659 611 0.087220 16.06              2-Type II
 32 J124132.12+535257.3 52673 1038 298 0.083270 15.80              2-Type II
 33 J135046.61+315138.4 53503 2024  20 0.105600 17.33              Unknown
 34 J135313.15+475256.9 52736 1284  38 0.124390 16.61              Unknown
 35 J135830.04+182736.1 54509 2757 382 0.063010 15.88              Type II+SF
 36 J140247.81+144900.8 54272 2744 124 0.225760 16.74              Unknown
 37 J142032.07+020351.5 51994  533  35 0.068740 15.87              2-Type II
 38 J142606.65+202831.6 54552 2787 183 0.076810 16.12              Type II+SF
 39 J143246.31-020617.7 52409  919 275 0.056270 15.11              2-Type II
 40 J143520.64+185842.7 54535 2775 431 0.180770 17.41              2-Type II
 41 J145320.90+060626.0 54560 1830 426 0.093900 16.75              Type II+SF
 42 J145857.24+090232.4 53884 1815 377 0.137920 16.86              2-SF
 43 J151109.24-015229.7 52404  923 238 0.124740 17.67              Unknown
 44 J151706.75+060645.7 54561 1833 545 0.044910 15.83              2-SF
 45 J151713.62+331008.6 53116 1386 173 0.082200 16.05              2-Type II
 46 J154412.23+274955.6 53534 1653 154 0.116290 17.72              2-SF
 47 J155708.82+273518.7 52822 1392 400 0.124170 16.27              Unknown
 48 J160102.81+070612.1 53858 1729 400 0.139390 17.61              Type II+SF
 49 J161037.33+073852.3 53498 1730 180 0.130230 17.43              Type II+SF
 50 J204631.42+001708.8 52466  982 416 0.137170 17.25              2-SF
 51 J205708.39+010805.2 52442  984 369 0.060500 16.44              Unknown
 52 J220329.87+123327.6 52519  735 302 0.151040 17.62              2-Type II
 53 J220804.49+010805.8 51788  373 523 0.085490 15.56              Unknown
 54 J221924.98-093821.6 52203  719   7 0.094870 15.95              2-SF
