SDSSJ0006+0026A SDSSJ0006+0026B 2.510        28.0               42.4 00 06 14.00 +00 26 05.0 20.85 20.09 19.98 19.95 19.81 00 06 14.70 +00 26 30.9 21.04 20.16 19.83 19.70 19.78
SDSSJ0015+0048A SDSSJ0015+0049B 2.312        53.5                5.4 00 15 57.08 +00 48 22.4 20.74 19.95 19.63 19.57 19.29 00 15 55.27 +00 49 08.5 21.12 20.38 20.08 19.96 19.87
SDSSJ0022+1555A SDSSJ0022+1554B 3.298        49.4                3.3 00 22 26.99 +15 55 31.9 23.54 20.61 20.21 20.10 20.10 00 22 28.65 +15 54 48.7 21.77 20.42 19.96 19.85 20.12
SDSSJ0049-0031A SDSSJ0049-0032B 4.163        56.0                9.3 00 49 05.94 -00 31 34.4 24.79 21.91 20.45 20.03 19.84 00 49 03.00 -00 32 08.8 23.59 20.61 19.36 18.84 18.59
SDSSJ0050-0023A SDSSJ0050-0023B 2.694        53.9                2.3 00 50 11.17 -00 23 12.4 21.80 20.77 20.53 20.45 20.29 00 50 07.67 -00 23 24.0 20.83 19.92 19.67 19.62 19.68
SDSSJ0115-0905A SDSSJ0115-0904B 2.234        55.2               82.6 01 15 13.10 -09 05 32.8 19.96 19.05 18.92 18.86 18.66 01 15 11.11 -09 04 46.1 20.18 19.99 19.94 19.81 19.52
SDSSJ0119+1411A SDSSJ0119+1411B 2.201        24.5               19.2 01 19 09.07 +14 11 15.0 19.88 19.66 19.55 19.49 19.31 01 19 10.68 +14 11 22.6 20.05 20.08 19.92 19.96 19.73
SDSSJ0158-0049A SDSSJ0158-0049B 2.849        40.5               11.8 01 58 51.37 -00 49 09.8 22.39 21.03 20.95 20.74 20.56 01 58 53.42 -00 49 36.3 20.78 20.00 19.73 19.55 19.63
SDSSJ0159+0106A SDSSJ0159+0106B 3.088        53.5                6.8 01 59 07.22 +01 06 52.6 22.25 20.83 20.28 20.08 20.04 01 59 10.79 +01 06 52.9 24.61 21.30 20.72 20.48 20.67
SDSSJ0204+0058A SDSSJ0204+0058B 2.788        17.7               11.1 02 04 37.36 +00 58 21.2 21.08 20.29 20.15 20.07 19.96 02 04 36.18 +00 58 19.8 20.68 19.69 19.43 19.36 19.47
SDSSJ0204-0010A SDSSJ0205-0011B 2.575        28.5               16.4 02 04 59.89 -00 10 48.6 21.16 20.39 20.04 19.96 19.74 02 05 01.18 -00 11 09.6 19.11 18.30 18.02 17.95 18.00
SDSSJ0209+0027A SDSSJ0209+0027B 2.716        17.6               31.8 02 09 48.58 +00 27 26.7 19.87 18.59 18.28 18.17 18.09 02 09 49.51 +00 27 37.6 19.27 18.13 17.67 17.54 17.44
SDSSJ0210-0946A SDSSJ0210-0946B 3.002        18.9               23.7 02 10 56.35 -09 46 31.1 21.37 19.71 19.47 19.38 19.36 02 10 56.04 -09 46 49.4 21.78 21.07 20.66 20.43 20.67
SDSSJ0213-0045A SDSSJ0213-0044B 2.745        27.6               30.0 02 13 07.95 -00 45 04.6 20.92 19.62 19.45 19.44 19.26 02 13 08.41 -00 44 37.9 18.88 18.01 17.76 17.64 17.62
SDSSJ0217-0834A SDSSJ0217-0834B 2.746        23.5                7.9 02 17 28.92 -08 34 07.3 21.41 20.30 20.11 20.12 19.92 02 17 28.86 -08 34 30.8 19.99 19.10 18.86 18.78 18.75
SDSSJ0244-0004A SDSSJ0244-0005B 2.813        42.9                6.4 02 44 13.76 -00 04 47.6 21.79 20.33 20.03 19.82 19.90 02 44 16.37 -00 05 05.1 19.34 18.20 17.83 17.68 17.69
SDSSJ0246-0008A SDSSJ0246-0009B 2.612        25.6               17.6 02 46 59.35 -00 08 47.3 20.98 20.37 20.13 20.21 19.78 02 46 59.34 -00 09 12.9 20.56 19.69 19.47 19.40 19.33
SDSSJ0249+0039A SDSSJ0249+0039B 2.164         4.9              128.3 02 49 07.77 +00 39 17.1 19.60 19.28 19.06 18.92 18.73 02 49 07.86 +00 39 12.4 20.74 20.33 20.38 20.53 20.57
SDSSJ0257+0005A SDSSJ0257+0005B 2.664        18.5               51.9 02 57 54.14 +00 05 06.4 20.42 19.52 19.30 19.02 18.81 02 57 54.90 +00 05 21.0 20.21 19.34 19.12 19.01 19.03
SDSSJ0259+0018A SDSSJ0259+0018B 2.862        15.5               22.8 02 59 11.84 +00 18 12.7 20.44 19.21 19.09 18.99 19.12 02 59 11.26 +00 18 25.6 21.08 20.34 20.01 19.94 19.92
SDSSJ0300+0038A SDSSJ0300+0038B 2.633        20.0                6.2 03 00 31.57 +00 38 32.3 19.16 18.56 18.29 18.15 18.24 03 00 30.26 +00 38 29.0 20.90 20.09 19.86 19.75 19.82
SDSSJ0317+0003A SDSSJ0317+0002B 2.021        14.6               60.4 03 17 02.75 +00 03 01.8 19.20 19.48 19.61 19.35 19.24 03 17 01.83 +00 02 57.0 21.16 20.90 20.86 20.64 20.66
SDSSJ0323-0108A SDSSJ0323-0108B 2.502        54.1               47.4 03 23 15.16 -01 08 31.8 20.01 19.49 19.40 19.42 19.23 03 23 12.18 -01 08 01.1 21.58 20.59 20.37 20.30 20.73
