SDSSJ0005+0103A SDSSJ0005+0102B 1.634 2.117  42.7       259.7   40.5 00 05 00.84 +01 03 03.3 19.50 19.26 19.20 18.93 18.81 00 05 00.54 +01 02 20.8 18.67 18.45 18.33 18.27 18.10
SDSSJ0008-0039A SDSSJ0008-0039B 1.612 1.937  27.7       168.6   28.8 00 08 04.23 -00 39 23.0 20.79 20.41 20.25 19.97 19.72 00 08 05.18 -00 39 46.8 20.53 20.53 20.56 20.16 20.11
SDSSJ0008-0039A SDSSJ0008-0039B 1.612 2.112  16.9       102.9   30.5 00 08 04.23 -00 39 23.0 20.79 20.41 20.25 19.97 19.72 00 08 03.88 -00 39 39.1 20.44 20.34 20.28 20.14 19.92
SDSSJ0008-0039A SDSSJ0008-0039B 1.937 2.112  21.0       126.7   15.5 00 08 05.18 -00 39 46.8 20.53 20.53 20.56 20.16 20.11 00 08 03.88 -00 39 39.1 20.44 20.34 20.28 20.14 19.92
SDSSJ0010-0018A SDSSJ0010-0017B 0.893 1.297  86.7       480.0   48.6 00 10 47.99 -00 18 30.2 20.59 20.44 20.32 20.46 20.26 00 10 43.85 -00 17 29.7 20.39 20.33 20.01 19.96 20.02
SDSSJ0012+0052A SDSSJ0012+0053B 1.634 1.649  16.0        97.3   59.8 00 12 01.88 +00 52 59.7 21.53 20.82 20.33 19.83 19.63 00 12 02.35 +00 53 14.1 21.03 20.82 20.51 20.22 20.10
SDSSJ0012+0114A SDSSJ0012+0115B 1.091 1.177  85.2       496.1  325.4 00 12 55.70 +01 14 09.5 20.77 19.80 19.36 19.15 19.08 00 12 57.90 +01 15 28.0 19.55 19.55 19.24 19.16 19.28
SDSSJ0016+0055A SDSSJ0016+0056B 1.753 1.880  44.2       268.1 1221.4 00 16 57.00 +00 55 32.0 19.05 19.01 19.06 18.88 18.84 00 16 57.76 +00 56 14.7 19.95 19.58 19.12 18.51 18.32
SDSSJ0028-0027A SDSSJ0028-0027B 0.728 1.203  64.7       333.3  158.4 00 28 44.89 -00 27 57.4 20.77 20.09 19.71 19.58 19.22 00 28 41.80 -00 27 12.3 20.03 20.26 19.82 19.84 19.87
SDSSJ0031+0034A SDSSJ0031+0033B 2.256 2.738  61.9       366.6   30.9 00 31 35.58 +00 34 21.3 19.38 18.51 18.37 18.37 18.10 00 31 38.18 +00 33 33.3 20.00 19.09 18.93 18.90 18.88
SDSSJ0033-0004A SDSSJ0033-0004B 1.745 2.063  89.9       545.7   49.2 00 33 38.32 -00 04 54.4 20.97 20.43 20.27 19.84 19.88 00 33 33.22 -00 04 07.4 20.02 19.76 19.63 19.44 19.10
SDSSJ0034-0009A SDSSJ0034-0009B 1.495 1.670  51.2       310.2   38.4 00 34 31.79 -00 09 57.5 20.00 19.72 19.51 19.29 19.37 00 34 35.14 -00 09 47.8 20.03 19.82 19.79 19.51 19.38
SDSSJ0040+0055A SDSSJ0040+0055B 2.030 2.092   8.5        51.3   15.3 00 40 18.22 +00 55 31.0 19.03 18.81 18.64 18.57 18.44 00 40 18.68 +00 55 25.9 19.53 19.32 19.19 19.03 18.79
SDSSJ0044+0018A SDSSJ0044+0019B 1.872 1.880  88.6       536.1   41.8 00 44 39.33 +00 18 22.9 18.34 18.36 18.18 17.94 17.89 00 44 34.09 +00 19 03.5 19.03 19.14 19.15 18.82 18.95
SDSSJ0049+0003A SDSSJ0049+0004B 1.121 1.336  71.5       418.9   72.9 00 49 51.99 +00 03 44.1 18.82 19.42 19.06 19.21 19.27 00 49 55.91 +00 04 24.8 19.03 20.00 19.80 19.83 20.06
SDSSJ0049+0003A SDSSJ0049+0003B 1.121 1.330  21.3       124.9   65.9 00 49 51.99 +00 03 44.1 18.82 19.42 19.06 19.21 19.27 00 49 50.92 +00 03 30.1 19.27 19.75 19.52 19.37 19.42
SDSSJ0051+0038A SDSSJ0051+0037B 1.932 2.011  74.5       449.9   19.2 00 51 09.49 +00 38 39.1 19.96 19.88 19.78 19.64 19.59 00 51 13.69 +00 37 59.2 20.10 19.94 19.99 19.90 19.63
SDSSJ0055-0002A SDSSJ0056-0002B 2.112 2.375  83.8       501.5   27.1 00 55 57.05 -00 02 17.3 20.31 20.20 20.13 20.10 19.82 00 56 02.55 -00 02 03.0 20.37 19.87 19.82 19.75 19.34
SDSSJ0058+0013A SDSSJ0058+0013B 1.240 1.678  29.9       178.0  115.2 00 58 28.94 +00 13 46.8 20.11 20.06 19.72 19.81 19.91 00 58 29.44 +00 13 17.9 20.90 20.43 20.21 19.81 19.95
SDSSJ0103+1501A SDSSJ0103+1501B 1.319 1.747  22.2       133.5   99.2 01 03 48.15 +15 01 57.3 18.83 19.03 18.70 18.70 18.81 01 03 49.30 +15 01 42.7 17.21 17.25 17.25 17.10 17.15
