000439.57-004319.2   1.164883  -0.722014 2.4211 21.475 0.179 20.633 0.039 20.018 0.028 19.751 0.031 19.484 0.076 0.076 1        1 1755   0 2 384  406 52203  685  22
001509.46+351111.6   3.789439  35.186576 2.4736 20.177 0.040 19.539 0.019 19.319 0.019 19.218 0.019 18.960 0.041 0.041 0     8192 3366  20 5  22  473 52999 1468 268
001510.37+354004.9   3.793231  35.668044 2.9886 20.980 0.087 19.467 0.023 19.187 0.024 19.153 0.026 19.002 0.042 0.042 0        4 3367  20 6  25  511 52999 1468 386
001552.04+352216.4   3.966839  35.371239 0.7361 19.225 0.025 19.003 0.016 19.037 0.014 19.082 0.018 18.956 0.039 0.039 0        4 3366  20 5  24   82 52999 1468 426
001628.24+344434.9   4.117698  34.743040 1.2350 18.938 0.024 18.909 0.014 18.709 0.013 18.709 0.014 18.803 0.043 0.043 0        4 3366  20 4  21  124 52999 1468 221
001647.26+344255.5   4.196927  34.715429 1.2713 19.275 0.035 19.605 0.034 19.136 0.024 19.169 0.035 19.167 0.061 0.061 0        4 3367  20 4  21  284 52999 1468 230
001708.65+350708.7   4.286060  35.119097 2.2968 19.150 0.025 18.714 0.013 18.703 0.013 18.636 0.014 18.369 0.033 0.033 0        4 3366  20 4  23  158 52999 1468 193
001717.52+354253.5   4.323039  35.714864 0.3482 20.289 0.045 19.765 0.017 19.175 0.015 18.894 0.016 18.480 0.028 0.028 1        4 3366  20 5  27  341 52999 1468 428
001737.81+362738.3   4.407551  36.460646 1.8465 19.789 0.038 19.673 0.022 19.549 0.016 19.199 0.019 19.126 0.049 0.049 0        4 3366  20 6  31  409 52999 1468 324
001759.96+360822.9   4.499869  36.139705 1.9258 19.176 0.034 19.009 0.018 18.763 0.013 18.439 0.016 18.273 0.028 0.028 0        4 3366  20 5  30   65 52999 1468 374
001805.49+354051.2   4.522893  35.680912 0.7675 19.432 0.028 19.085 0.016 18.990 0.033 19.051 0.018 18.977 0.043 0.043 0        4 3367  20 5  28   66 52999 1468 467
001813.29+361058.5   4.555405  36.182936 2.3164 18.415 0.026 17.900 0.017 17.835 0.012 17.605 0.014 17.275 0.020 0.020 0        4 3366  20 5  30  191 52999 1468 377
001826.53+361628.9   4.610559  36.274707 1.3399 19.633 0.033 19.640 0.018 19.313 0.014 19.218 0.021 19.255 0.052 0.052 0        4 3366  20 5  31   75 52999 1468 372
001835.45+352042.4   4.647748  35.345118 0.4093 21.194 0.097 20.735 0.067 19.751 0.066 19.199 0.066 18.784 0.044 0.044 1        4 3366  20 4  26   94 52999 1468 480
001847.44+341209.5   4.697702  34.202660 0.4474 17.675 0.018 17.512 0.012 17.711 0.013 17.624 0.014 17.416 0.018 0.018 0        4 3366  20 2  20   18 52999 1468 208
001850.67+354636.4   4.711133  35.776798 1.4886 20.074 0.040 19.687 0.023 19.279 0.024 18.898 0.018 18.751 0.035 0.035 0        4 3367  20 5  29   70 52999 1468 463
002024.77+345133.3   5.103249  34.859276 2.4947 20.679 0.058 19.580 0.019 19.307 0.023 18.975 0.034 18.610 0.032 0.032 0     8192 3367  20 3  25  409 52999 1468 164
002058.23+335409.6   5.242658  33.902689 2.9947 20.736 0.055 19.530 0.015 19.291 0.018 19.219 0.022 19.238 0.052 0.052 0     8192 3366  20 1  20  263 52999 1468  98
002131.42+345836.2   5.380952  34.976735 2.1079 19.566 0.030 19.488 0.016 19.400 0.017 19.188 0.019 18.922 0.038 0.038 0        4 3366  20 2  26  158 52999 1468 149
002136.76+362645.1   5.403174  36.445888 1.4774 18.500 0.022 18.300 0.012 18.065 0.015 17.818 0.014 17.798 0.022 0.022 0        4 3366  20 4  34  189 52999 1468 522
002137.38+341814.8   5.405764  34.304123 0.2917 19.602 0.027 19.520 0.017 19.247 0.015 19.158 0.020 18.539 0.032 0.032 1        4 3366  20 1  23   12 52999 1468  51
002137.69+361853.3   5.407064  36.314812 0.2190 20.176 0.049 19.964 0.023 19.405 0.019 18.867 0.018 18.755 0.041 0.041 1        4 3366  20 4  33  476 52999 1468 532
002154.54+352640.1   5.477276  35.444485 0.9692 19.058 0.023 18.841 0.017 18.635 0.019 18.707 0.020 18.510 0.033 0.033 0        4 3367  20 3  29  279 52999 1468 512
002223.93+355717.8   5.599748  35.954968 3.0929 20.533 0.054 19.015 0.015 18.819 0.017 18.872 0.018 18.741 0.037 0.037 0     8192 3366  20 3  32  290 52999 1468 516
002232.88+362322.4   5.637039  36.389559 0.4305 19.675 0.032 19.448 0.016 19.336 0.018 19.105 0.018 18.828 0.044 0.044 1        4 3367  20 4  35  170 52999 1468 575
002300.49+363550.7   5.752067  36.597424 2.0055 18.773 0.023 18.633 0.015 18.440 0.013 18.277 0.015 18.092 0.028 0.028 0        4 3366  20 4  36  260 52999 1468 566
002336.13+351601.1   5.900563  35.266998 2.1757 19.205 0.027 18.876 0.015 18.652 0.012 18.442 0.011 18.189 0.025 0.025 0        4 3366  20 2  29  216 52999 1468  73
002443.58+354937.3   6.181594  35.827053 2.2088 19.445 0.030 18.969 0.014 18.809 0.016 18.703 0.015 18.414 0.033 0.033 0        4 3366  20 2  33  277 52999 1468 582
002445.95+345903.4   6.191484  34.984281 0.7246 20.149 0.039 19.545 0.023 19.237 0.014 19.004 0.016 18.812 0.040 0.040 0        4 3366  20 1  29   74 52999 1468  29
002520.16+344316.7   6.334002  34.721315 0.8961 19.626 0.030 19.016 0.015 18.570 0.021 18.303 0.019 18.086 0.024 0.024 0        4 3367  20 1  28  236 52999 1468  27
