,zem,mag,n_mag,zem2,mag2,n_mag2,Sep,RA1,Dec1,RA2,Dec2,Equinox,Coordinate_waveband,Coordinate_Source,Brightness_type1,Brightness_type2,delta_z,dV,Sep(kpc),Paper(s),bibcode(s),DOI(s),RA1_deg,Dec1_deg,RA2_deg,Dec2_deg
0,2.995,19.5,g,2.983,18.6,g,13.7,11:16:10.7,+41:18:14.5,11:16:11.7,+41:18:21.5,J2000,NA,NA,-100,-100,0.01200000000000001,899.4715172807855,105.5875256943898,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,169.04458333333332,41.304027777777776,169.04874999999998,41.305972222222216
1,1.893,20.2,g,1.878,16.8,g,15.0,9:9:23.1,+0:2:3.9,9:9:24.0,+0:2:11.0,J2000,NA,NA,-100,-100,0.015000000000000124,1554.3128401287397,126.22622305112897,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,137.34625,0.034416666666666665,137.34999999999997,0.03638888888888889
2,1.89,20.2,g,1.881,19.1,g,24.8,11:7:27.1,+0:34:7.3,11:7:25.7,+0:33:53.6,J2000,NA,NA,-100,-100,0.008999999999999897,932.5917363413407,208.72111140990242,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,166.86291666666665,0.5686944444444444,166.85708333333332,0.5648888888888889
3,2.389,20.0,bJ,2.384,20.1,bJ,33.2,14:35:6.4,+0:9:1.5,14:35:8.3,+0:8:44.4,J2000,NA,NA,-100,-100,0.004999999999999893,441.45849262083084,270.5024548764224,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,218.77666666666664,0.15041666666666667,218.7845833333333,0.14566666666666667
4,1.932,19.4,bJ,1.927,20.2,bJ,49.5,23:9:11.9,-27:32:27.1,23:9:15.3,-27:32:45.3,J2000,NA,NA,-100,-100,0.004999999999999893,510.3256225416034,415.80600808183544,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,347.29958333333326,-27.540861111111113,347.3137499999999,-27.545916666666667
5,3.242,18.7,V,3.227,21.2,V,61.5,21:42:25.9,-44:20:17.0,21:42:22.2,-44:19:30.0,J2000,NA,NA,-100,-100,0.015000000000000124,1059.1536026633971,462.3739800408028,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,325.6079166666666,-44.338055555555556,325.5924999999999,-44.325
6,2.995,20.5,g,2.984,19.6,g,68.2,10:16:5.8,+40:40:5.8,10:16:1.5,+40:40:52.9,J2000,NA,NA,-100,-100,0.01100000000000012,824.4125201081398,525.6254928728018,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,154.02416666666667,40.668277777777774,154.00625,40.68136111111111
7,2.566,20.4,bJ,2.546,19.5,bJ,71.9,3:10:36.5,-30:51:8.4,3:10:41.1,-30:50:27.5,J2000,NA,NA,-100,-100,0.020000000000000018,1681.6514930998644,577.0531341981562,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,47.65208333333332,-30.852333333333334,47.67124999999999,-30.84097222222222
8,2.48,20.4,bJ,2.467,20.8,bJ,74.0,12:12:51.1,-0:53:42.2,12:12:56.1,-0:53:36.5,J2000,NA,NA,-100,-100,0.0129999999999999,1119.040273075276,598.3686569043243,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,183.21291666666662,-0.8950555555555555,183.23375,-0.8934722222222222
9,1.878,19.2,g,1.875,18.3,g,88.6,0:44:34.1,+0:19:3.5,0:44:39.3,+0:18:22.8,J2000,NA,NA,-100,-100,0.0029999999999998916,311.83721747985305,746.0524523853601,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,11.142083333333332,0.31763888888888886,11.163749999999999,0.30633333333333335
10,2.377,18.8,g,2.375,19.0,g,119.7,15:9:32.2,+50:57:51.5,15:9:25.6,+50:56:9.3,J2000,NA,NA,-100,-100,0.0019999999999997797,177.13268588025952,976.2243664951963,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,227.38416666666666,50.964305555555555,227.35666666666665,50.935916666666664
11,1.98,19.6,r,1.979,19.3,g,120.0,2:9:54.8,-10:2:23.0,2:10:0.1,-10:3:54.0,J2000,NA,NA,-100,-100,0.0009999999999998899,100.35240529609263,1005.5857510785112,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,32.478333333333325,-10.039722222222222,32.500416666666666,-10.065000000000001
12,2.192,19.8,g,2.172,18.8,g,126.1,15:48:50.2,+53:38:43.0,15:48:40.8,+53:37:8.6,J2000,NA,NA,-100,-100,0.020000000000000018,1879.3026208605204,1042.923514020253,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,237.20916666666665,53.64527777777778,237.17,53.619055555555555
13,2.52,18.9,g,2.517,18.8,g,138.3,11:43:17.0,+13:24:0.8,11:43:23.4,+13:25:42.0,J2000,NA,NA,-100,-100,0.0030000000000001137,254.93813755091313,1114.4553581875784,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,175.82083333333333,13.400222222222222,175.8475,13.428333333333333
14,2.055,20.1,g,2.048,18.7,g,149.3,11:45:53.7,-0:33:4.5,11:45:47.5,-0:31:6.7,J2000,NA,NA,-100,-100,0.007000000000000117,685.8912818433304,1245.8527248654327,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,176.47374999999997,-0.55125,176.44791666666666,-0.5185277777777778
15,2.049,19.7,g,2.037,19.9,g,160.6,17:18:37.2,+30:28:52.0,17:18:45.0,+30:26:47.0,J2000,NA,NA,-100,-100,0.01200000000000001,1179.094988760652,1340.6241393775338,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,259.655,30.481111111111108,259.68749999999994,30.44638888888889
16,2.007,18.5,g,1.987,20.3,g,169.8,16:50:51.1,+34:43:10.0,16:50:43.3,+34:45:30.0,J2000,NA,NA,-100,-100,0.020000000000000018,1995.3064475169504,1420.831088685729,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,252.71291666666664,34.71944444444445,252.68041666666662,34.75833333333333
17,3.768,20.6,g,3.748,19.8,g,182.6,9:44:53.8,+50:43:0.0,9:45:8.0,+50:40:57.0,J2000,NA,NA,-100,-100,0.019999999999999574,1256.8250493933497,1300.4071947611208,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,146.22416666666663,50.71666666666667,146.28333333333333,50.6825
18,2.654,20.6,g,2.633,19.0,g,191.0,10:40:19.1,+32:21:56.4,10:40:4.0,+32:21:50.6,J2000,NA,NA,-100,-100,0.020999999999999908,1723.3286271904306,1520.8220057532164,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,160.0795833333333,32.36566666666667,160.01666666666665,32.36405555555556
19,3.242,20.5,g,3.239,20.3,g,191.1,8:3:5.8,+50:32:15.3,8:3:21.3,+50:34:17.4,J2000,NA,NA,-100,-100,0.0030000000000001137,211.53163253434204,1436.7425623706897,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,120.77416666666667,50.53758333333333,120.83874999999999,50.5715
20,2.543,19.0,g,2.538,19.0,g,194.2,9:46:42.4,+33:7:54.8,9:46:56.2,+33:6:25.8,J2000,NA,NA,-100,-100,0.0050000000000003375,422.25653286145354,1561.770121827649,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,146.67666666666668,33.13188888888889,146.73416666666665,33.10716666666667
21,3.122,19.3,g,3.118,17.7,g,196.4,12:9:10.7,+11:35:45.2,12:9:17.9,+11:38:30.4,J2000,NA,NA,-100,-100,0.0040000000000000036,290.2911937290612,1494.623900004277,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,182.29458333333332,11.59588888888889,182.3245833333333,11.641777777777778
22,2.129,18.8,g,2.117,20.1,g,245.0,17:30:42.4,+54:56:1.1,17:30:14.7,+54:56:57.5,J2000,NA,NA,-100,-100,0.01200000000000001,1148.8910522892024,2034.9790900712644,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,262.6766666666666,54.933638888888886,262.56125,54.949305555555554
23,2.302,20.4,g,2.298,19.2,g,261.9,9:45:5.9,-0:46:44.9,9:44:54.2,-0:43:30.4,J2000,NA,NA,-100,-100,0.0040000000000000036,362.424109302448,2148.616225587593,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,146.2745833333333,-0.7791388888888889,146.2258333333333,-0.7251111111111112
24,3.321,19.9,g,3.311,18.7,g,269.5,8:36:59.8,+35:10:19.4,8:37:0.8,+35:5:50.2,J2000,NA,NA,-100,-100,0.010000000000000231,692.7701545870996,2009.9092629976506,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,129.24916666666664,35.17205555555555,129.25333333333333,35.097277777777784
25,2.198,19.4,g,2.194,19.5,g,299.2,14:20:46.0,-0:5:18.0,14:20:55.6,-0:9:40.0,J2000,NA,NA,-100,-100,0.0040000000000000036,374.21762567039906,2473.522485966822,Kirkman+2008,2008MNRAS.391.1457K,https://doi.org/10.1111/j.1365-2966.2008.13994.x,215.19166666666666,-0.08833333333333333,215.23166666666665,-0.1611111111111111
