index,SDSS1,Plate1,Fiber1,MJD1,z1,sep1,rp1,dV1,rmag1,FAGN1,FTid1,RA1,Dec1,GroupID,GroupNum1,ComponentID1,SDSS2,Plate2,Fiber2,MJD2,z2,sep2,rp2,dV2,rmag2,FAGN2,FTid2,RA2,Dec2,GroupNum2,ComponentID2,Sep,Sep(kpc),ratio,dV_rwp,z1_type,z2_type,Paper(s),BibCode(s),DOI(s),rat
0,J000249.07+004504.8,388,345,51793,0.0868,5.9,9.5,63,16.08,0,3,00:02:49.07,+00:45:04.8,89,2,1,J000249.44+004506.7,685,593,52203,0.0865,5.9,9.5,63,16.43,1,3,00:02:49.44,+00:45:06.7,2,2,5.865765071553234,9.534117089044093,1.22002971545177,82.54727675956427,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.6253833852434687
1,J000257.21+000750.5,685,531,52203,0.0901,45.4,76.0,109,16.15,2,2,00:02:57.21,+00:07:50.5,544,2,1,J000258.59+000831.0,387,72,51791,0.0897,45.4,76.0,109,16.67,2,2,00:02:58.59,+00:08:31.0,2,2,45.48337688731339,76.44641007118933,1.22002971545177,109.73483436337021,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.680754932963485
2,J000323.74+010547.3,1490,321,52994,0.0993,12.2,22.4,22,17.98,2,2,00:03:23.74,+01:05:47.3,183,2,1,J000323.74+010559.5,387,620,51791,0.0994,12.2,22.4,22,17.42,2,2,00:03:23.74,+01:05:59.5,2,2,12.19999999999931,22.36085687731286,1.22002971545177,-27.197889605813938,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.8328571210913216
3,J000425.78-095854.4,650,598,52143,0.1122,24.1,49.1,53,16.41,0,2,00:04:25.78,-09:58:54.4,315,2,1,J000426.66-095834.4,651,392,52141,0.112,24.1,49.1,53,16.57,2,2,00:04:26.66,-09:58:34.4,2,2,23.85388524267597,48.677088255153095,1.22002971545177,53.772142358121,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.040635634821743
4,J000431.92-011411.7,388,282,51793,0.0887,42.3,70.1,45,17.22,0,0,00:04:31.92,-01:14:11.7,511,2,1,J000433.25-011334.4,1490,241,52994,0.0889,42.3,70.1,45,18.47,2,0,00:04:33.25,-01:13:34.4,2,2,42.297856764701855,70.10095305648748,1.22002971545177,-54.9228503816616,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.6573169048836462
5,J000621.33-100412.6,651,228,52141,0.1062,45.6,88.3,165,17.46,0,1,00:06:21.33,-10:04:12.6,547,2,1,J000623.74-100345.0,650,33,52143,0.1056,45.6,88.3,165,17.34,1,1,00:06:23.74,-10:03:45.0,2,2,45.040624678921034,87.59415886582008,1.22002971545177,162.22080368773248,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.94478117233605
6,J000700.56+005410.5,388,441,51793,0.0925,56.2,96.7,250,15.44,1,2,00:07:00.56,+00:54:10.5,634,2,1,J000704.18+005425.0,686,407,52519,0.0935,56.2,96.7,250,16.96,1,2,00:07:04.18,+00:54:25.0,2,2,56.19612581105498,96.69969977569548,1.22002971545177,-273.5589546471234,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.720753848776397
7,J000948.47+135819.8,752,283,52251,0.1179,7.9,16.7,281,17.39,1,2,00:09:48.47,+13:58:19.8,117,2,1,J000948.49+135811.9,751,3,52251,0.1169,7.9,16.7,281,17.92,2,2,00:09:48.49,+13:58:11.9,2,2,7.905362354502719,16.841984126509075,1.22002971545177,267.5854126831453,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.130450619624824
8,J000956.72+000958.4,686,558,52519,0.1023,36.7,69.3,114,16.65,1,0,00:09:56.72,+00:09:58.4,448,2,1,J000958.76+000938.2,389,360,51795,0.1027,36.7,69.3,114,16.81,2,0,00:09:58.76,+00:09:38.2,2,2,36.665956719567795,68.99594495284816,1.22002971545177,-108.48072205369452,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.8817440243152468
9,J001010.89-001430.2,669,61,52559,0.114,4.0,8.3,182,17.26,1,2,00:10:10.89,-00:14:30.2,49,2,1,J001011.16-001430.8,389,315,51795,0.1133,4.0,8.3,182,16.84,2,2,00:10:11.16,-00:14:30.8,2,2,4.094167541452331,8.471359169347705,1.22002971545177,187.94053726649784,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,2.0691286039414614
