RA1,Dec1,Name1,Name2,z1,z2,z1_type,z2_type,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s)
14:15:15.6,+52:03:54,EGSD2 J141515.6+520354,-99,0.69304,-99,spec,-99,213.81499999999997,52.065,14:15:15.6,+52:03:54,213.81499999999997,52.065,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,89.9,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:14:17.6,+52:03:51,EGSD2 J141417.6+520351,-99,0.77447,-99,spec,-99,213.5733333333333,52.064166666666665,14:14:17.6,+52:03:51,213.5733333333333,52.064166666666665,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-72.9,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:15:23.5,+52:05:32,EGSD2 J141523.5+520532,-99,0.48214,-99,spec,-99,213.84791666666666,52.092222222222226,14:15:23.5,+52:05:32,213.84791666666666,52.092222222222226,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,103.9,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:15:47.7,+52:08:43,EGSD2 J141547.7+520843,-99,0.61916,-99,spec,-99,213.94874999999996,52.14527777777778,14:15:47.7,+52:08:43,213.94874999999996,52.14527777777778,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-203.0,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:14:58.0,+52:09:15,EGSD2 J141458.0+520915,-99,0.48358,-99,spec,-99,213.74166666666665,52.15416666666667,14:14:58.0,+52:09:15,213.74166666666665,52.15416666666667,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,76.1,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:14:33.1,+52:08:34,EGSD2 J141433.1+520834,-99,0.77156,-99,spec,-99,213.63791666666663,52.14277777777778,14:14:33.1,+52:08:34,213.63791666666663,52.14277777777778,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,178.7,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:16:43.2,+52:17:21,EGSD2 J141643.2+521721,-99,0.45095,-99,spec,-99,214.18,52.28916666666667,14:16:43.2,+52:17:21,214.18,52.28916666666667,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,77.0,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:17:32.6,+52:38:17,EGSD2 J141732.6+523817,-99,0.71671,-99,spec,-99,214.3858333333333,52.63805555555555,14:17:32.6,+52:38:17,214.3858333333333,52.63805555555555,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,211.5,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:17:11.0,+52:37:29,EGSD2 J141711.0+523729,-99,0.64395,-99,spec,-99,214.2958333333333,52.624722222222225,14:17:11.0,+52:37:29,214.2958333333333,52.624722222222225,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-92.1,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
14:18:39.2,+52:51:40,EGSD2 J141839.2+525140,-99,0.34514,-99,spec,-99,214.66333333333333,52.861111111111114,14:18:39.2,+52:51:40,214.66333333333333,52.861111111111114,J2000,Optical,EGSD2,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,71.4,Optical Spectroscopy / Slit Optical Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2009a,2009ApJ...698..956C,https://doi.org/10.1088/0004-637X/698/1/956
