System Type,Name1,Name2,Selection Method,Confirmation Method,zph1l,zph1m,zph1u,zsp1,f_zsp1,z1,z1_type,zph2l,zph2m,zph2u,zsp2,n_zsp2,z2,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,f_Sep,Paper(s),BibCode(s),DOI(s),Notes
Binary Quasar Candidate,J024037.34-070626.3,J024037.11-070623.9,Optical Photometry,-100,1.45,1.875,1.95,0.0,,1.875,phot,1.45,1.575,1.8,0.0,,1.575,phot,2:40:37.35,-7:6:26.3,40.15562499999999,-7.1073055555555555,2:40:37.11,-7:6:23.9,40.15462499999999,-7.106638888888889,J2000,Optical,SDSS,20.51,SDSS g,asinh mag,20.98,SDSS g,asinh mag,4.3,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J034134.90-063150.3,J034134.78-063145.7,Optical Photometry,-100,1.4,1.925,2.1,0.0,,1.925,phot,1.05,1.425,1.55,0.0,,1.425,phot,3:41:34.91,-6:31:50.4,55.39545833333333,-6.530666666666667,3:41:34.79,-6:31:45.7,55.39495833333333,-6.529361111111111,J2000,Optical,SDSS,19.67,SDSS g,asinh mag,21.18,SDSS g,asinh mag,5.01,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J071803.50+402102.6,J071803.09+402059.1,Optical Photometry,-100,1.65,1.925,2.1,0.0,,1.925,phot,1.6,1.775,2.0,0.0,,1.775,phot,7:18:3.51,+40:21:2.7,109.514625,40.35075,7:18:3.09,+40:20:59.2,109.51287499999998,40.34977777777778,J2000,Optical,SDSS,20.39,SDSS g,asinh mag,21.07,SDSS g,asinh mag,5.93,*,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J073009.55+354151.9,J073009.66+354149.2,Optical Photometry,-100,1.65,1.825,2.0,0.0,,1.825,phot,0.7,0.875,1.15,0.0,,0.875,phot,7:30:9.56,+35:41:52.0,112.53983333333332,35.69777777777777,7:30:9.66,+35:41:49.2,112.54024999999999,35.696999999999996,J2000,Optical,SDSS,20.7,SDSS g,asinh mag,20.99,SDSS g,asinh mag,3.06,*,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J075339.86+173410.6,J075340.08+173408.0,Optical Photometry,-100,0.85,0.975,1.4,0.0,,0.975,phot,1.05,1.275,1.4,0.0,,1.275,phot,7:53:39.87,+17:34:10.7,118.41612499999998,17.56963888888889,7:53:40.08,+17:34:8.0,118.41699999999999,17.56888888888889,J2000,Optical,SDSS,19.61,SDSS g,asinh mag,20.48,SDSS g,asinh mag,4.07,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J081313.10+541647.0,J081312.63+541649.9,Optical Photometry,-100,0.65,0.775,0.9,0.0,,0.775,phot,0.65,0.725,0.9,0.0,,0.725,phot,8:13:13.11,+54:16:47.0,123.30462499999999,54.27972222222222,8:13:12.64,+54:16:49.9,123.30266666666665,54.28052777777778,J2000,Optical,SDSS,17.4,SDSS g,asinh mag,20.25,SDSS g,asinh mag,5.04,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J081803.82+191703.4,J081804.05+191703.8,Optical Photometry,-100,1.5,1.725,2.0,0.0,,1.725,phot,1.5,1.775,2.05,0.0,,1.775,phot,8:18:3.83,+19:17:3.5,124.51595833333332,19.28430555555556,8:18:4.05,+19:17:3.8,124.516875,19.28438888888889,J2000,Optical,SDSS,20.14,SDSS g,asinh mag,21.17,SDSS g,asinh mag,3.2,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J084624.33+270958.3,J084624.50+271002.3,Optical Photometry,-100,1.9,2.175,2.25,0.0,,2.175,phot,2.05,2.175,2.35,0.0,,2.175,phot,8:46:24.34,+27:9:58.4,131.60141666666667,27.16622222222222,8:46:24.51,+27:10:2.4,131.602125,27.167333333333335,J2000,Optical,SDSS,20.66,SDSS g,asinh mag,20.62,SDSS g,asinh mag,4.64,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J085011.87+093122.0,J085011.82+093119.6,Optical Photometry,-100,0.4,0.675,0.9,0.0,,0.675,phot,0.65,0.775,0.95,0.0,,0.775,phot,8:50:11.87,+9:31:22.1,132.54945833333335,9.522805555555557,8:50:11.82,+9:31:19.7,132.54925,9.52213888888889,J2000,Optical,SDSS,21.17,SDSS g,asinh mag,21.15,SDSS g,asinh mag,2.5,*,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
Binary Quasar Candidate,J090018.12+031228.5,J090017.91+031231.9,Optical Photometry,-100,1.05,1.425,1.5,1.338,a,1.338,spec,1.4,1.575,2.0,0.0,,1.575,phot,9:0:18.13,+3:12:28.5,135.07554166666665,3.2079166666666667,9:0:17.91,+3:12:32.0,135.07462499999997,3.208888888888889,J2000,Optical,SDSS,19.65,SDSS g,asinh mag,20.79,SDSS g,asinh mag,4.68,,Myers+2007,2007ApJ...658...99M,https://doi.org/10.1086/511520,Spectroscopic follow-up is required.
