RA,Dec,RA_deg,Dec_deg
0:12:1.88,+0:52:59.7,3.007833333333333,0.88325
0:12:2.35,+0:53:14.1,3.0097916666666666,0.88725
0:14:20.18,+1:12:12.7,3.584083333333333,1.2035277777777778
0:14:27.94,+1:13:33.2,3.6164166666666664,1.225888888888889
0:14:53.36,-0:28:27.6,3.7223333333333333,-0.47433333333333333
0:14:57.58,-0:29:39.1,3.7399166666666663,-0.49419444444444444
0:25:44.61,-10:51:37.6,6.435875,-10.860444444444443
0:25:46.94,-10:48:54.3,6.4455833333333326,-10.815083333333334
0:33:25.4,-0:18:29.7,8.355833333333333,-0.30824999999999997
0:33:33.62,-0:18:58.2,8.390083333333333,-0.31616666666666665
0:3:50.76,-1:3:59.5,0.9614999999999999,-1.0665277777777777
0:3:56.57,-1:1:31.7,0.9857083333333333,-1.0254722222222221
0:44:34.09,+0:19:3.5,11.142041666666664,0.31763888888888886
0:44:39.33,+0:18:22.9,11.163874999999997,0.3063611111111111
0:48:0.77,-10:51:48.6,12.003208333333331,-10.8635
0:48:0.96,-10:51:46.2,12.004,-10.862833333333333
0:49:50.92,+0:3:30.1,12.462166666666665,0.058361111111111114
0:49:55.91,+0:4:24.8,12.482958333333332,0.07355555555555555
0:54:8.04,-9:46:25.7,13.533499999999998,-9.773805555555557
0:54:8.47,-9:46:38.3,13.535291666666666,-9.777305555555557
10:10:4.37,+4:16:21.6,152.51820833333332,4.272666666666667
10:10:4.98,+4:16:36.2,152.52074999999996,4.276722222222222
10:14:10.29,+9:21:1.7,153.54287499999998,9.350472222222223
10:14:11.43,+9:20:47.7,153.54762499999998,9.346583333333333
10:15:42.07,-2:13:21.3,153.92529166666665,-2.2225833333333336
10:15:45.23,-2:14:17.3,153.93845833333333,-2.238138888888889
10:16:1.51,+40:40:52.9,154.00629166666667,40.68136111111111
10:16:2.68,+45:33:16.5,154.01116666666667,45.55458333333333
10:16:20.14,+45:32:57.7,154.08391666666665,45.54936111111111
10:16:5.84,+40:40:5.8,154.02433333333332,40.668277777777774
10:16:9.92,+45:31:43.1,154.04133333333334,45.528638888888885
10:16:9.92,+45:31:43.1,154.04133333333334,45.528638888888885
10:17:10.54,+56:27:48.2,154.29391666666666,56.46338888888889
10:17:3.18,+56:27:16.4,154.26324999999997,56.45455555555556
10:27:25.95,+52:26:37.2,156.85812499999997,52.443666666666665
10:27:40.99,+52:25:5.1,156.92079166666664,52.41808333333333
10:27:50.97,+0:28:33.2,156.96237499999995,0.4758888888888889
10:27:53.84,+0:30:55.4,156.9743333333333,0.5153888888888889
10:28:27.15,-1:36:40.8,157.11312499999997,-1.6113333333333335
10:28:32.61,-1:34:47.5,157.135875,-1.5798611111111112
10:28:43.67,+39:29:36.9,157.1819583333333,39.49358333333333
10:28:44.3,+39:29:34.8,157.1845833333333,39.493
10:32:0.43,+1:14:21.9,158.00179166666663,1.2394166666666668
10:32:43.17,+1:39:30.0,158.17987499999998,1.6583333333333332
10:32:44.65,+1:40:20.5,158.18604166666665,1.672361111111111
10:32:6.59,+1:12:56.2,158.0274583333333,1.215611111111111
10:34:55.5,+64:17:45.4,158.73125,64.29594444444444
10:35:19.23,+7:52:56.4,158.83012499999998,7.882333333333333
