AGN1 Name,ICRF_Designation,SX_defining_flag,XKa_defining_flag,K_defining_flag,Sep_SX,Sep_XKa,Sep_K
BZQJ0842+4525,ICRFJ084215.3+452544,0,0,0,0.9835810264111556,0.9832947005374815,0.9834031017793242
3C 298.0,ICRFJ141908.1+062834,0,0,0,0.4189626355630605,,
BZQJ2156-2012,ICRFJ215633.7-201230,0,0,0,1.0486655744183366,,
TEX 1428+370,ICRFJ143040.5+364903,1,0,0,0.04575214899727086,,
PKS 2203-215,ICRFJ220641.3-211940,0,0,0,0.5709217822548123,,
OQ 208 / Mrk 668 / 140700.40+282714.6,ICRFJ140700.3+282714,0,0,0,0.11638335907662688,0.11545491344579066,0.11596771433088117
151443.07+365050.4,ICRFJ151443.0+365050,0,0,0,0.048014147646283124,,
J1357+4807,ICRFJ174614.0+622654,1,1,0,7.245604266484248e-05,0.00018643799971217927,0.00034139935927838405
J1424+2637,ICRFJ142440.5+263730,0,0,0,0.0357319570289962,,
J0038-2120,ICRFJ003829.9-212004,0,0,0,0.004077243662431808,,
J0041+1339,ICRFJ004117.2+133927,0,0,0,0.000687923408909902,,
J0106+3402,ICRFJ010600.2+340202,0,0,0,0.0021743992055967133,,
J0106+2539,ICRFJ010610.9+253930,0,0,0,0.0005098292225383171,,
J0106-0315,ICRFJ010643.2-031536,0,0,0,0.0010157249537993281,,
J0146+2110,ICRFJ014658.7+211024,0,0,0,0.003900055233136783,,
J0216-0118,ICRFJ021605.6-011803,0,0,0,0.0006057506332079946,,
J0216-0105,ICRFJ021612.2-010518,0,0,0,0.0027387006942811267,,
J0334+0800,ICRFJ033453.3+080014,0,0,0,0.00037039611389192605,0.00037998804891693083,0.00011122752812949895
J0335-0709,ICRFJ033557.0-070955,0,0,0,0.0022697938279682816,,
J0431+2037,ICRFJ043103.7+203734,0,0,0,0.0002475232849140001,,
J0435+2532,ICRFJ043534.5+253259,0,0,0,0.001701610686768968,,
J0523+6007,ICRFJ052311.0+600745,0,0,0,0.0043647610688780465,,
J0552+0313,ICRFJ055250.1+031327,0,0,0,0.0013668474203044224,,
J0644+2911,ICRFJ064444.8+291104,0,0,0,0.0017685792811972096,,
J0729-1320,ICRFJ072917.8-132002,0,0,0,0.000576562653197949,,
J0736+2954,ICRFJ073613.6+295422,0,0,0,0.0010959965184223915,,
J0817+3227,ICRFJ081728.5+322702,0,0,0,0.0014329365841162251,,
J0843+4537,ICRFJ084307.0+453742,0,0,0,0.0066357634260840685,,
J0854+6218,ICRFJ085450.5+621850,0,0,0,0.0017128247252054815,,
J0902+4310,ICRFJ090230.9+431014,0,0,0,0.00041828169173042365,,
J1022+4239,ICRFJ102213.1+423925,0,0,0,0.00037911694410864866,,
J1033+3935,ICRFJ103322.0+393551,0,0,0,7.61656408727354e-05,,
J1150+4332,ICRFJ115016.6+433205,0,0,0,0.0011834831785360025,,
J1254+0859,ICRFJ125458.9+085947,0,0,0,0.0030622698409421296,,
J1301+4634,ICRFJ130132.6+463402,0,0,0,0.0004202588998897609,,
J1312+2531,ICRFJ131214.2+253113,0,0,0,0.0010844857834528972,,
J1312+4828,ICRFJ131243.3+482830,0,0,0,0.0008979912767629475,,
J1313+6735,ICRFJ131327.9+673550,0,0,0,0.026993926640725176,,
J1414+4554,ICRFJ141414.8+455448,0,0,0,0.011698137271367098,,
J1440+0127,ICRFJ144033.6+012705,0,0,0,0.0010464608469441133,,
J1451+1343,ICRFJ145131.4+134324,0,0,0,0.0008770747095037936,,
J1456+5048,ICRFJ145608.1+504836,0,0,0,0.0007196738113265632,,
J1503+0917,ICRFJ150300.8+091758,0,0,0,0.0010221069124804454,,
J1506+3730,ICRFJ150609.5+373051,1,1,0,0.0005789971647778962,0.0007661661121218704,0.0006386526452694251
J1526-1351,ICRFJ152659.4-135100,0,0,0,0.10466959717721427,,
J1543+0452,ICRFJ154333.9+045219,0,0,0,0.0008759201990882021,,
J1603+1554,ICRFJ160338.0+155402,0,0,0,0.007972190700897542,,
J1604+1926,ICRFJ160449.9+192620,0,0,0,0.0007952382693952495,,
J1625+4134,ICRFJ162557.6+413440,0,0,0,0.0002464225914041317,,
J1648+2224,ICRFJ164801.5+222433,0,0,0,0.0008322369626674298,,
J2052+1619,ICRFJ205243.6+161948,0,0,0,0.0006210375574762845,,
J2150+1449,ICRFJ215023.6+144947,0,0,0,0.005624624230444064,,
J2210+0857,ICRFJ221006.0+085729,0,0,0,0.006153783158991971,,
J2259-0811,ICRFJ225900.6-081103,0,0,0,0.002775027094612599,0.0035890700119166037,0.002556541650709644
J2346+3011,ICRFJ234646.2+301159,0,0,0,0.004906894055074537,,
J2347-1856,ICRFJ234708.6-185618,0,0,0,0.0011006031293232961,,
PG 1302-2102 / BZQJ1305-1033,ICRFJ130533.0-103319,0,0,0,0.0021978708084559205,0.0017793021127351042,0.0018815342208619054
PKS 1145-071A,ICRFJ114751.5-072441,0,0,0,0.00012622349781536119,0.0005315033261560819,0.0002450801833733879
Arp 102B,ICRFJ171914.4+485849,0,0,0,0.0003025889915880906,,
