System Type 1: Dual AGNs,ST1 Num AGNs,ST1 Confidence Flag,System Type 2: Binary AGNs,ST2 Num AGNs,ST2 Confidence Flag,System Type 3: Recoiling AGNs,ST3 Num AGNs,ST3 Confidence Flag,Literature Name,Selection Method,Analysis Method,Confirmation Method,Name1,z1,z1_type,RA1,Dec1,Coordinate_waveband1,Coordinate_Source1,Equinox1,Name2,z2,z2_type,RA2,Dec2,Equinox2,Coordinate_waveband2,Coordinate_Source2,Sep,Sep(kpc),dV,Paper(s),BibCode(s),DOI(s)
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00024907+0045051,"{'Optical': ['Double-Peaked Spectroscopic Emission Lines', 'Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Double-Peaked Spectroscopic Emission Lines', 'Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000249.07+004504.8,0.0868,spec,00:02:49.07,+00:45:04.8,Optical,SDSS,J2000,J000249.44+004506.7,0.0865,spec,00:02:49.44,+00:45:06.7,J2000,Optical,SDSS,5.865765071553234,9.534117089044091,82.54727675956427,Liu+2011b ; Wang+2009 ; Liu+2010a ; Tingay+2011 ; Shen+2011 ; Ge+2012 ; Fu+2012 ; Comerford+2012 ; McGurk+2015 ; Muller-Sanchez+2015,2011ApJ...737..101L ; 2009ApJ...705L..76W ; 2010ApJ...708..427L ; 2011AJ....141..174T ; 2011ApJ...735...48S ; 2012ApJS..201...31G ; 2012ApJ...745...67F ; 2012ApJ...753...42C ; 2015ApJ...811...14M ; 2015ApJ...813..103M,https://doi.org/10.1088/0004-637X/737/2/101 ; https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-6256/141/6/174 ; https://doi.org/10.1088/0004-637X/735/1/48 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.1088/0004-637X/813/2/103
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,LEDA 1157875,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000257.21+000750.5,0.0901,spec,00:02:57.21,+00:07:50.5,Optical,SDSS,J2000,J000258.59+000831.0,0.0897,spec,00:02:58.59,+00:08:31.0,J2000,Optical,SDSS,45.48337688731339,76.44641007118935,109.7348343633702,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00032372+0105472,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000323.74+010547.3,0.0993,spec,00:03:23.74,+01:05:47.3,Optical,SDSS,J2000,J000323.74+010559.5,0.0994,spec,00:03:23.74,+01:05:59.5,J2000,Optical,SDSS,12.19999999999931,22.38080577744677,-27.197889605813938,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00042576-0958543,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000425.78-095854.4,0.1122,spec,00:04:25.78,-09:58:54.4,Optical,SDSS,J2000,J000426.66-095834.4,0.112,spec,00:04:26.66,-09:58:34.4,J2000,Optical,SDSS,23.85388524267597,48.67708825515309,53.772142358121,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASX J00043193-0114116,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000431.92-011411.7,0.0887,spec,00:04:31.92,-01:14:11.7,Optical,SDSS,J2000,J000433.25-011334.4,0.0889,spec,00:04:33.25,-01:13:34.4,J2000,Optical,SDSS,42.297856764701855,70.24278016302958,-54.9228503816616,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00062131-1004125,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000621.33-100412.6,0.1062,spec,00:06:21.33,-10:04:12.6,Optical,SDSS,J2000,J000623.74-100345.0,0.1056,spec,00:06:23.74,-10:03:45.0,J2000,Optical,SDSS,45.04062467892104,87.59415886582008,162.22080368773248,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASX J00070059+0054104,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000700.56+005410.5,0.0925,spec,00:07:00.56,+00:54:10.5,Optical,SDSS,J2000,J000704.18+005425.0,0.0935,spec,00:07:04.18,+00:54:25.0,J2000,Optical,SDSS,56.19612581105498,97.63250979528426,-273.5589546471234,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00094846+1358199,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000948.47+135819.8,0.1179,spec,00:09:48.47,+13:58:19.8,Optical,SDSS,J2000,J000948.49+135811.9,0.1169,spec,00:09:48.49,+13:58:11.9,J2000,Optical,SDSS,7.905362354502719,16.841984126509075,267.5854126831453,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,2MASS J00095669+0009581,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J000956.72+000958.4,0.1023,spec,00:09:56.72,+00:09:58.4,Optical,SDSS,J2000,J000958.76+000938.2,0.1027,spec,00:09:58.76,+00:09:38.2,J2000,Optical,SDSS,36.6659567195678,69.2339841593025,-108.48072205369452,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
Dual AGN Candidate,2,0.5,-99,-99,-99.0,-99,-99,-99.0,SDSS J001010.93-001430.0,"{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}","{'Optical': ['Fiber Spectroscopy', 'Spectroscopic Emission Line Ratios', 'Spectroscopy']}",{},J001010.89-001430.2,0.114,spec,00:10:10.89,-00:14:30.2,Optical,SDSS,J2000,J001011.16-001430.8,0.1133,spec,00:10:11.16,-00:14:30.8,J2000,Optical,SDSS,4.094167541452331,8.471359169347705,187.94053726649784,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101
