z1,z2,Name1,Name2,z2_type,RA,Dec,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,z1_type
1.959,-99.0,SDSSJ034801.20-070416.9,-99,-99,03:48:01.20,-07:04:16.9,03:48:01.20,-07:04:16.9,57.00499999999999,-7.071361111111111,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.54,-99.0,-99,-99,Inada+2008,2008AJ....135..496I,https://doi.org/10.1088/0004-6256/135/2/496,-99,-99
1.404,-99.0,SDSSJ072843.03+370834.9,-99,-99,07:28:43.03,+37:08:34.9,07:28:43.03,+37:08:34.9,112.17929166666666,37.143027777777775,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.34,-99.0,-99,-99,Inada+2008,2008AJ....135..496I,https://doi.org/10.1088/0004-6256/135/2/496,-99,-99
2.166,-99.0,SDSSJ074352.62+245743.6,-99,-99,07:43:52.62,+24:57:43.6,07:43:52.62,+24:57:43.6,115.96924999999999,24.96211111111111,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.02,-99.0,-99,-99,Inada+2008,2008AJ....135..496I,https://doi.org/10.1088/0004-6256/135/2/496,-99,-99
1.696,-99.0,SDSSJ083530.89+054240.7,-99,-99,08:35:30.89,+05:42:40.7,08:35:30.89,+05:42:40.7,128.87870833333332,5.711305555555556,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,0.99,-99.0,-99,-99,Inada+2008,2008AJ....135..496I,https://doi.org/10.1088/0004-6256/135/2/496,-99,-99
0.627,0.626,SDSSJ084710.40-001302.6,-99,-99,08:47:10.40,-00:13:02.6,08:47:10.40,-00:13:02.6,131.7933333333333,-0.2173888888888889,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,0.95,183.83029311068842,-99,-99,Inada+2008 ; Spiniello+2018,2008AJ....135..496I ; 2018MNRAS.480.1163S,https://doi.org/10.1088/0004-6256/135/2/496 ; https://doi.org/10.1093/mnras/sty1923,-99,-99
0.894,-99.0,SDSSJ085122.37+472249.0,-99,-99,08:51:22.37,+47:22:49.0,08:51:22.37,+47:22:49.0,132.8432083333333,47.38027777777778,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.47,-99.0,-99,-99,Inada+2008,2008AJ....135..496I,https://doi.org/10.1088/0004-6256/135/2/496,-99,-99
1.993,1.994,SDSSJ093207.15+072251.3,-99,-99,09:32:07.15,+07:22:51.3,09:32:07.15,+07:22:51.3,143.02979166666665,7.380916666666666,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.42,-99.88307722001808,-99,-99,Inada+2008,2008AJ....135..496I,https://doi.org/10.1088/0004-6256/135/2/496,-99,-99
0.619,-99.0,SDSSJ095324.39+570319.5,-99,-99,09:53:24.39,+57:03:19.5,09:53:24.39,+57:03:19.5,148.35162499999996,57.055416666666666,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.57,-99.0,-99,-99,Inada+2008 ; Rusu+2019,2008AJ....135..496I ; 2019MNRAS.486.4987R,https://doi.org/10.1088/0004-6256/135/2/496 ; https://doi.org/10.1093/mnras/stz1142,-99,-99
2.052,-99,SDSSJ100229.46+444942.7,-99,-99,10:02:29.46,+44:49:42.7,10:02:29.46,+44:49:42.7,150.62274999999997,44.82852777777778,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,0.72,-99,-99,-99,Inada+2008,2008AJ....135..496I,https://doi.org/10.1088/0004-6256/135/2/496,-99,-99
1.138,-99.0,SDSSJ100327.37+595804.0,-99,-99,10:03:27.37,+59:58:04.0,10:03:27.37,+59:58:04.0,150.86404166666668,59.967777777777776,-99,-99,-99.0,-99.0,J2000,Optical,SDSS,-99,-99,-99,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,1.19,-99.0,-99,-99,Inada+2008,2008AJ....135..496I,https://doi.org/10.1088/0004-6256/135/2/496,-99,-99
