001224.02-102226.2 0.2287 17.07 0.127 -23.27 2001/08/20 S   3756 29 3093 7505
001224.02-102226.2 0.2287 17.07 0.127 -23.27 2009/12/16 M   3600 28 3181 6165
002444.10+003221.3 0.4024 16.85 0.083 -24.86 2000/12/22 S   9900 88 2709 6594
002444.10+003221.3 0.4024 16.85 0.083 -24.86 2009/12/18 M   2400 30 2811 5426
015530.01-085704.0 0.1648 16.84 0.080 -22.65 2001/09/16 S   2702 32 3263 7917
015530.01-085704.0 0.1648 16.84 0.080 -22.65 2009/12/17 M   3600 55 3375 6524
020011.53-093126.2 0.3602 17.96 0.081 -23.46 2001/08/28 S   8104 34 2795 6780
020011.53-093126.2 0.3602 17.96 0.081 -23.46 2009/12/17 M   3600 28 2890 5586
021259.59-003029.5 0.3945 17.87 0.117 -23.83 2000/09/29 S   2700 29 2714 6613
021259.59-003029.5 0.3945 17.87 0.117 -23.83 2009/12/16 M   3600 13 2803 5433
022014.57-072859.1 0.2137 18.65 0.078 -21.47 2001/09/10 S   4501 11 3133 7598
022014.57-072859.1 0.2137 18.65 0.078 -21.47 2009/12/16 M   3600 16 3220 6241
031715.87+425150.6 0.2356 19.03 0.616 -21.87 2003/12/03 S  13001 17 3075 7463
031715.87+425150.6 0.2356 19.03 0.616 -21.87 2009/12/17 M   3600 16 3180 6148
074007.28+410903.6 0.2347 17.78 0.161 -22.66 2000/12/06 S   5400 23 3074 7468
074007.28+410903.6 0.2347 17.78 0.161 -22.66 2009/12/17 M   3600 20 3182 6152
074157.25+275519.8 0.3252 18.52 0.170 -22.73 2002/03/06 S   4802 19 2867 6958
074157.25+275519.8 0.3252 18.52 0.170 -22.73 2009/12/18 M   3600 26 2972 5739
075403.61+481428.0 0.2733 17.26 0.131 -23.52 2004/03/25 S   2160 38 2978 7241
075403.61+481428.0 0.2733 17.26 0.131 -23.52 2009/12/17 M   3600 44 3085 5965
075403.61+481428.0 0.2733 17.26 0.131 -23.52 2010/03/22 K   5400 18 3858 6144
080327.39+400047.8 0.4637 19.10 0.171 -23.07 2001/10/20 S   3003 15 2596 6300
081329.28+483427.8 0.2742 18.16 0.172 -22.66 2000/12/07 S   3600 12 2980 7237
081329.28+483427.8 0.2742 18.16 0.172 -22.66 2010/03/21 K   7200 16 3856 6140
082150.13+081907.3 0.3809 19.34 0.095 -22.25 2004/03/19 S   4500 12 2746 6678
082930.59+272822.7 0.3209 18.12 0.111 -23.04 2003/10/20 S   4800 20 2874 6981
083223.35+555850.4 0.4019 18.70 0.172 -23.10 2005/01/16 S   3000 10 2706 6578
084313.41+535718.6 0.2179 17.08 0.077 -23.09 2000/12/21 S   5400 11 3116 7565
084313.41+535718.6 0.2179 17.08 0.077 -23.09 2010/03/10 K   4500 42 4039 6425
085431.28-003650.6 0.2375 18.83 0.088 -21.56 2001/01/03 S   6000 16 3066 7448
085431.28-003650.6 0.2375 18.83 0.088 -21.56 2010/04/05 H2  2700 29 3464 5878
091833.82+315621.1 0.4519 18.02 0.062 -23.97 2003/12/17 S   5700 48 2617 6375
091833.82+315621.1 0.4519 18.02 0.062 -23.97 2010/05/14 Pb  2400 21 2184 3868
091833.82+315621.1 0.4519 18.02 0.062 -23.97 2010/05/14 Pr  2400 37 4395 5319
091928.69+143202.6 0.2072 17.56 0.095 -22.50 2006/11/17 S   3602 19 3145 7633
091928.69+143202.6 0.2072 17.56 0.095 -22.50 2010/03/20 K   5400 21 4070 6480
092712.65+294344.0 0.7128 18.35 0.071 -24.86 2005/01/19 S   4200  5 2214 5384
092712.65+294344.0 0.7128 18.35 0.071 -24.86 2009/01/01 H2  2300 27 2503 4246
092712.65+294344.0 0.7128 18.35 0.071 -24.86 2009/02/23 H2  2993 13 2390 6287
093100.76+021120.8 0.4602 18.48 0.259 -23.76 2001/02/25 S   4505 20 2601 6315
093100.76+021120.8 0.4602 18.48 0.259 -23.76 2010/02/08 H2  3000 33 2939 4983
093653.84+533126.9 0.2276 16.96 0.041 -23.27 2002/01/07 S   4806 48 3092 7512
093653.84+533126.9 0.2276 16.96 0.041 -23.27 2010/03/10 K   3000 32 4007 6374
093844.45+005715.7 0.1707 17.17 0.226 -22.54 2002/02/09 S   4204 37 3242 7877
093844.45+005715.7 0.1707 17.17 0.226 -22.54 2009/12/17 M   3600 40 3359 6492
094603.94+013923.7 0.2198 17.50 0.546 -23.16 2001/03/21 S   8106 14 3114 7560
094603.94+013923.7 0.2198 17.50 0.546 -23.16 2010/03/21 K   4500 19 4028 6414
094620.32+375953.2 0.4509 19.02 0.048 -22.95 2004/01/31 S   4600 18 2613 6356
094620.32+375953.2 0.4509 19.02 0.048 -22.95 2010/01/13 H2  3600 48 2955 5013
094620.32+375953.2 0.4509 19.02 0.048 -22.95 2010/02/06 H2  3600 40 2954 5011
095036.75+512838.1 0.2144 18.35 0.048 -21.75 2002/05/15 S   4203 17 3121 7593
095036.75+512838.1 0.2144 18.35 0.048 -21.75 2010/05/08 H2  2400 36 3529 5988
095539.81+453217.0 0.2592 16.82 0.043 -23.73 2003/03/05 S   2160 33 3016 7323
095539.81+453217.0 0.2592 16.82 0.043 -23.73 2010/03/10 K   3000 34 3906 6214
095539.81+453217.0 0.2592 16.82 0.043 -23.73 2010/03/14 M   1800 33 2561 3819
101438.27+031211.1 0.4990 18.38 0.103 -23.92 2002/03/22 S   6600 13 2534 6152
102106.04+452331.8 0.3637 18.25 0.035 -23.15 2002/12/06 S   5100 11 2783 6762
102106.04+452331.8 0.3637 18.25 0.035 -23.15 2010/05/13 Pb  2000 14 2324 4117
102106.04+452331.8 0.3637 18.25 0.035 -23.15 2010/05/13 Pr  2000  4 4441 5423
102839.11+450009.4 0.5843 17.05 0.052 -25.61 2003/12/17 S   3840 24 2394 5820
104132.77-005057.4 0.3026 18.20 0.169 -22.87 2001/01/04 S   5400 29 2915 7079
104132.77-005057.4 0.3026 18.20 0.169 -22.87 2009/12/17 M   3600 13 3019 5834
105041.36+345631.4 0.2720 18.95 0.055 -21.73 2005/03/02 S   2600 11 2978 7250
105203.17+240505.0 0.4002 18.21 0.120 -23.52 2006/12/17 S   5884 47 2710 6586
105203.17+240505.0 0.4002 18.21 0.120 -23.52 2010/05/14 Pb  3000 50 2264 4010
105203.17+240505.0 0.4002 18.21 0.120 -23.52 2010/05/14 Pr  3000 45 4557 5515
110050.99+170934.2 0.3474 18.62 0.066 -22.70 2007/03/17 S   3602 12 2820 6844
110556.18+031243.2 0.3549 18.22 0.184 -23.27 2002/04/10 S   3301 23 2804 6806
110556.18+031243.2 0.3549 18.22 0.184 -23.27 2010/05/12 Pb  3000  8 2339 4143
110556.18+031243.2 0.3549 18.22 0.184 -23.27 2010/05/12 Pr  3000 15 4469 5459
110742.76+042134.2 0.3267 19.11 0.216 -22.20 2002/03/23 S   7203 13 2862 6950
111329.68+531338.7 0.2390 18.69 0.037 -21.66 2003/01/10 S   3301  9 3064 7443
111329.68+531338.7 0.2390 18.69 0.037 -21.66 2010/03/10 H2  1800 17 3461 5871
111537.93+542725.2 0.4187 18.17 0.043 -23.60 2003/01/10 S   3301 31 2676 6500
111537.93+542725.2 0.4187 18.17 0.043 -23.60 2010/02/08 H2  3600 32 3023 5127
111916.13+110107.1 0.3936 17.36 0.068 -24.28 2004/02/27 S   3900 34 2719 6617
111916.13+110107.1 0.3936 17.36 0.068 -24.28 2010/05/14 Pb  1350 26 2275 4029
111916.13+110107.1 0.3936 17.36 0.068 -24.28 2010/05/14 Pr  1350 23 4579 5542
112751.96+675042.7 0.1939 18.13 0.031 -21.70 2001/02/02 S   8100 28 3184 7756
112751.96+675042.7 0.1939 18.13 0.031 -21.70 2010/03/21 K   7200 38 4115 6553
113330.29+105223.2 0.5105 16.11 0.097 -26.24 2003/05/06 S   2100 57 2514 6105
113651.66+445016.4 0.1158 17.37 0.082 -21.28 2004/03/19 S   2100 26 3399 8264
113651.66+445016.4 0.1158 17.37 0.082 -21.28 2010/03/10 K   4500 25 4408 7013
113706.92+481943.6 0.2199 18.94 0.071 -21.25 2004/02/19 S   2200  9 3105 7557
113706.92+481943.6 0.2199 18.94 0.071 -21.25 2010/03/17 H2  2700 15 3514 5962
113904.33+465651.1 0.5245 19.78 0.060 -22.60 2004/02/15 S   2400  8 2490 6049
113904.33+465651.1 0.5245 19.78 0.060 -22.60 2010/03/06 H2  3600 12 2812 4771
115158.90+122128.9 0.1697 17.86 0.103 -21.72 2004/05/17 S   4200 30 3240 7884
115158.90+122128.9 0.1697 17.86 0.103 -21.72 2010/03/22 K   7200 24 4200 6689
115449.42+013443.5 0.4693 17.94 0.054 -24.14 2001/05/22 S   3978 29 2586 6276
115449.42+013443.5 0.4693 17.94 0.054 -24.14 2010/05/14 Pb  2161 24 2158 3822
115449.42+013443.5 0.4693 17.94 0.054 -24.14 2010/05/14 Pr  2160 35 4343 5256
115644.11+614741.5 0.2264 18.06 0.117 -22.23 2002/02/15 S   2525 20 3099 7519
115644.11+614741.5 0.2264 18.06 0.117 -22.23 2010/03/10 K   7200 34 4010 6380
120924.07+103612.1 0.3954 16.57 0.079 -25.09 2003/03/25 S   3165 65 2720 6609
120924.07+103612.1 0.3954 16.57 0.079 -25.09 2010/05/14 Pb   900 36 2272 4024
120924.07+103612.1 0.3954 16.57 0.079 -25.09 2010/05/14 Pr   900 52 4573 5535
121113.97+464711.9 0.2951 18.77 0.043 -22.11 2004/04/21 S   3720 12 2930 7120
121113.97+464711.9 0.2951 18.77 0.043 -22.11 2010/03/11 H2  2700 25 3310 5616
122811.89+514622.7 0.3208 19.19 0.056 -21.92 2002/04/10 S   2701 14 2875 6982
123001.02+335901.3 0.4480 16.55 0.065 -25.42 2006/03/25 S   3000 51 2626 6368
123001.02+335901.3 0.4480 16.55 0.065 -25.42 2010/05/14 Pb   900 59 2189 3878
123001.02+335901.3 0.4480 16.55 0.065 -25.42 2010/05/14 Pr   900 51 4407 5334
124551.02+032128.4 0.2271 17.52 0.090 -22.76 2001/04/25 S   3004 34 3096 7515
124551.02+032128.4 0.2271 17.52 0.090 -22.76 2010/03/22 K   6000 13 4004 6376
125142.28+240435.3 0.1887 17.65 0.042 -22.13 2008/02/09 S   3905 29 3199 7758
125142.28+240435.3 0.1887 17.65 0.042 -22.13 2010/03/17 M   1800 19 4049 5398
125809.31+351943.0 0.3098 18.52 0.034 -22.48 2006/04/23 S   3000 17 2904 7063
130534.49+181932.9 0.1177 16.78 0.081 -21.91 2008/01/14 S   5405 42 3400 8251
130534.49+181932.9 0.1177 16.78 0.081 -21.91 2010/03/10 K   3000 27 4401 7002
131945.95+053002.7 0.3978 19.83 0.115 -21.88 2002/04/12 S   2402  8 2718 6597
132704.13+443505.0 0.3304 18.02 0.055 -23.16 2004/03/25 S   1920 19 2851 6930
132704.13+443505.0 0.3304 18.02 0.055 -23.16 2010/05/13 Pb  3000 37 2382 4221
132704.13+443505.0 0.3304 18.02 0.055 -23.16 2010/05/13 Pr  3000 20 4552 5559
133432.34+171147.0 0.2650 17.01 0.075 -23.64 2007/02/23 S   3004 37 3010 7290
133432.34+171147.0 0.2650 17.01 0.075 -23.64 2010/03/14 M   1800 18 2549 3802
133432.34+171147.0 0.2650 17.01 0.075 -23.64 2010/03/20 K   3000 35 3885 6184
134617.54+622045.4 0.1165 16.97 0.057 -21.68 2001/06/19 S   2702 29 3404 8259
134617.54+622045.4 0.1165 16.97 0.057 -21.68 2010/03/21 K   3600 32 4400 7007
