Name1,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
J104315.10+312313.7,-99,1.94,-99,spec,-99,10:43:15.10,+31:23:13.7,160.81291666666664,31.387138888888888,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J004052.14+000057.3,-99,0.41,-99,spec,-99,00:40:52.14,+00:00:57.3,10.217249999999998,0.015916666666666666,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J013418.19+001536.8,-99,0.4,-99,spec,-99,01:34:18.19,+00:15:36.8,23.575791666666664,0.26022222222222224,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J212639.96-065555.5,-99,1.34,-99,spec,-99,21:26:39.96,-06:55:55.5,321.6664999999999,-6.932083333333334,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J111045.38+042142.7,-99,0.77,-99,spec,-99,11:10:45.38,+04:21:42.7,167.68908333333331,4.361861111111111,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J110539.65+041448.3,-99,0.44,-99,spec,-99,11:05:39.65,+04:14:48.3,166.41520833333334,4.2467500000000005,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J232801.46+001705.0,-99,0.41,-99,spec,-99,23:28:01.46,+00:17:05.0,352.00608333333327,0.2847222222222222,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J120142.24-001639.9,-99,1.99,-99,spec,-99,12:01:42.24,-00:16:39.9,180.426,-0.27775,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J034512.62+002245.9,-99,0.41,-99,spec,-99,03:45:12.62,+00:22:45.9,56.302583333333324,0.3794166666666666,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J002311.06+003517.5,-99,0.42,-99,spec,-99,00:23:11.06,+00:35:17.5,5.796083333333333,0.5881944444444445,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
