System Type,Selection Method,Confirmation Method,Name1,z1,z1_type,RA1,Dec1,RA1_deg,Dec1_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,rmag1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,RA2_deg,Dec2_deg,Equinox2,rmag2,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,dV,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes
Dual AGN Candidate / Likely Single AGN,Fiber Spectra / Optical Spectroscopic Emission Line Ratios / Double-Peaked Optical Spectroscopic Emission Lines,-99,J000249.07+004504.8,0.0868,spec,00:02:49.07,+00:45:04.8,0.7044583333333332,0.7513333333333333,J2000,Optical,SDSS,16.08,-99,-99,-99,J000249.44+004506.7,0.0865,spec,00:02:49.44,+00:45:06.7,0.706,0.7518611111111111,J2000,16.43,Optical,SDSS,-99,-99,-99,63.0,5.865765071553234,9.534117089044091,Liu+2011b ; Wang+2009 ; Liu+2010a ; Tingay+2011 ; Shen+2011 ; Ge+2012 ; Fu+2012 ; Comerford+2012 ; McGurk+2015 ; Muller-Sanchez+2015,2011ApJ...737..101L ; 2009ApJ...705L..76W ; 2010ApJ...708..427L ; 2011AJ....141..174T ; 2011ApJ...735...48S ; 2012ApJS..201...31G ; 2012ApJ...745...67F ; 2012ApJ...753...42C ; 2015ApJ...811...14M ; 2015ApJ...813..103M,https://doi.org/10.1088/0004-637X/737/2/101 ; https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-6256/141/6/174 ; https://doi.org/10.1088/0004-637X/735/1/48 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/753/1/42 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.1088/0004-637X/813/2/103, .  Tingay+ find no evidence of double radio cores in VLBA imaging.  Shen+2011 attribute the double-peaked lines to NLR kinematics. Only a single nucleus is resolved in near-IR imaging and the spatial offset observed between the two velocity components of the emission lines is larger than >0.6. If the double-peaks were due to two NLRs from dual AGNs there should be two nuclei visible in the imaging. No companion within 3 arcseconds. Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed. No companion within 3 arcseconds.Muller-Sanchez+2015 find that the origin of the double-peaked emission is still ambiguous. AGN 1 is a double-peaked AGN.
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J000257.21+000750.5,0.0901,spec,00:02:57.21,+00:07:50.5,0.738375,0.1306944444444444,J2000,Optical,SDSS,16.15,-99,-99,-99,J000258.59+000831.0,0.0897,spec,00:02:58.59,+00:08:31.0,0.7441249999999999,0.1419444444444444,J2000,16.67,Optical,SDSS,-99,-99,-99,109.0,45.48337688731339,76.44641007118935,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J000323.74+010547.3,0.0993,spec,00:03:23.74,+01:05:47.3,0.8489166666666667,1.096472222222222,J2000,Optical,SDSS,17.98,-99,-99,-99,J000323.74+010559.5,0.0994,spec,00:03:23.74,+01:05:59.5,0.8489166666666667,1.099861111111111,J2000,17.42,Optical,SDSS,-99,-99,-99,22.0,12.19999999999931,22.36085687731286,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J000425.78-095854.4,0.1122,spec,00:04:25.78,-09:58:54.4,1.1074166666666665,-9.981777777777776,J2000,Optical,SDSS,16.41,-99,-99,-99,J000426.66-095834.4,0.112,spec,00:04:26.66,-09:58:34.4,1.1110833333333332,-9.976222222222225,J2000,16.57,Optical,SDSS,-99,-99,-99,53.0,23.85388524267597,48.677088255153095,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J000431.92-011411.7,0.0887,spec,00:04:31.92,-01:14:11.7,1.1329999999999998,-1.2365833333333334,J2000,Optical,SDSS,17.22,-99,-99,-99,J000433.25-011334.4,0.0889,spec,00:04:33.25,-01:13:34.4,1.1385416666666666,-1.2262222222222223,J2000,18.47,Optical,SDSS,-99,-99,-99,45.0,42.297856764701855,70.10095305648748,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J000621.33-100412.6,0.1062,spec,00:06:21.33,-10:04:12.6,1.5888749999999998,-10.070166666666667,J2000,Optical,SDSS,17.46,-99,-99,-99,J000623.74-100345.0,0.1056,spec,00:06:23.74,-10:03:45.0,1.5989166666666663,-10.0625,J2000,17.34,Optical,SDSS,-99,-99,-99,165.0,45.04062467892104,87.59415886582008,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J000700.56+005410.5,0.0925,spec,00:07:00.56,+00:54:10.5,1.7523333333333333,0.9029166666666668,J2000,Optical,SDSS,15.44,-99,-99,-99,J000704.18+005425.0,0.0935,spec,00:07:04.18,+00:54:25.0,1.7674166666666664,0.9069444444444444,J2000,16.96,Optical,SDSS,-99,-99,-99,250.0,56.19612581105498,96.69969977569548,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J000948.47+135819.8,0.1179,spec,00:09:48.47,+13:58:19.8,2.451958333333333,13.972166666666666,J2000,Optical,SDSS,17.39,-99,-99,-99,J000948.49+135811.9,0.1169,spec,00:09:48.49,+13:58:11.9,2.4520416666666662,13.969972222222223,J2000,17.92,Optical,SDSS,-99,-99,-99,281.0,7.905362354502719,16.841984126509075,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J000956.72+000958.4,0.1023,spec,00:09:56.72,+00:09:58.4,2.486333333333333,0.1662222222222222,J2000,Optical,SDSS,16.65,-99,-99,-99,J000958.76+000938.2,0.1027,spec,00:09:58.76,+00:09:38.2,2.494833333333333,0.1606111111111111,J2000,16.81,Optical,SDSS,-99,-99,-99,114.0,36.6659567195678,68.99594495284816,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
Dual AGN Candidate,Fiber Spectra / Optical Spectroscopic Emission Line Ratios,-99,J001010.89-001430.2,0.114,spec,00:10:10.89,-00:14:30.2,2.5453749999999995,-0.2417222222222222,J2000,Optical,SDSS,17.26,-99,-99,-99,J001011.16-001430.8,0.1133,spec,00:10:11.16,-00:14:30.8,2.5464999999999995,-0.2418888888888889,J2000,16.84,Optical,SDSS,-99,-99,-99,182.0,4.094167541452331,8.471359169347705,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101, 
