System Type 1: Triple AGNs,ST1 Confidence Flag,System Type 2: Dual AGNs,ST2 Confidence Flag,System Type 3: Recoils,ST3 Confidence Flag,ST1 Num AGNs,ST2 Num AGNs,ST3 Num AGNs,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox1,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox2,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Name3,z3,z3_type,RA3,Dec3,Equinox3,Coordinate_waveband3,Coordinate_Source3,Brightness3,Brightness_band3,Brightness_type3,Sep12,Sep12(kpc),Sep13,Sep13(kpc),Sep23,Sep23(kpc),Paper(s),BibCode(s),DOI(s),Notes

Triple AGN Candidate,-1,Dual AGN Candidate,-1,"-99",-99,3,2,-99,NGC 3341,NGC 3341B Nucleus,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}","-99",0.027339,spec,10:42:31.47,+05:02:37.63,J2000,X-ray,Chandra,,,,NGC 3341B,0.027154,spec,10:42:32.05,+05:02:41.51,J2000,X-ray,Chandra,,,,NGC 3341C,0.027169,spec,10:42:31.75,+05:02:52.83,J2000,Optical,SDSS,,,,9.5,5.1,12,6.4,15.6,8.4,Barth+2008 ; Bianchi+2013,2008ApJ...683L.119B ; 2013MNRAS.435.2335B,https://doi.org/10.1086/591905 ; https://doi.org/10.1093/mnras/stt1459,Coordinates are not listed in Barth so they are pulled from bianchi. Redshifts from Bianchi. Separations 12 and 13 come from  Barth while 23 comes from Bianchi.

Triple AGN Candidate,-0.5,Dual AGN,1,"-99",-99,3,2,-99,SDSS J1027+1749,J102700.40+174900.8 (SDSS J1027+1749A),"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}","{'Optical':['Spectroscopy','Long-Slit Spectroscopy'],'X-ray':['Imaging','Spectroscopy']}",0.0668,spec,10:27:00.40,+17:49:00.8,J2000,Optical,SDSS,,,,J102700.55+174900.2 (SDSS J1027+1749B),0.0664,spec,10:27:00.55,+17:49:00.2,J2000,Optical,SDSS,,,,J102700.38+174902.6 (SDSS J1027+1749C),0.0652,spec,10:27:00.38,+17:49:02.6,J2000,Optical,SDSS,,,,,3.0,,,,2.4,Liu+2011a,2011ApJ...736L...7L,https://doi.org/10.1088/2041-8205/736/1/L7,Triple AGN candidate but Foord+2021 showed there are likely two AGNs so this is a dual AGN. No listed separation between B and C so that is blank here. Separations are not quoted in arcseconds so we will need to go and gather that info.

Triple AGN Candidate,0.5,"-99",-99,"-99",-99,3,-99,-99,J123652+621354,J123652+621354A,"{'Serendipitous':[],'Optical':['Imaging','Spectroscopy']}","-99",1.3550,spec,12:36:52.77,+62:13:54.8,J2000,,,,,,J123652+621354BC,,,,,J2000,,,,,,J123652+621354D,,,,,J2000,,,,,,0.38,4.5,1.18,14,1.4,16.9,Schawinski+2011,2011ApJ...743L..37S,10.1088/2041-8205/743/2/L37,No distinct coordinates or redshifts provided for the nuclei. No name given either so I have assigned it a name based on the RA and DEC values.

Triple AGN,1,"-99",-99,"-99",-99,3,-99,-99,SDSS J0849+1114,J0849+1114 Gal 1,"{'Mid-IR':['Imaging','Colors'],'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}","{'X-ray':['Imaging','Spectroscopy'],'Optical':['Long-Slit Spectroscopy']}",0.077,spec,08:49:05.529,+11:14:47.876,J2000,0.3-8 keV,Chandra,,,,J0849+1114 Gal 2,0.077,spec,08:49:05.381,+11:14:47.876,J2000,0.3-8 keV,Chandra,,,,J0849+1114,0.077,spec,08:49:05.448,+11:14:51.646,J2000,0.3-8 keV,Chandra,,,,2.3,,5.0,,3.6,,Pfeifle+2019b ; Gabányi+2019 ; Liu+2019, 2019ApJ...883..167P ;  2019A&A...630L...5G ; 2019ApJ...887...90L,https://doi.org/10.3847/1538-4357/ab3a9b ; https://doi.org/10.1051/0004-6361/201936519 ; https://doi.org/10.3847/1538-4357/ab54c3,

Triple AGN Candidate,0,"-99",-99,Recoil AGN Candidate,0,3,-99,1,SDSS J1056+5516,SDSS J1056+5516A,"{'Optical':['Imaging','Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}","-99",0.2564,spec,10:56:09.79,+55:16:04.0,J2000,Optical,SDSS,,,,SDSS J1056+5516B,0.2572,spec,10:56:09.48,+55:16:00.9,J2000,Optical,SDSS,,,,SDSS J1056+5516C,0.2566,spec,10:56:09.21,+55:16:04.2,J2000,Optical,SDSS,,,,4.0,,3.9,,4.5,,Kalfountzou+2017,2017ApJ...851L..15K,https://doi.org/10.3847/2041-8213/aa9b2d,

Triple AGN Candidate,-1,Dual AGN Candidate,1,"-99",-99,3,2,-99,QQQ J1519+0627,QQQ1519A,"{'Optical':['Spectroscopy','Fiber Spectroscopy']}","{'Optical':['Spectroscopy','Long-Slit Spectroscopy'],'Near-IR':['Imaging']}",1.504,spec,15:19:47.3,+06:27:53,J2000,Near-IR,Calar Alto,,,,QQQ1519B,1.513,spec,15:19:45.7,+06:27:52,J2000,Near-IR,Calar Alto,,,,QQQ1519C,1.506,spec,15:19:45.9,+06:27:49,J2000,Near-IR,Calar Alto,,,,23.5,,3.7,,21.1,,Farina+2013,2013MNRAS.431.1019F,https://doi.org/10.1093/mnras/stt209,

Triple AGN,1,"-99",-99,"-99",-99,3,-99,-99,QQQ 1432-0106,QSO A,"{'Optical':['Imaging','Spectroscopy','Long-Slit Spectroscopy'],'Near-IR':['Imaging']}","{'Optical':['Imaging','Spectroscopy','Long-Slit Spectroscopy'],'Near-IR':['Imaging']}",2.076,spec,14:32:29.232,-01:06:15.68,J2000,,,,,,QSO B,2.076,spec,14:32:28.9,-01:06:13,J2000,,,,,,QSO C,2.08,spec,14:32:29.2,-01:06:12,J2000,,,,,,5.11,,3.62,,4.29,,Djorgovski+2007,2007ApJ...662L...1D,https://doi.org/10.1086/519162,Brightnesses are nicely listed in the table and I will grab those later

