#System_type, Literature_name, Component_name, Discovery_type, z, z_type, RA_chandra, Dec_chandra, RA_Hubble, Dec_Hubble, Coord_lambda_nu, Coord_source, delta_x(arcsec), delta_x(kpc), Bibcode(s) , DOI , Notes
#
System_type , Literature_name , Paper(s) , Bibcode(s) , DOI , Notes






Dual AGN , 3C 75 , Owen+1985 ; Hudson+2006 , 1985ApJ...294L..85O ; 2006A&A...453..433H , 10.1086/184514 ;  10.1051/0004-6361:20064955 , VLA obs. revealed pair of radio jets emenating from dual cores

Binary Quasar , FIRST J164311.3+315618 , Brotherton+1999 , 1999ApJ...514L..61B , https://doi.org/10.1086/311956 , 

Binary Quasar , SDSSp J143952.58-003359.2 , Schneider+2000 , 2000AJ....120.2183S , https://doi.org/10.1086/316834 , 

Binary Quasar , LBQS 0103-2753 , Junkkarinen+2001 , 2001ApJ...549L.155J , 10.1086/319173 , 

Binary Quasar Candidate / Lens Candidate , RX J0921+4529 , Muñoz+2001a , 2001ApJ...546..769M , 10.1086/318322 , 

Binary Quasar , SDSS J233646.2-010732.6 , Gregg+2002 , 2002ApJ...573L..85G , 10.1086/342088 , 

Binary Quasar , Q2345+007 , Green+2002 , 2002ApJ...571..721G , 10.1086/340051 , 

Binary Quasar , LBQS 0015+0239 , Impey+2002 , 2002ApJ...574..623I , 10.1086/341064 , 

Dual AGN , NGC 6240 , Komossa+2003 , 2003ApJ...582L..15K , 10.1086/346145 , 

Binary Quasar , LBQS 1429-0053 , Faure+2003 , 2003A&A...405..415 , 10.1051/0004-6361:20030614 , 

Binary Quasar Candidate / Lens Candidate , UM 425 , Mathur+2003 ; Aldcroft+2003 , 2003ApJ...589L...1M ; 2003ApJ...592..710A ,  10.1086/375727 ; 10.1086/375863 , 

Binary Quasar , PKS 0537-441 , Heidt+2003 , 2003A&A...406..565H , 10.1051/0004-6361:20030804 , 

Binary Quasar , SDSS 0338+0021 , Djorgovski+2003 , 2003ApJ...596...67D , 10.1086/377524 , 

Dual AGN , J0321−455 , Klamer+2004 ,  2004MNRAS.351..101K , 10.1111/j.1365-2966.2004.07757.x , 

Dual AGN , Arp 299 , Ballo+2004 , 2004ApJ...600..634B , 10.1086/379887 , 

Dual AGN Candidate , SDSS J104807.74+005543.5 , Zhou+2004 , 2004ApJ...604L..33Z , 10.1086/383310 , 

Binary AGN , CSO 0402+379 , Maness+2004 ; Rodriguez+2006 , 2004ApJ...602..123M ; 2006ApJ...646...49R , 10.1086/380919 ; 10.1086/504825 , 

Binary Quasar , 3C 294 , Stockton+2004 , 2004ApJ...600..626S , 10.1086/380096 , 

Binary Quasar , HS 1216+5032 , Green+2004 , 2004MNRAS.349.1261G , 10.1111/j.1365-2966.2004.07592.x , 

Dual AGN , ESO509-IG066 , Guainazzi+2005 , 2005A&A...429L...9G , 10.1051/0004-6361:200400104 , 

Lens , SDSS J1021+4913 , Pindor+2006 , 2006AJ....131...41P , 10.1086/497965 , 

Binary Quasar , SDSS J1120+6711 , Pindor+2006 , 2006AJ....131...41P , 10.1086/497965 , 

Dual AGN , EGSD2 J142033.66+525917.5 , Gerke+2007 , 2007ApJ...660L..23G , 10.1086/517968 , 

Dual AGN , Mrk 436 , Bianchi+2008 , 2008MNRAS.386..105B , 10.1111/j.1365-2966.2008.13078.x , 

Dual AGN / Recoil Candidate , COSMOS J100043.15+020637.2 , Comerford+2009b; Civano+2011 , 2009ApJ...702L..82C ; , 10.1088/0004-637X/702/1/L82 ; , 

Dual AGN Candidate , SDSS J131642.90+175332.5 , Xu+2009 , 2009ApJ...705L..20X , 10.1088/0004-637X/705/1/L20 , 

Dual Quasar Candidate , HE0450-2958 , Letawe+2009 , 2009MNRAS.396...78L , 10.1111/j.1365-2966.2009.14740.x , 

Dual AGN Candidate , IRAS 20210+1121 , Piconcelli+2010 , 2010ApJ...722L.147P , 10.1088/2041-8205/722/2/L147 , 

Dual AGN , SDSS J0952+2552 , McGurk+2011 , 2011ApJ...738L...2M , 10.1088/2041-8205/738/1/L2 , Originally from the SMITH+2010 CATALOG!!!





























