RA1,Dec1,Name1,Name2,z1,z2,z1_type,z2_type,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),RA,Dec,Notes
14:30:44.06,+33:52:24.5,J143044.06+335224.5,-99,0.2297,-99,spec,-99,217.68358333333333,33.873472222222226,14:30:44.06,+33:52:24.5,217.68358333333333,33.873472222222226,J2000,Optical,AGES,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,217.7,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2013,2013ApJ...777...64C,https://doi.org/10.1088/0004-637X/777/1/64,,,
14:30:53.69,+34:58:36.4,J143053.69+345836.4,-99,0.0839,-99,spec,-99,217.72370833333332,34.97677777777778,14:30:53.69,+34:58:36.4,217.72370833333332,34.97677777777778,J2000,Optical,AGES,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-123.4,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2013,2013ApJ...777...64C,https://doi.org/10.1088/0004-637X/777/1/64,,,
14:33:16.48,+35:32:59.3,J143316.48+353259.3,-99,0.1994,-99,spec,-99,218.31866666666664,35.54980555555555,14:33:16.48,+35:32:59.3,218.31866666666664,35.54980555555555,J2000,Optical,AGES,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-100.9,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2013,2013ApJ...777...64C,https://doi.org/10.1088/0004-637X/777/1/64,,,
14:33:17.07,+34:49:12.0,J143317.07+344912.0,-99,0.3637,-99,spec,-99,218.32112499999997,34.82,14:33:17.07,+34:49:12.0,218.32112499999997,34.82,J2000,Optical,AGES,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-143.0,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2013,2013ApJ...777...64C,https://doi.org/10.1088/0004-637X/777/1/64,,,
14:37:10.03,+34:35:30.1,J143710.03+343530.1,-99,0.1266,-99,spec,-99,219.29179166666665,34.59169444444445,14:37:10.03,+34:35:30.1,219.29179166666665,34.59169444444445,J2000,Optical,AGES,Dual SMBH Candidate,-99,-99,-99,-99,-99,-99,3,-97.6,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2013,2013ApJ...777...64C,https://doi.org/10.1088/0004-637X/777/1/64,,,
00:18:28.09,-00:34:12.3,J001828.09-003412.3,-99,0.069291,-99,spec,-99,4.617041666666666,-0.5700833333333333,00:18:28.09,-00:34:12.3,4.617041666666666,-0.5700833333333333,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-67.2,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,00:18:28.09,-00:34:12.3,
00:23:12.35,+00:39:56.2,J002312.35+003956.2,-99,0.072648,-99,spec,-99,5.801458333333333,0.6656111111111112,00:23:12.35,+00:39:56.2,5.801458333333333,0.6656111111111112,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,51.4,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,00:23:12.35,+00:39:56.2,
00:39:08.37,-10:58:33.0,J003908.37-105833.0,-99,0.065406,-99,spec,-99,9.784875,-10.975833333333334,00:39:08.37,-10:58:33.0,9.784875,-10.975833333333334,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-62.4,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,00:39:08.37,-10:58:33.0,
00:39:48.38,-09:08:34.5,J003948.38-090834.5,-99,0.037475,-99,spec,-99,9.951583333333332,-9.142916666666666,00:39:48.38,-09:08:34.5,9.951583333333332,-9.142916666666666,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,51.1,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,00:39:48.38,-09:08:34.5,
00:40:00.73,-00:51:46.0,J004000.73-005146.0,-99,0.111223,-99,spec,-99,10.003041666666665,-0.8627777777777778,00:40:00.73,-00:51:46.0,10.003041666666665,-0.8627777777777778,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,69.6,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,00:40:00.73,-00:51:46.0,
00:44:08.00,-00:59:43.8,J004408.00-005943.8,-99,0.130096,-99,spec,-99,11.033333333333331,-0.9954999999999999,00:44:08.00,-00:59:43.8,11.033333333333331,-0.9954999999999999,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-82.0,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,00:44:08.00,-00:59:43.8,
01:10:31.30,+00:36:36.5,J011031.30+003636.5,-99,0.12226,-99,spec,-99,17.630416666666665,0.6101388888888889,01:10:31.30,+00:36:36.5,17.630416666666665,0.6101388888888889,J2000,Optical,SDSS,Dual SMBH Candidate,-100,-100,-100,-100,-100,-100,3,77.0,Optical Spectroscopy / Fiber Spectroscopy / Velocity Offset Narrow Optical Spectroscopic Emission Lines,-99,Comerford+2014,2014ApJ...789..112C,https://doi.org/10.1088/0004-637X/789/2/112,01:10:31.30,+00:36:36.5,
