Name,z,Vmed,r,Name1,Name2,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
UM 211,1.998,17.38,0.0,UM 211,UM 211,1.998,spec,spec,0:12:10.9,-1:22:7.6,3.045416666666666,-1.3687777777777779,0:12:10.9,-1:22:7.6,3.045416666666666,-1.3687777777777779,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
UM 234,0.729,17.82,0.011,UM 234,UM 234,0.729,spec,spec,0:23:3.2,+1:15:33.9,5.763333333333333,1.2594166666666666,0:23:3.2,+1:15:33.9,5.763333333333333,1.2594166666666666,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
SDSS J014350.13+141453.0,1.438,17.68,0.008,SDSS J014350.13+141453.0,SDSS J014350.13+141453.0,1.438,spec,spec,1:43:50.0,+14:14:54.9,25.958333333333332,14.248583333333332,1:43:50.0,+14:14:54.9,25.958333333333332,14.248583333333332,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
PKS 0157+011,1.17,18.04,0.0,PKS 0157+011,PKS 0157+011,1.17,spec,spec,2:0:3.9,+1:25:12.6,30.016249999999996,1.4201666666666668,2:0:3.9,+1:25:12.6,30.016249999999996,1.4201666666666668,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
RX J024252.3-232633,0.68,19.01,0.0,RX J024252.3-232633,RX J024252.3-232633,0.68,spec,spec,2:42:51.9,-23:26:34.0,40.716249999999995,-23.442777777777778,2:42:51.9,-23:26:34.0,40.716249999999995,-23.442777777777778,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
US 3204,0.954,18.09,0.008,US 3204,US 3204,0.954,spec,spec,2:49:28.9,+1:9:25.0,42.370416666666664,1.1569444444444443,2:49:28.9,+1:9:25.0,42.370416666666664,1.1569444444444443,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
CT 638,0.265,16.68,0.0,CT 638,CT 638,0.265,spec,spec,3:18:6.5,-34:26:37.4,49.52708333333332,-34.44372222222222,3:18:6.5,-34:26:37.4,49.52708333333332,-34.44372222222222,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
RXS J04117+1324,0.277,16.2,0.006,RXS J04117+1324,RXS J04117+1324,0.277,spec,spec,4:11:46.9,+13:24:16.5,62.94541666666666,13.404583333333333,4:11:46.9,+13:24:16.5,62.94541666666666,13.404583333333333,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
HS 0423+0658,0.17,15.73,0.0,HS 0423+0658,HS 0423+0658,0.17,spec,spec,4:26:30.2,+7:5:30.3,66.62583333333333,7.091749999999999,4:26:30.2,+7:5:30.3,66.62583333333333,7.091749999999999,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
2MASS J04352649-1643460,0.098,16.96,0.004,2MASS J04352649-1643460,2MASS J04352649-1643460,0.098,spec,spec,4:35:26.5,-16:43:45.7,68.86041666666665,-16.72936111111111,4:35:26.5,-16:43:45.7,68.86041666666665,-16.72936111111111,J2000,Optical,CRTS,Binary AGN Candidate,-100,-100,-100,-100,-100,-100,-99.0,0.0,Periodicity,-99,Graham+2015 ; Guo+2020,2015MNRAS.453.1562G ; 2020MNRAS.492.2910G,https://doi.org/10.1093/mnras/stv1726 ; https://doi.org/10.1093/mnras/stz3566,
