J000531.41+001455.9 0.9918 0.0009 0.9931 0.0018 9000 5424.76  1192.59 0.109
J003159.87+063518.8 1.0921 0.0010 1.0935 0.0016 1000 2475.19  1745.19 0.085
J004305.92-004637.6 0.8482 0.0015 0.8488 0.0015 8400 2828.74   247.77 0.094
J004312.70+005605.0 0.9036 0.0010 0.9047 0.0014 8500 6223.22   283.39 0.105
J014822.62+132142.7 0.8767 0.0018 0.8759 0.0019 8000 6063.22   134.05 0.146
J014933.86+143142.6 0.9024 0.0013 0.9027 0.0013 4500 2969.71   244.58 0.172
J015325.74+145233.4 1.1755 0.0020 1.1762 0.0021 5100 5219.56   553.29 0.202
J015734.24+003405.5 1.0834 0.0013 1.0825 0.0020 3300 6846.37  1636.32 0.109
J021648.36-092534.3 0.8834 0.0013 0.8834 0.0014 2700 4288.12   632.18 0.119
J021703.10-091031.1 0.8752 0.0013 0.8757 0.0015 2700 2598.31   432.35 0.289
J023234.33-091053.0 0.8496 0.0016 0.8480 0.0016 8100 3329.45   261.23 0.169
J034222.54-055727.9 0.8817 0.0016 0.8808 0.0017 2300 2445.19   307.86 0.082
J035230.55-071102.3 0.9651 0.0013 0.9637 0.0013 2600 3344.10   104.85 0.409
J073408.62+411901.1 1.0618 0.0012 1.0616 0.0013 3300 4341.91   779.35 0.086
J074242.18+374402.0 0.8057 0.0011 0.8068 0.0016 4300 7027.32   269.09 0.091
J074341.97+245958.2 0.9233 0.0013 0.9218 0.0015 2100 3286.72   392.30 0.136
J074641.70+352645.6 1.0581 0.0016 1.0591 0.0017 2600 3520.47   479.10 0.340
J080849.23+400918.7 0.8608 0.0020 0.8563 0.0021 7200 3991.79   184.35 0.102
J081006.90+145333.2 0.8786 0.0014 0.8797 0.0015 3900 5671.45   240.53 0.171
J081017.41+334745.5 0.8948 0.0016 0.8958 0.0018 5500 5746.87   417.25 0.116
J081043.21+234807.4 0.9623 0.0009 0.9598 0.0037 7000 3071.90  1009.17 0.231
J081409.21+323731.9 0.8438 0.0012 0.8452 0.0013 4300 4284.22   287.30 0.128
J081735.07+223717.7 0.9819 0.0012 0.9798 0.0017 8000 5222.35   534.86 0.149
J081921.79+444854.4 0.9067 0.0013 0.9074 0.0015 2600 2448.90   303.85 0.374
J082352.90+203700.7 0.8932 0.0013 0.8914 0.0030 6400 6373.16   661.95 0.068
J082732.26+141322.1 0.9611 0.0015 0.9613 0.0015 5500 3240.77   150.64 0.240
J082908.30+332150.8 1.0449 0.0018 1.0441 0.0019 2800 2687.76  1280.71 0.129
J084624.23+581654.4 0.8645 0.0016 0.8654 0.0017 8100 4727.25   645.13 0.208
J083624.96+504248.5 1.0542 0.0011 1.0533 0.0013 2700 2878.81   407.79 0.265
J084428.51+014818.7 0.8701 0.0029 0.8741 0.0038 1100 2972.49  2346.37 0.026
J084608.82+520600.7 0.8463 0.0018 0.8521 0.0022 8900 3263.47   476.55 0.254
J085006.92+123400.4 1.1361 0.0015 1.1366 0.0015 4300 3849.32   315.62 0.177
J085118.18+070048.5 1.3960 0.0014 1.3991 0.0015 8000 6100.92  1768.49 0.048
J085147.00+073053.7 1.0633 0.0018 1.0638 0.0019 5400 5234.50   631.75 0.254
J085205.91+183922.2 0.8399 0.0015 0.8408 0.0016 5500 6118.81   347.74 0.073
J085432.74+354650.8 1.0527 0.0015 1.0535 0.0015 2700 4838.27   475.45 0.256
J085602.95+503119.9 0.8346 0.0010 0.8352 0.0012 1500 3049.23   730.04 0.287
J085850.00+255146.0 1.0344 0.0017 1.0325 0.0018 7100 5349.66   460.86 0.075
J090225.61+083042.7 0.8619 0.0016 0.8613 0.0017 3900 3764.91   341.06 0.184
J090916.08+163522.5 1.0728 0.0015 1.0727 0.0016 3900 5948.97   298.60 0.196
J092620.48+324319.9 1.5331 0.0014 1.5338 0.0014 4900 3442.76   321.26 0.207
J093036.24+383228.8 0.8993 0.0013 0.8999 0.0014 5500 5050.77   247.20 0.181
J094855.34+403944.6 1.2486 0.0014 1.2494 0.0016 6400 4536.81   839.71 0.296
J095015.77+230255.5 1.0028 0.0012 1.0030 0.0013 6400 2835.58   255.47 0.233
J095206.38+235245.2 0.9709 0.0019 0.9710 0.0021 4100 4735.49   508.35 0.255
J095207.47+213510.2 0.9354 0.0022 0.9348 0.0023 7100 5376.85   246.25 0.189
J095558.98+310943.0 1.1193 0.0010 1.1208 0.0014 1300 2635.46  1098.24 0.258
J100155.02+173700.3 1.0624 0.0014 1.0630 0.0014 2700 3194.75   522.51 0.205
J100222.57+311211.8 1.1490 0.0015 1.1493 0.0018 7100 4587.92  1236.28 0.155
J100225.33+313123.6 1.2279 0.0010 1.2276 0.0010 2600 3326.92   222.87 0.144
J100228.89+293226.5 0.8025 0.0014 0.8008 0.0015 7100 7012.11  1050.49 0.076
J100716.24+070042.0 1.2007 0.0011 1.2007 0.0013 4300 3909.50   880.70 0.122
J101246.33+171419.0 1.1033 0.0012 1.1038 0.0014 4300 2490.37   317.88 0.590
J101648.99+041928.1 0.9678 0.0016 0.9673 0.0017 5500 5102.62   328.78 0.204
J102034.30+432740.9 1.0478 0.0015 1.0483 0.0023 2600 5819.99   845.21 0.138
J102157.91+263823.9 0.8747 0.0017 0.8760 0.0018 3600 4461.96   298.90 0.229
J102507.44+423024.8 1.1042 0.0016 1.1033 0.0017 8000 9419.78   576.61 0.071
J103523.55+193017.7 0.8069 0.0012 0.8071 0.0012 5500 3363.13   308.80 0.252
J103651.66+065649.6 1.0567 0.0017 1.0559 0.0021 8000 6553.63   957.57 0.097
J104755.02+120850.2 0.8127 0.0012 0.8144 0.0016 2400 7474.99   589.78 0.047
J104815.78+084034.7 0.8927 0.0030 0.8953 0.0032 8000 4903.60   775.76 0.103
J105021.18+602808.3 0.9647 0.0013 0.9638 0.0016 8000 4813.03   690.83 0.126
J105035.57+190544.2 1.0361 0.0013 1.0360 0.0013 2600 3059.53   290.77 0.294
J105606.94+292849.7 0.9164 0.0015 0.9159 0.0016 5400 4539.74   293.93 0.171
J105634.56+121023.5 0.8920 0.0013 0.8903 0.0015 3900 9827.60  1040.86 0.043
J105817.90+195150.9 1.1149 0.0016 1.1163 0.0017 5500 4579.63   333.67 0.269
J110907.57+414324.6 0.8829 0.0013 0.8839 0.0014 3900 3111.80   307.36 0.285
J111332.53+171002.5 1.0978 0.0019 1.0987 0.0019 2800 4319.54   276.06 0.202
J111645.29+301644.9 0.9454 0.0018 0.9431 0.0022 1100 5080.77   773.04 0.097
J111852.51+045353.5 0.8053 0.0012 0.8064 0.0024 3900 3654.09   951.81 0.146
J112317.51+051804.0 1.0002 0.0014 1.0002 0.0015 3700 3541.21   218.20 0.368
J112357.74+662255.6 0.8346 0.0013 0.8356 0.0013 3900 5710.08   275.30 0.115
J112405.28+380418.5 0.9040 0.0018 0.9035 0.0025 8000 5373.59  1031.11 0.153
J112439.72+002419.6 1.0194 0.0015 1.0202 0.0018 7100 6132.80   686.87 0.105
J112507.36+375119.6 1.2456 0.0012 1.2461 0.0012 2700 2306.22    87.81 0.520
J113811.59+382119.5 0.9002 0.0057 0.8992 0.0059 7100 8029.17  1174.60 0.035
J114744.61+331339.5 0.8470 0.0014 0.8460 0.0015 3100 5791.17   560.47 0.107
J115111.51+050528.7 0.9552 0.0028 0.9542 0.0029 2600 5469.64   433.44 0.144
J115129.37+382552.3 1.3021 0.0014 1.3020 0.0014 5400 4097.01   475.46 0.276
J115139.68+335541.4 0.8510 0.0012 0.8497 0.0016 8000 6884.11   707.59 0.091
J115436.80+142817.7 0.9678 0.0022 0.9684 0.0048 8000 8438.95   845.40 0.056
J115542.53+021411.0 0.8729 0.0019 0.8734 0.0020 5400 6515.04   469.34 0.099
J120112.97+130153.3 1.1610 0.0012 1.1623 0.0014 2800 3510.47   586.10 0.173
J120542.23+064024.1 1.3712 0.0013 1.3713 0.0015 7300 1654.15  1597.19 0.159
J120618.52+673426.3 1.2590 0.0017 1.2592 0.0019 8000 5325.13   375.62 0.155
J120853.62+170001.5 1.0095 0.0012 1.0085 0.0013 2600 4905.79   323.90 0.212
J121413.55+052254.3 0.8971 0.0020 0.8993 0.0030 8100 8405.32   464.41 0.091
J121418.43+263932.3 0.9672 0.0013 0.9679 0.0015 3900 4441.95   301.27 0.164
J122014.17+122019.7 1.0503 0.0026 1.0499 0.0027 7100 3963.85  1071.76 0.095
