Table 1.
Observational properties of quasars with significant periodicity.
Name	RA	Dec.	z	R-mag	log (M/M⊙)	X-ray/radio catalogue
UM 269a	10.832 2440	0.854 2910	0.308	17.8	(8.4079) 8.5337 ± 0.3138b	3XMM(X),1RXS(X), FIRST(R)
SDSS J005158.83−002054.1	12.995 1310	−0.348 3820	1.047	19.3	8.783c	
SDSS J005453.30−003258.3	13.722 1040	−0.0.549 5320	0.961	19.8	(7.9341) 8.6412 ± 0.3094	
SDSS J023050.06+005843.1	37.708 6065	0.978 6625	1.447	17.9	(10.02) 9.2635 ± 0.2841	
SDSS J024442.77−004223.2	41.178 2445	−0.706 4567	0.628	19.7	7.926	
2QZ J095344.7+010354	148.436 6915	1.065 1954	0.994	19.3	(8.3814) 8.7953 ± 0.3032	
SDSS J104648.62+513912.6	161.702 6015	51.653 5127	0.587	18.7	(8.853) 8.6646 ± 0.3085	
SDSS J132815.49+361715.9	202.064 5650	36.287 7730	1.088	17	(9.6039) 9.4686 ± 0.2757	1RXS(X), 2RXP(X), 1WGA(X)
SDSS J133254.51+371735.5	203.227 1569	37.293 2211	2.46	19.3	(8.7384) 9.3584 ± 0.2802	
SDSS J133840.66+315936.4	204.669 4431	31.993 4505	2.944	19.6	(9.4063) 9.3868 ± 0.2791	
SDSS J134553.57+334336.0	206.473 2442	33.726 6720	0.886	19.3	(9.0644) 8.7308 ± 0.3058	FIRST(R)
SDSS J134556.16+343224.5	206.484 0056	34.540 1540	0.874	19.7	(8.6547) 8.6152 ± 0.3105	
SDSS J140929.76+535930.2	212.374 0072	53.991 7232	0.863	19	(8.5757) 8.7972 ± 0.3031	
SDSS J141004.41+334945.5	212.518 4030	33.829 3160	0.63	18.2	8.962	
SDSS J141244.09+421257.6	213.183 7413	42.216 0210	0.805	18.7	(9.6913) 8.8397 ± 0.3013	CXOX(X), FIRST(R)
SDSS J142339.44+471240.8	215.914 3459	47.211 3337	1.24	19.7	(8.5389) 8.8182 ± 0.3022	
TEX 1428+370	217.669 1030	36.817 7490	0.566	17.2	(8.5293) 9.0492 ± 0.2928	CXOX(X), FIRST(R), NVSS(R)
SDSS J143637.44+090155.5	219.156 0102	9.032 0841	0.568	18.7	(7.706) 8.6461 ± 0.3092	
SDSS J145713.26+140334.1	224.305 2882	14.059 4797	2.926	19.3	(9.2106) 9.4641 ± 0.2759	
SDSS J145859.07+153144.7	224.746 1508	15.529 0922	2.898	17.2	(9.9355) 10.0252 ± 0.2530	
SDSS J150900.70+175114.3	227.252 9518	117.853 9974	0.742	19.6	(8.6112) 8.5516 ± 0.3131	
FBQS J150911.2+215508	227.296 8330	21.919 110	0.438	16.4	(8.5381) 9.1195 ± 0.2899	FIRST(R), NVSS(R)
