Name,P-value,Observed,Variability,Separation,Angular,delta_t,tinsp,tinsp
UM 269,5.4*10^-4,490.5,16.0,3.13,0.67,0.044,1.3*10^4,3.3*10^5
SDSS J005158.83-002054.1,1.5*10^-3,443.1,9.6,2.89,0.35,0.035,7.4*10^2,1.9*10^4
SDSS J005453.30-003258.3,1.2*10^-3,444.7,14.4,1.55,0.19,0.002,2.2*10^4,5.6*10^5
SDSS J023050.06+005843.1,1.5*10^-2,445.2,6.9,6.65,0.77,2.570,4.0*10^0,1.0*10^2
SDSS J024442.77-004223.2,8.0*10^-6,452.9,10.5,1.77,0.25,0.003,3.9*10^4,9.8*10^5
2QZ J095344.7+010354,4.0*10^-4,308.0,14.2,1.70,0.22,0.007,1.4*10^3,3.5*10^4
SDSS J104648.62+513912.6,2.8*10^-1,575.0,9.6,4.30,0.63,0.111,2.2*10^3,5.5*10^4
SDSS J132815.49+361715.9,3.5*10^-2,301.1,5.9,4.14,0.49,0.685,1.1*10^1,2.8*10^2
SDSS J133254.51+371735.5,4.9*10^-3,300.2,17.0,1.52,0.18,0.008,7.7*10^1,1.9*10^1
SDSS J133840.66+315936.4,5.9*10^-4,301.3,12.2,2.33,0.29,0.077,4.2*10^0,1.1*10^2
SDSS J134553.57+334336.0,1.8*10^-3,796.6,19.0,5.60,0.70,0.159,1.5*10^3,3.8*10^4
SDSS J134556.16+343224.5,2.0*10^-5,400.1,24.2,2.60,0.33,0.027,1.2*10^3,3.0*10^4
SDSS J140929.76+535930.2,5.6*10^-1,881.3,4.5,4.15,0.53,0.026,1.3*10^4,3.3*10^5
SDSS J141004.41+334945.5,3.6*10^-4,509.4,10.0,4.24,0.60,0.147,9.9*10^2,2.5*10^4
SDSS J141244.09+421257.6,1.2*10^-5,433.4,26.6,6.22,0.80,1.645,3.0*10^1,7.6*10^2
SDSS J142339.44+471240.8,<4.0 *10^-6,298.8,13.6,1.74,0.20,0.009,5.2*10^2,1.3*10^4
TEX 1428+370,7.3*10^-1,288.3,12.9,2.14,0.32,0.027,1.3*10^3,3.3*10^4
SDSS J143637.44+090155.5,2.6*10^-2,319.1,11.5,1.21,0.18,0.001,3.9*10^4,9.8*10^5
SDSS J145713.26+140334.1,2.0*10^-1,321.1,7.2,2.10,0.26,0.037,1.1*10^1,2.8*10^2
SDSS J145859.07+153144.7,1.0*10^-2,317.4,6.0,3.65,0.46,0.609,6.5*10^-1,1.6*10^1
SDSS J150900.70+175114.3,5.0*10^-3,317.8,14.3,2.26,0.30,0.026,9.1*10^2,2.3*10^4
FBQS J150911.2+215508,6.5*10^-2,314.4,3.7,2.41,0.41,0.040,1.9*10^3,4.8*10^4
SDSS J150912.07+204004.6,2.1*10^-2,315.3,9.6,1.55,0.31,0.005,2.8*10^4,7.1*10^5
SDSS J151053.24+240943.3,3.2*10^-2,712.2,16.5,3.04,0.39,0.010,2.1*10^4,5.3*10^5
SDSS J151243.67+195845.1,1.5*10^-1,308.6,5.3,2.57,0.33,0.055,3.2*10^2,8.1*10^3
SDSS J151646.10+221724.7,3.9*10^-4,309.7,14.7,2.40,0.35,0.038,9.6*10^2,2.4*10^4
