System Type,J2000 Designation,System Name,Component Name,Discovery Method,Redshift,Redshift Type,RA,Dec,Equinox,Coordinate Waveband,Coordinate Source,Brightness1,Brightness_band1,Brightness_type1,Sep(arcsec),Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes
Recoil Candidate, J0009+1244 ,4C 12.03,4C 12.03,,0.156,,00:09:52.6115865762,+12:44:04.664804414,J2000,Optical,Gaia,17.8,B,mag,0,0,Perryman+1984 ; Merritt+2002, 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Coordinates from Simbad. Redshift from Perryman+.
Recoil Candidate, J0058+2651 ,NGC 326,NGC 326,,0.0477,,00:58:22.637,+26:51:58.61,J2000,Infrared,2MASS,13,V,mag,0,0,Werner+1999 ; Merritt+2002, 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Double galaxy. Redshift from Wener+. Coordinates from Simbad.
Recoil Candidate, J0148+5332 ,3C 52,3C 52,,0.29,spec,01:48:28.884,+53:32:28.19,J2000,Infrared,2MASS,18.5,B,mag,0,0,Spinrad+1985 ; Merritt+2002, ; 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Redshift from Ned and found in paper by Cheung+2009. Coordinates from SImbad.
Recoil Candidate, J0220-0156 ,3C 63,3C 63,,0.175,spec,02:20:54.3,-01:56:51,J2000,Optical,,18.5,B,mag,0,0,Smith+1980 ; Cheung+2009,,,Redshift from paper by Cheung+2009. COordinates from Simbad.
Recoil Candidate, J0516+2458 ,3C 136.1,3C 136.1,,0.064,,05:16:03.133,+24:58:25.47,J2000,Infrared,2MASS,17,B,mag,0,0,Spinrad+1985 ; Merritt+2002, ; 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Coordinates from Simbad. Redshift from Hewitt+1989?
Recoil Candidate, J0805+2409*,3C 192,3C 192,,0.05968,spec,08:05:35.0057673498,+24:09:50.334614040,J2000,Optical,Gaia,15.46,B,mag,0,0,Sandage+1966,,,Small wings. Coordinates and redshift from Simbad.
Recoil Candidate, J0831+3219 ,4C 32.25,4C 32.25,,0.05120,spec,08:31:27.521,+32:19:27.06,J2000,Infrared,2MASS,16.0,B,mag,0,0,de Ruiter+1986 ; Merritt+2002, 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Also known as B2 0828+32. Coordinates and redshift from Simbad.
Recoil Candidate, J0941+3944 ,3C 223.1,3C 223.1,,0.1075,spec,09:41:24.0272828657,+39:44:41.806341013,J2000,Optical,Gaia,16.4,V,mag,0,0,Sandage+1966 ; Dennett-Thorpe+2002 ; Merritt+2002, ; 2002MNRAS.330..609D ; 2002Sci...297.1310M, ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1126/science.1074688,Coordinates and redshift from Simbad.
Recoil Candidate, J1020+4831 ,4C 48.29,4C 48.29,,0.05315,spec,10:20:53.676,+48:31:24.31,J2000,Optical,SDSS,16.0,B,mag,0,0,Miley+1979 ; Merritt+2002, 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Coordinates and redshift from Simbad.
Recoil Candidate, J1101+1640 ,Abell 1145,Abell 1145,,0.0680,,11:01:32.0,+16:43:54,J2000,,,,,mag,0,0,Owen+1997 ; Merritt+2002, 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Coordinates from NED/Simbad. Coordinates likely for cluster and not radio source.
Recoil Candidate, J1130+0058 ,4C 01.30,4C 01.30,,0.13258,spec,11:30:21.4202517083,+00:58:23.044644843,J2000,Optical,Gaia,17.75,V,mag,0,0,Wang+2003 ; Liu+2004, ; 2004MNRAS.347.1357L, ; https://doi.org/10.1111/j.1365-2966.2004.07325.x,Quasar. Coordinates and redshift from Simbad.
Recoil Candidate, J1206+0406 ,4C 04.40,4C 04.40,,0.531,spec,12:06:20.12496,+04:06:10.7892,J2000,Optical,SDSS,,,mag,0,0,,,,Coordinates and redshift from Simbad.
Recoil Candidate, J1357+4807 ,J1357+4807,J1357+4807,,0.389,spec,17:46:14.03413721,+62:26:54.7383903,J2000,Radio,VLBI,19.51,V,mag,0,0,Cheung+2006,2006ApJ...650..679C,https://doi.org/10.1086/506908,Coordinates and redshift from Simbad.
Recoil Candidate, J1513+2607 ,3C 315,3C 315,,0.1083,spec,15:13:40.0227468596,+26:07:23.710955469,J2000,Optical,Gaia,16.30,B,mag,0,0,Schmidt+1965 ; Merritt+2002, ; 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Double galaxy. Coordinates from Simbad and redshift from NED (and Hewitt+1991).
Recoil Candidate, J1824+7420*,3C 379.1,3C 379.1,,0.2560,spec,18:24:33.061,+74:20:58.57,J2000,Infrared,2MASS,18.0,V,mag,0,0,Smith+1976,,,Small wings. Coordinates from Simbad and redshift from NED (and Hewitt+1991).
Recoil Candidate, J1952+0230 ,3C 403,3C 403,,0.059,spec,19:52:15.7997953344,+02:30:24.235518851,J2000,Optical,Gaia,16.5,V,mag,0,0,Sandage+1972 ; Dennett-Thorpe+2002 ; Merritt+2002, ; 2002MNRAS.330..609D ; 2002Sci...297.1310M, ; https://doi.org/10.1046/j.1365-8711.2002.05106.x ; https://doi.org/10.1126/science.1074688,Coordinates from Simbad. Redshift from Spinrad+1985.
Recoil Candidate, J2123+2504 ,3C 433,3C 433,,0.101757,,21:23:44.582,+25:04:27.23,J2000,Infrared,,16.350,V,mag,0,0,Schmidt+1965 ; Merritt+2002, 2002Sci...297.1310M, ; https://doi.org/10.1126/science.1074688,Coordinates and redshift from Simbad
Recoil Candidate, J2157+0037 ,J2157+0037,J2157+0037,Radio Imaging,0.39062,spec,21:57:31.448,+00:37:57.06,J2000,Optical,SDSS,20.87,V,mag,0,0,Zakamska+2004,2004AJ....128.1002Z,https://doi.org/10.1086/423220,Coordinates and redshift from Simbad
Recoil Candidate, J2347+0852 ,J2347+0852,J2347+0852,,0.292,spec,23:47:38.1536951232,+08:52:46.413060197,J2000,Optical,Gaia,17.10,V,mag,0,0,Perlman+1998,,,Quasar. Coordinates from Simbad. Redshift from NED (Perlman+1998).
