ID,RA1,Dec1,U-B,MB(-5logh),[Oiii]λ5007/Hβ,zabs,zem,vem-vabs(kms-1),vem-vabs(kms-1)_pm
EGSD2 J141515.6+520354,14:15:15.6,+52:03:54,1.04,-20.9,12.9,0.69304,0.69355,89.9,14.6
EGSD2 J141417.6+520351,14:14:17.6,+52:03:51,1.10,-20.5,3.18,0.77447,0.77404,-72.9,17.7
EGSD2 J141523.5+520532,14:15:23.5,+52:05:32,1.20,-20.3,3.16,0.48214,0.48265,103.9,16.9
EGSD2 J141547.7+520843,14:15:47.7,+52:08:43,1.08,-20.9,4.09,0.61916,0.61806,-203.0,20.6
EGSD2 J141458.0+520915,14:14:58.0,+52:09:15,1.18,-19.3,3.08,0.48358,0.48396,76.1,19.6
EGSD2 J141433.1+520834,14:14:33.1,+52:08:34,1.17,-20.9,5.34,0.77156,0.77261,178.7,22.6
EGSD2 J141643.2+521721,14:16:43.2,+52:17:21,1.26,-20.4,3.06,0.45095,0.45133,77.0,11.5
EGSD2 J141732.6+523817,14:17:32.6,+52:38:17,1.19,-22.0,3.43,0.71671,0.71792,211.5,12.1
EGSD2 J141711.0+523729,14:17:11.0,+52:37:29,1.18,-21.1,4.36,0.64395,0.64344,-92.1,20.3
EGSD2 J141839.2+525140,14:18:39.2,+52:51:40,1.17,-20.3,3.65,0.34514,0.34546,71.4,18.4
EGSD2 J142017.9+525538,14:20:17.9,+52:55:38,1.02,-18.7,5.98,0.63750,0.63843,169.9,30.0
EGSD2 J142043.0+525716,14:20:43.0,+52:57:16,1.18,-19.7,5.06,0.74898,0.74831,-115.0,24.9
EGSD2 J141939.0+530223,14:19:39.0,+53:02:23,1.05,-20.2,3.04,0.76309,0.76243,-111.4,30.4
EGSD2 J141929.7+530104,14:19:29.7,+53:01:04,1.10,-21.7,3.42,0.67789,0.67727,-110.9,13.2
EGSD2 J142010.1+530738,14:20:10.1,+53:07:38,1.15,-20.4,4.07,0.57380,0.57468,167.6,32.7
EGSD2 J142153.6+531352,14:21:53.6,+53:13:52,1.02,-20.7,8.20,0.67257,0.67205,-93.9,18.3
EGSD2 J142057.2+531104,14:20:57.2,+53:11:04,1.21,-20.0,6.09,0.71417,0.71372,-78.8,17.3
EGSD2 J142143.0+531820,14:21:43.0,+53:18:20,1.17,-20.8,6.58,0.76479,0.76501,37.1,12.3
DEEP2 J164714.9+350405,16:47:14.9,+35:04:05,1.22,-20.3,4.28,0.76186,0.76147,-65.7,14.7
DEEP2 J164646.6+350648,16:46:46.6,+35:06:48,1.02,-20.8,8.82,0.74588,0.74629,69.2,13.5
DEEP2 J165128.8+344841,16:51:28.8,+34:48:41,1.03,-20.8,8.75,0.70433,0.70381,-90.7,16.5
DEEP2 J232717.4+000803,23:27:17.4,+00:08:03,1.15,-20.4,>9.24,0.74173,0.74142,-54.3,16.9
DEEP2 J232907.8+001742,23:29:07.8,+00:17:42,1.06,-21.4,24.3,0.79166,0.79137,-47.8,6.3
DEEP2 J233030.0+002418,23:30:30.0,+00:24:18,1.02,-21.0,7.05,0.77831,0.77922,153.7,15.6
DEEP2 J233250.1+001929,23:32:50.1,+00:19:29,1.11,-20.2,8.65,0.70228,0.70291,110.1,22.4
DEEP2 J022735.0+003816,02:27:35.0,+00:38:16,1.13,-20.5,13.1,0.67491,0.67449,-75.7,16.2
DEEP2 J023050.3+002408,02:30:50.3,+00:24:08,1.15,-20.6,7.39,0.62009,0.62063,100.4,16.5
DEEP2 J023059.6+004418,02:30:59.6,+00:44:18,1.05,-20.1,3.97,0.77672,0.77618,-90.4,20.6
DEEP2 J022907.1+004353,02:29:07.1,+00:43:53,1.17,-21.3,15.7,0.65378,0.65299,-143.0,16.0
DEEP2 J023121.3+005110,02:31:21.3,+00:51:10,1.27,-22.7,3.15,0.77503,0.77665,273.9,8.5
