0002+0045    0.087 2 511  3 0.58 0.05 0.95 0.08 c  63.9  5.0 46.3 0.106 NIR/SS/VLBA  1,2,3,4,5
0006+1548    0.125 2 359  3 0.37 0.02 0.84 0.05 e 172.6  3.9 51.8 0.040 NIR          2,3
0009-0036    0.073 2 304  5 0.25 0.01 0.35 0.01 c  56.2  1.1 79.1 0.188 NIR/SS       1,4
0116-1025p   0.150 2 288  5 1.02 0.06 2.68 0.16 c 117.0  2.6  1.8 0.151 NIR/SS       1,4
0118-0826    0.137 2 349 12 0.71 0.06 1.73 0.15 c  25.7  3.4 16.6 0.159 n/a          6
0135-0058    0.160 2 314  4 0.29 0.02 0.79 0.04 e 130.7  7.6 12.7 0.084 NIR/SS       1,4
0135+1435    0.072 2 266  4 0.82 0.08 1.12 0.11 c 169.8  5.1 30.6 0.163 NIR/SS       1,2,4
0142-0050    0.133 2 235  4 0.78 0.07 1.84 0.16 e 169.4  9.2 51.5 0.101 NIR          2,3
0156-0007    0.081 2 305  4 0.70 0.05 1.06 0.07 c  24.9  4.7 85.9 0.327 NIR/SS       1,2,4
0200-0931    0.360 1 304 22 0.05 0.01 0.27 0.07 c  45.1  5.0 49.3 0.038 NIR          6,7
0400-0652    0.171 2 373  3 1.18 0.03 3.44 0.09 e  68.3  0.2  4.1 0.116 NIR/IFU/SS   1,3,4,8
0731+4528    0.083 2 268  3 0.47 0.02 0.74 0.04 c   6.2  6.7 31.6 0.011 n/a          1
0735+4036    0.103 2 255  4 0.13 0.00 0.25 0.01 c 137.7  1.3 30.9 0.068 NIR          2,3
0736+4759    0.096 2 233  2 0.21 0.01 0.37 0.02 c  98.7  3.8  4.7 0.099 NIR          1,3
0741+3928    0.210 2 408 20 0.40 0.06 1.36 0.22 e  81.8  1.1 13.2 0.208 NIR          3,6
0747+3440    0.130 2 309 22 0.47 0.05 1.09 0.10 c 147.8 11.0 84.6 0.119 NIR          2,3
0749+4514    0.031 2 244  5 0.64 0.02 0.40 0.01 e 153.2  0.6 29.4 0.023 n/a          2
0752+2736    0.069 2 266  4 0.81 0.07 1.07 0.09 c 170.6  2.4 12.6 0.190 n/a          1,2
0802+3046    0.077 2 336  6 0.87 0.09 1.26 0.12 c 150.0  1.9 20.4 0.146 n/a          1,2
0803+3926    0.065 2 357  3 1.73 0.10 2.17 0.13 e  41.5  0.3 81.7 0.146 n/a          1
0804+3051p   0.146 2 483  6 0.09 0.01 0.22 0.02 c 163.4 12.0 28.2 0.157 n/a          1,2
0808+4813    0.124 2 366  4 0.21 0.01 0.46 0.02 c 139.6  8.2 27.9 0.171 NIR/IFU      1,2,3,6
0814+2657    0.079 2 305  2 0.52 0.05 0.77 0.07 c 142.0  1.8 10.9 0.107 n/a          1,2
0815+0635    0.244 1 327 17 0.24 0.06 0.92 0.21 c  68.5  8.1  1.5 0.032 NIR          6,7
0821+5021    0.095 2 320  6 1.10 0.10 1.95 0.18 e 121.6  3.1 11.3 0.358 NIR          1,2,3
0840+2727p   0.135 2 562  9 0.68 0.07 1.63 0.16 e 118.4  7.2  4.0 0.235 n/a          1,6
0841+3931    0.132 2 321  6 1.34 0.10 3.15 0.24 c  98.3  8.5 34.5 0.238 NIR          1,3
0846+4258    0.219 2 506 11 0.26 0.01 0.92 0.05 c 175.7  8.6 56.2 0.064 n/a          1
0854+5026    0.096 2 316  3 0.76 0.02 1.35 0.04 c  33.9  2.2 18.3 0.023 n/a          1,2
0855+6423    0.036 2 275  4 0.77 0.04 0.55 0.03 e  61.0  2.2 14.8 0.325 n/a          2
0858+1041    0.148 2 367  5 0.32 0.02 0.83 0.05 c 157.3  3.0 71.9 0.064 n/a          1,2
0912+5320    0.102 2 380  8 0.17 0.01 0.32 0.03 c 105.7  2.7 53.7 0.132 n/a          1
0914+2102    0.133 2 485  5 0.13 0.01 0.31 0.03 c  77.1  8.3 71.0 0.014 n/a          6
0915+3009    0.130 2 253  4 0.40 0.02 0.94 0.04 e 162.0  1.5 19.1 0.037 n/a          1
0916+2835    0.142 2 387  3 0.39 0.01 0.98 0.03 c  40.8  1.3 40.6 0.062 NIR/IFU      1,3
0930+3430p   0.061 2 340  5 0.38 0.01 0.45 0.01 c 105.9  2.0  4.8 0.169 n/a          1
0941+3944    0.108 2 265  2 2.25 0.17 4.43 0.34 e  38.9  0.5 11.3 0.173 HST          2,3
0941+5751    0.159 1 323  3 0.48 0.02 1.33 0.06 e  32.3  2.3  6.1 0.052 NIR          3,6
0942+1254    0.154 2 664  3 0.18 0.02 0.48 0.05 c 117.5  7.2 33.1 0.039 NIR/SS       1,4,6
0952+2552p,s 0.339 1 438 18 1.00 0.05 4.85 0.24 e   3.8  2.5  5.6 0.106 NIR/IFU      3,6,7,8,9
0959+2619    0.051 2 222  2 0.20 0.01 0.20 0.01 e  36.2  3.5 64.6 0.057 n/a          1
