SDSS J000656.85+154847.9 MMT/Blue Channel   3800      Hb,OIII        2010 November 6                                             44.4 134.4 1080      J0006+1548
SDSS J010750.48-005352.9 Gemini/GMOS-S(1x1) 2100      Hb,OIII        2010 November 22 / 2010 December 18                         52.0 142.0           J0107-0053
SDSS J011659.59-102539.1 MMT/Blue Channel   3800      Hb,OIII        2010 November 5                                             28.8 118.8 1080      J0116-1025
SDSS J011802.94-082647.2 MMT/Blue Channel   3800      Hb,OIII        2010 November 5                                             42.3 132.3 1260      J0118-0826
SDSS J012613.31+142013.4 Gemini/GMOS-S(1x1) 2100      Hb,OIII        2010 December 21 / 2010 December 19                          6.4  96.4           J0126+1420
SDSS J013546.93-005858.5 MMT/Blue Channel   3800      Hb,OIII        2010 November 6                                             27.9 108.0 1080      J0135-0058
SDSS J014209.01-005050.0 MMT/Blue Channel   3800      Hb,OIII        2010 November 5 / 2010 November 6                           40.9 130.9 1080/900  J0142-0050
SDSS J020011.52-093126.1 MMT/Blue Channel   3800      Hb,OIII        2010 November 5 / 2010 November 6                           11.0 101.0 1260/1080 J0200-0931
SDSS J040001.59-065254.1 MMT/Blue Channel   3800      Hb,OIII        2010 January 17                                             64.2 154.2 1200      J0400-0652
SDSS J073509.49+403624.4 MMT/Blue Channel   3800      Hb,OIII        2010 January 17                                             36.0 126.0 1800      J0735+4036
SDSS J073849.75+315611.9 Gemini/GMOS-N(1x1) 2100      Hb,OIII,Ha,NII 2010 November 11 / 2010 November 12 / 2010 November 29      75.0 165.0 5         J0738+3156
SDSS J074129.66+392835.9 MMT/Blue Channel   3800      Hb,OIII        2010 December 5                                             20.0  95.0 1080      J0741+3928
SDSS J074729.77+344018.1 MMT/Blue Channel   3800      Hb,OIII        2010 November 5                                             52.4 142.4 1260      J0747+3440
SDSS J080418.23+305157.2 Lick/Kast          2200      Hb,OIII        2010 January 9 / 2009 April 23                              44.7 133.7 4800/3600 J0804+3051
SDSS J080841.22+481351.9 MMT/Blue Channel   3800      Hb,OIII        2010 November 6                                             57.0 147.0 900       J0808+4813
SDSS J081507.41+430427.0 Keck/LRIS          1300/2600 Hb,OIII,Ha,NII 2010 March 12                                               49.7 143.0 800       J0815+4304
SDSS J081542.53+063522.9 MMT/Blue Channel   3800      Hb,OIII        2010 November 5                                             67.0 157.0 1260      J0815+0635
SDSS J082857.99+074255.7 Keck/LRIS          1300/2600 Hb,OIII,Ha,NII 2010 March 12                                               56.5 146.5 800       J0828+0742
SDSS J084049.47+272704.8 MMT/Blue Channel   3800      Hb,OIII        2010 November 6                                             24.4 114.4 1080/1260 J0840+2727
SDSS J084130.18+393119.2 Palomar/DBSP       2800/3400 Hb,OIII,Ha,NII 2010 December 1                                             42.7 132.7 1800      J0841+3931
