Table 1.
List of objects and sources of data.
 Object	za	Data span	Referencesb 
(yr)	
3C 59	0.1096	22	1, 2, 3
PKS 0235+023	0.2072	24	1, 2
NGC 1097	0.0042	21	4, 5
1E 0450−1817	0.0616	23	1, 3
Pictor A	0.0350	15	1, 3, 6
CBS 74	0.0919	14	1, 3, 7
PKS 0921−213	0.0531	16	1, 3
PKS 1020−103	0.1965	12	3
3C 227	0.0860	35	1, 2, 7, 8, 9
Mrk 668	0.0768	24	2, 8, 10
3C 332	0.1510	25	1, 2, 7
Arp 102B	0.0244	32	1, 8
PKS 1739+184	0.1859	23	1, 3
3C 390.3	0.0555	41	2, 8, 11
aRedshifts from Eracleous & Halpern (2004), except for NGC 1097, whose redshift was measured from the spectra of Storchi-Bergmann, Baldwin & Wilson (1993).
bReferences to sources of data: (1) New observations presented in this paper, (2) Gezari, Halpern & Eracleous (2007), (3) Lewis, Eracleous & Storchi-Bergmann (2010), (4) Storchi-Bergmann et al. (2003) , (5) Schimoia et al. (2015), (6) Gaskell (1996), (7) SDSS DR2, (8) Liu et al. (2016a), (9) Osterbrock, Koski & Phillips (1976), (10) Shapovalova et al. (2013), and (11) Popović et al. (2014).
