QSO_fg,RA1,Dec1,QSO_bg,RA2,Dec2,z_fg,z_bg,theta',R_bottom(pkpc),Survey
J003308.63-083222.19,00:33:08.63,-08:32:22.19,J003307.31-083241.55,00:33:07.31,-08:32:41.55,3.038,3.043,0.459,216.433,SDSS
J012902.78+191824.46,01:29:02.78,+19:18:24.46,J012901.92+191847.18,01:29:01.92,+19:18:47.18,2.680,2.691,0.430,209.778,SDSS
J015415.22+032455.84,01:54:15.22,+03:24:55.84,J015416.43+032457.86,01:54:16.43,+03:24:57.86,2.660,3.219,0.304,148.640,SDSS
J022845.72-124643.92,02:28:45.72,-12:46:43.92,J022848.07-124706.78,02:28:48.07,-12:47:06.78,1.733,2.032,0.688,358.303,ATLAS
J023229.05-100123.48,02:32:29.05,-10:01:23.48,J023231.25-100102.92,02:32:31.25,-10:01:02.92,2.063,2.386,0.641,328.856,ATLAS
J031855.31-103040.30,03:18:55.31,-10:30:40.30,J031853.87-102945.32,03:18:53.87,-10:29:45.32,2.226,2.417,0.982,498.485,ATLAS
J032926.40-134732.22,03:29:26.40,-13:47:32.22,J032926.04-134831.51,03:29:26.04,-13:48:31.51,2.073,2.372,0.992,508.701,ATLAS
J033347.40-133928.44,03:33:47.40,-13:39:28.44,J033345.40-133938.41,03:33:45.40,-13:39:38.41,2.230,2.679,0.513,260.495,ATLAS
J034952.34-110620.59,03:49:52.34,-11:06:20.59,J034955.77-110642.91,03:49:55.77,-11:06:42.91,2.449,2.824,0.920,458.622,ATLAS
J090551.96+253003.35,09:05:51.96,+25:30:03.35,J090551.25+253026.09,09:05:51.25,+25:30:26.09,3.325,3.300,0.411,188.462,SDSS
J090828.30+080313.18,09:08:28.30,+08:03:13.18,J090826.82+080320.34,09:08:26.82,+08:03:20.34,2.390,3.168,0.385,193.025,SDSS
J091800.77+153621.46,09:18:00.77,+15:36:21.46,J091800.70+153631.31,09:18:00.70,+15:36:31.31,2.980,2.958,0.165,78.282,SDSS
J093240.91+400905.65,09:32:40.91,+40:09:05.65,J093243.02+400913.95,09:32:43.02,+40:09:13.95,2.962,3.130,0.426,202.556,SDSS
J093836.78+100905.34,09:38:36.78,+10:09:05.34,J093837.81+100922.00,09:38:37.81,+10:09:22.00,2.504,2.818,0.376,186.529,SDSS
J095503.57+614242.66,09:55:03.57,+61:42:42.66,J095503.14+614247.33,09:55:03.14,+61:42:47.33,2.739,2.725,0.093,45.173,SDSS
J095549.38+153838.11,09:55:49.38,+15:38:38.11,J095549.80+153837.00,09:55:49.80,+15:38:37.00,0.830,2.900,0.103,48.214,SDSS
J095629.72+243441.34,09:56:29.72,+24:34:41.34,J095627.88+243436.98,09:56:27.88,+24:34:36.98,2.979,2.914,0.425,201.423,SDSS
J100205.70+462411.82,10:02:05.70,+46:24:11.82,J100202.89+462407.25,10:02:02.89,+46:24:07.25,3.138,2.760,0.490,228.948,SDSS
J100253.37+341924.03,10:02:53.37,+34:19:24.03,J100254.22+341928.47,10:02:54.22,+34:19:28.47,2.418,2.506,0.190,95.194,SDSS
J100903.16-142104.27,10:09:03.16,-14:21:04.27,J100859.11-142114.19,10:08:59.11,-14:21:14.19,2.033,2.068,0.995,511.335,ATLAS
J101853.24-160727.80,10:18:53.24,-16:07:27.80,J101853.10-160808.04,10:18:53.10,-16:08:08.04,2.331,2.953,0.672,338.026,ATLAS
J102947.32+120817.11,10:29:47.32,+12:08:17.11,J102945.77+120824.53,10:29:45.77,+12:08:24.53,2.820,3.392,0.399,192.024,SDSS
J103109.37+375749.68,10:31:09.37,+37:57:49.68,J103108.25+375801.19,10:31:08.25,+37:58:01.19,2.752,2.589,0.292,141.842,SDSS
J103716.68+430915.57,10:37:16.68,+43:09:15.57,J103716.86+430944.83,10:37:16.86,+43:09:44.83,2.676,3.286,0.489,238.758,SDSS
J104314.33+143434.81,10:43:14.33,+14:34:34.81,J104313.69+143435.73,10:43:13.69,+14:34:35.73,2.980,3.361,0.156,73.812,SDSS
J104339.12+010531.29,10:43:39.12,+01:05:31.29,J104338.28+010507.77,10:43:38.28,+01:05:07.77,3.240,3.001,0.445,205.465,SDSS
J105202.95-103803.70,10:52:02.95,-10:38:03.70,J105203.23-103815.09,10:52:03.23,-10:38:15.09,2.104,2.194,0.202,103.336,ATLAS
J105338.15-081623.66,10:53:38.15,-08:16:23.66,J105336.09-081620.94,10:53:36.09,-08:16:20.94,2.192,2.294,0.512,260.282,ATLAS
J105354.90-100941.44,10:53:54.90,-10:09:41.44,J105354.48-100931.71,10:53:54.48,-10:09:31.71,3.232,3.248,0.192,88.924,ATLAS
J110402.08+132154.46,11:04:02.08,+13:21:54.46,J110401.42+132134.70,11:04:01.42,+13:21:34.70,2.869,2.576,0.366,175.702,SDSS
J110124.79-105645.12,11:01:24.79,-10:56:45.12,J110126.03-105642.26,11:01:26.03,-10:56:42.26,2.579,2.688,0.308,151.832,ATLAS
J111820.36+044120.22,11:18:20.36,+04:41:20.22,J111820.46+044125.26,11:18:20.46,+04:41:25.26,3.120,3.454,0.088,40.981,SDSS
J112032.04-095203.21,11:20:32.04,-09:52:03.21,J112032.65-095138.28,11:20:32.65,-09:51:38.28,2.180,3.627,0.442,224.954,ATLAS
J112239.32+450618.54,11:22:39.32,+45:06:18.54,J112236.72+450628.12,11:22:36.72,+45:06:28.12,3.590,3.044,0.486,216.459,SDSS
J112355.97-125040.73,11:23:55.97,-12:50:40.73,J112359.53-125056.76,11:23:59.53,-12:50:56.76,2.965,3.428,0.908,431.314,ATLAS
J112516.06+284057.59,11:25:16.06,+28:40:57.59,J112516.26+284122.74,11:25:16.26,+28:41:22.74,2.845,2.834,0.421,202.590,SDSS
J112839.64-144842.36,11:28:39.64,-14:48:42.36,J112843.30-144837.44,11:28:43.30,-14:48:37.44,1.920,2.200,0.888,459.457,ATLAS
J112913.52+662039.13,11:29:13.52,+66:20:39.13,J112915.28+662101.63,11:29:15.28,+66:21:01.63,2.807,2.803,0.414,199.966,SDSS
J113820.28+203336.93,11:38:20.28,+20:33:36.93,J113820.42+203333.18,11:38:20.42,+20:33:33.18,2.687,2.679,0.071,34.437,SDSS
J114443.59+102143.48,11:44:43.59,+10:21:43.48,J114442.32+102125.21,11:44:42.32,+10:21:25.21,1.503,2.833,0.436,227.342,SDSS
J115037.52+422421.01,11:50:37.52,+42:24:21.01,J115035.53+422409.90,11:50:35.53,+42:24:09.90,2.883,3.126,0.411,197.017,SDSS
J115222.15+271543.29,11:52:22.15,+27:15:43.29,J115221.84+271540.80,11:52:21.84,+27:15:40.80,3.102,3.083,0.080,37.686,SDSS
J120032.34+491951.99,12:00:32.34,+49:19:51.99,J120034.26+492015.22,12:00:34.26,+49:20:15.22,2.629,3.254,0.498,244.193,SDSS
J121642.25+292537.97,12:16:42.25,+29:25:37.97,J121641.77+292529.34,12:16:41.77,+29:25:29.34,2.532,2.519,0.178,87.996,SDSS
J122900.87+422243.23,12:29:00.87,+42:22:43.23,J122859.36+422229.73,12:28:59.36,+42:22:29.73,3.842,3.459,0.358,155.535,SDSS
