Name,RA,Dec,z,Sep_as,Sep_kpc,K1',K2',dV,Lb[OIII],Lr[OIII],L_5GHz,R,sigma_*,MBH,Ref,Type
095207.6+255257,09:52:07.6,+25:52:57,0.339,0.99,4.8,15.3,16.9,442,8.55,8.41,,,,8.4,3,1
115523.7+150757,11:55:23.7,+15:07:57,0.287,0.57,2.5,14.3,15.4,480,8.91,8.50,23.3,2,,7.8,3,1
123915.4+531415,12:39:15.4,+53:14:15,0.202,1.24,4.1,14.4,14.8,715,7.87,7.76,24.1,75,431,7.8,3,1
124859.7-025731,12:48:59.7,-02:57:31,0.487,0.51,3.1,15.5,16.7,380,8.58,9.04,,,,8.8,3,1
130724.1+460401,13:07:24.1,+46:04:01,0.352,2.29,11.4,16.2,16.4,518,8.30,8.32,,,293,7.7,3,1
150243.1+111557,15:02:43.1,+11:15:57,0.390,1.39,7.4,16.0,16.1,657,9.84,8.96,24.3,36,,9.4,3,1
151735.2+214533,15:17:35.2,+21:45:33,0.399,1.09,5.9,15.5,18.1,324,8.62,8.06,,,,7.5,3,1
154107.8+203609,15:41:07.8,+20:36:09,0.508,1.95,12.0,16.4,20.5,441,8.96,8.63,,,,8.7,3,1
110851.0+065901,11:08:51.0,+06:59:01,0.182,0.64,2.0,15.1,15.3,204,8.74,8.27,23.6,28,222,,1,2
114642.5+511030,11:46:42.5,+51:10:30,0.130,2.71,6.3,15.0,15.7,287,8.03,8.17,,,175,,1,2
115715.0+081632,11:57:15.0,+08:16:32,0.201,2.57,8.5,14.5,14.7,375,7.50,7.74,,,,,3,2
124037.8+353437,12:40:37.8,+35:34:37,0.161,0.22,0.6,15.5,15.7,491,8.79,8.20,23.2,28,201,,1,2
133226.3+060627,13:32:26.3,+06:06:27,0.207,1.54,5.2,15.6,15.8,409,7.79,8.04,,,275,,1;3,2
135646.1+102609,13:56:46.1,+10:26:09,0.123,1.32,2.9,14.7,15.0,383,8.85,9.19,24.0,128,251,,1,2
165206.1+310708,16:52:06.1,+31:07:08,0.075,2.93,4.2,14.3,20.6,307,6.59,6.73,,,140,,1;2,2
172049.2+310646,17:20:49.2,+31:06:46,0.095,0.40,0.7,14.5,20.3,389,7.69,7.29,,,242,,1,2
