Name,RA,Dec,z,Sep_as,Sep_kpc,K1',K2',dV,Lb[OIII],Lr[OIII],L_5GHz,R,sigma_*,MBH,Ref,Type
120240.7+263139,12:02:40.7,+26:31:39,0.476,,,14.9,,466,9.54,8.59,25.3,66,9.6,,3,1
121911.2+042906,12:19:11.2,+04:29:06,0.555,,,15.2,,459,9.46,9.33,,,,8.5,3,1
144012.8+615633,14:40:12.8,+61:56:33,0.275,,,14.2,,505,8.89,8.42,23.4,2,7.7,,3,1
150437.7+541150,15:04:37.7,+54:11:50,0.305,,,14.7,,719,9.02,8.21,,,,8.5,3,1
153231.8+420343,15:32:31.8,+42:03:43,0.209,,,15.1,,353,8.51,8.44,,,184,8.2,3,1
161027.4+130807,16:10:27.4,+13:08:07,0.229,,,15.3,,326,7.94,8.11,,,175,8.3,3,1
161826.9+081951,16:18:26.9,+08:19:51,0.446,,,14.3,,384,8.62,9.54,25.6,137,10.3,,3,1
161847.9+215925,16:18:47.9,+21:59:25,0.334,,,15.1,,365,8.84,8.49,23.8,5,9.0,,3,1
171930.6+293413,17:19:30.6,+29:34:13,0.180,,,14.7,,110,8.12,7.67,22.7,2,7.4,,3,1
040001.6-065254,04:00:01.6,-06:52:54,0.171,,,14.1,,391,8.43,8.73,23.2,10,242,,1,2
115249.3+190300,11:52:49.3,+19:03:00,0.097,,,14.3,,323,7.61,7.55,22.4,9,141,,1;2,2
120320.7+131931,12:03:20.7,+13:19:31,0.058,,,13.6,,292,6.56,6.57,23.6,156,,,2,2
121957.5+190003,12:19:57.5,+19:00:03,0.117,,,15.3,,390,7.74,7.44,,,123,,1,2
131106.7+195234,13:11:06.7,+19:52:34,0.156,,,15.2,,314,7.27,7.35,,,150,,1,2
131236.0+500416,13:12:36.0,+50:04:16,0.116,,,14.3,,353,7.11,7.01,22.7,16,,,2,2
132104.6-001446,13:21:04.6,-00:14:46,0.082,,,14.8,,330,6.44,6.63,,,163,,1,2
140231.6+021546,14:02:31.6,+02:15:46,0.180,,,14.4,,276,8.28,8.42,25.6,2553,222,,1,2
140534.8+244735,14:05:34.8,+24:47:35,0.130,,,14.7,,218,8.19,7.60,22.2,3,115,,1,2
140845.7+353218,14:08:45.7,+35:32:18,0.166,,,14.1,,371,8.42,8.32,23.4,16,250,,1,2
144157.2+094859,14:41:57.2,+09:48:59,0.220,,,14.9,,826,8.73,8.24,23.7,61,,,3,2
145156.8+301603,14:51:56.8,+30:16:03,0.158,,,14.6,,512,7.27,6.98,,,215,,1,2
150452.3+321415,15:04:52.3,+32:14:15,0.113,,,14.3,,250,7.22,7.36,22.4,7,,,2,2
151659.2+051752,15:16:59.2,+05:17:52,0.051,,,13.3,,326,7.05,7.06,22.2,8,213,,1;2,2
151757.4+114453,15:17:57.4,+11:44:53,0.227,,,14.7,,433,8.09,7.83,,,,,3,2
155009.6+080839,15:50:09.6,+08:08:39,0.232,,,14.7,,400,8.14,8.15,23.5,23,259,,1,2
160027.8+083743,16:00:27.8,+08:37:43,0.227,,,15.1,,422,7.80,7.83,25.5,3765,229,,1,2
160436.2+500958,16:04:36.2,+50:09:58,0.146,,,14.4,,366,7.72,7.71,,,211,,1;2,2
160631.4+273643,16:06:31.4,+27:36:43,0.158,,,15.4,,319,8.82,8.67,22.7,9,121,,1,2
163056.8+164957,16:30:56.8,+16:49:57,0.034,,,13.5,,301,7.25,7.45,21.4,2,107,,1,2
163316.0+262716,16:33:16.0,+26:27:16,0.071,,,14.4,,307,6.70,6.50,,,,,2,2
171544.0+600835,17:15:44.0,+60:08:35,0.157,,,14.8,,348,8.54,8.36,23.6,62,139,,1;3,2
230442.8-093345,23:04:42.8,-09:33:45,0.032,,,12.1,,320,6.46,6.35,22.0,8,134,,1;2,2
233313.2+004912,23:33:13.2,+00:49:12,0.170,,,13.8,,434,8.29,8.67,25.0,1234,98,,1,2
235256.6+001155,23:52:56.6,+00:11:55,0.167,,,14.8,,322,7.98,7.86,,,219,,1,2
