SDSS Name,RA,Dec,Optical Type,z,DeltaV,$L_{[\rm O\mathsc{iii}]}^b$,$L_{[\rm O \mathsc{iii}]}^r$,FWHM^b,FWHM^r,R,Deltatheta,DeltaS,Secondary Class,S11 Class,Primary Class
095207.6+255257,09:52:07.6,+25:52:57,Type 1,0.339,442,8.55,8.41,682,249,,1.00,4.8,,,Orbital motion
150243.1+111557,15:02:43.1,+11:15:57,Type 1,0.390,657,9.84,8.96,384,354,36,1.39,7.4,ENLR,,Orbital motion
012613.3+142013,01:26:13.3,+14:20:13,Type 2,0.573,580,8.72,9.35,426,334,4698,,,,,Extended narrow-line region
040001.6-065254,04:00:01.6,-06:52:54,Type 2,0.171,391,8.43,8.73,344,397,10,,,,NLR,Extended narrow-line region
081507.4+430427,08:15:07.4,+43:04:27,Type 1,0.510,536,8.96,9.52,419,509,106,1.95,12.0,,,Extended narrow-line region
105104.5+625159,10:51:04.5,+62:51:59,Type 1,0.436,364,9.25,8.19,847,167,1,1.52,8.6,,,Extended narrow-line region
110851.0+065901,11:08:51.0,+06:59:01,Type 2,0.182,204,8.74,8.27,686,159,28,0.73,2.2,ambiguous,binary,Extended narrow-line region
114642.5+511030,11:46:42.5,+51:10:30,Type 2,0.130,287,8.03,8.17,183,264,,2.84,6.6,,binary,Extended narrow-line region
115523.7+150757,11:55:23.7,+15:07:57,Type 1,0.287,480,8.91,8.50,928,265,2,0.58,2.5,ambiguous,,Extended narrow-line region
124037.8+353437,12:40:37.8,+35:34:37,Type 2,0.161,491,8.79,8.20,899,338,28,0.19,0.5,binary,,Extended narrow-line region
124859.7-025731,12:48:59.7,-02:57:31,Type 1,0.487,380,8.58,9.04,92,362,,0.53,3.2,ambiguous,,Extended narrow-line region
125327.5+254747,12:53:27.5,+25:47:47,Type 1,0.483,688,8.74,8.25,1130,148,32,0.72,4.3,ambiguous,,Extended narrow-line region
130724.1+460401,13:07:24.1,+46:04:01,Type 1,0.352,518,8.30,8.32,629,208,,2.37,11.7,,,Extended narrow-line region
133226.3+060627,13:32:26.3,+06:06:27,Type 2,0.207,409,7.79,8.04,271,439,,1.58,5.4,,binary,Extended narrow-line region
135646.1+102609,13:56:46.1,+10:26:09,Type 2,0.123,383,8.85,9.19,397,411,128,1.32,2.9,,binary,Extended narrow-line region
140816.0+015528,14:08:16.0,+01:55:28,Type 2,0.166,339,7.64,7.67,167,216,11,,,,,Extended narrow-line region
150437.7+541150,15:04:37.7,+54:11:50,Type 1,0.305,719,9.02,8.21,362,351,,,,,,Extended narrow-line region
151735.2+214533,15:17:35.2,+21:45:33,Type 1,0.399,324,8.62,8.06,781,124,,1.10,5.9,ambiguous,,Extended narrow-line region
161847.9+215925,16:18:47.9,+21:59:25,Type 1,0.334,365,8.84,8.49,328,140,5,,,,,Extended narrow-line region
164713.4+383140,16:47:13.4,+38:31:40,Type 2,0.164,340,7.52,7.49,181,185,,,,,,Extended narrow-line region
172049.2+310646,17:20:49.2,+31:06:46,Type 2,0.095,389,7.69,7.29,231,416,,0.38,0.7,ambiguous,,Extended narrow-line region
233313.2+004912,23:33:13.2,+00:49:12,Type 2,0.170,434,8.29,8.67,370,449,1234,,,,ambiguous,Extended narrow-line region
235256.6+001155,23:52:56.6,+00:11:55,Type 2,0.167,322,7.98,7.86,287,212,,,,,,Extended narrow-line region
080315.7+483603,08:03:15.7,+48:36:03,Type 1,0.635,262,8.98,8.92,285,157,7,2.63,18.0,,,Unresolved narrow-line region
080841.2+481352,08:08:41.2,+48:13:52,Type 2,0.124,396,7.62,7.82,320,359,,,,,,Unresolved narrow-line region
090246.9+012028,09:02:46.9,+01:20:28,Type 2,0.513,304,8.87,9.37,132,526,34,2.71,16.8,,,Unresolved narrow-line region
091646.0+283527,09:16:46.0,+28:35:27,Type 2,0.142,418,9.05,8.18,473,120,13,1.23,3.1,,,Unresolved narrow-line region
092455.2+051052,09:24:55.2,+05:10:52,Type 2,0.150,429,7.25,7.57,261,333,,0.44,1.2,ambiguous,,Unresolved narrow-line region
094032.3+311329,09:40:32.3,+31:13:29,Type 2,0.170,374,7.71,7.49,322,132,,2.45,7.1,,,Unresolved narrow-line region
105052.5+083935,10:50:52.5,+08:39:35,Type 2,0.169,351,8.19,8.18,366,369,,,,,,Unresolved narrow-line region
115106.7+471158,11:51:06.7,+47:11:58,Type 1,0.318,644,9.20,9.33,774,667,3,1.29,6.0,binary,,Unresolved narrow-line region
123915.4+531415,12:39:15.4,+53:14:15,Type 1,0.202,715,7.87,7.76,297,825,75,1.26,4.2,ENLR,,Unresolved narrow-line region
130128.8-005804,13:01:28.8,-00:58:04,Type 2,0.246,292,9.11,8.26,731,283,17,1.40,5.4,,,Unresolved narrow-line region
135024.7+240251,13:50:24.7,+24:02:51,Type 1,0.557,277,8.69,8.57,190,227,,1.80,11.6,,,Unresolved narrow-line region
144012.8+615633,14:40:12.8,+61:56:33,Type 1,0.275,505,8.89,8.42,1494,298,2,,,ENLR,,Unresolved narrow-line region
151656.6+183022,15:16:56.6,+18:30:22,Type 2,0.580,400,9.77,9.53,693,354,26314,,,,,Unresolved narrow-line region
152431.4+323751,15:24:31.4,+32:37:51,Type 2,0.629,480,9.41,8.92,378,307,,,,,,Unresolved narrow-line region
153231.8+420343,15:32:31.8,+42:03:43,Type 1,0.209,353,8.51,8.44,290,251,,,,,,Unresolved narrow-line region
154107.8+203609,15:41:07.8,+20:36:09,Type 1,0.508,441,8.96,8.63,374,241,,2.00,12.3,,,Unresolved narrow-line region
161826.9+081951,16:18:26.9,+08:19:51,Type 1,0.446,384,8.62,9.54,195,689,137,,,,,Unresolved narrow-line region
165206.1+310708,16:52:06.1,+31:07:08,Type 2,0.075,307,6.59,6.73,137,155,,2.96,4.2,,,Unresolved narrow-line region
171930.6+293413,17:19:30.6,+29:34:13,Type 1,0.180,1105,8.12,7.67,1265,776,2,,,,,Unresolved narrow-line region
