SDSSName,RA,Dec,OpticalType,z,DeltaV,R,Deltatheta,DeltaS,Imager,Exptime,UT,Seeing,IFS,Reference
080315.7+483603,08:03:15.7,+48:36:03,Type 1,0.635,262,7,2.63,18.0,NIRC2/Kp,420,110105,0.6,1,3
081507.4+430427,08:15:07.4,+43:04:27,Type 1,0.510,536,106,1.95,12.0,NIRC2/Kp,540,110105,0.6,1,3
083713.5+150037,08:37:13.5,+15:00:37,Type 2,0.141,387,7,1.37,3.4,NIRC2/Kp,480,110106,0.9,0,1
090246.9+012028,09:02:46.9,+01:20:28,Type 2,0.513,304,34,2.71,16.8,NIRC2/Kp,600,110106,0.8,1,3
090615.9+121846,09:06:15.9,+12:18:46,Type 1,0.644,357,,0.61,4.2,NIRC2/Kp,448,110105,0.5,0,3
091646.0+283527,09:16:46.0,+28:35:27,Type 2,0.142,418,13,1.23,3.1,NIRC2/Kp,660,110106,1.0,1,1
092455.2+051052,09:24:55.2,+05:10:52,Type 2,0.150,429,,0.44,1.2,NIRC2/Kp,660,110106,1.0,1,3
094032.3+311329,09:40:32.3,+31:13:29,Type 2,0.170,374,,2.45,7.1,NIRC2/Kp,840,110106,1.0,1,1
094236.7+192541,09:42:36.7,+19:25:41,Type 1,0.540,515,1,0.44,2.8,NIRC2/Kp,640,110105,0.5,0,3
095207.6+255257,09:52:07.6,+25:52:57,Type 1,0.339,442,,1.00,4.8,OSIRIS/Hbb,480,100306,0.7,1,3
105104.5+625159,10:51:04.5,+62:51:59,Type 1,0.436,364,1,1.52,8.6,NIRC2/Kp,600,110105,0.5,1,3
110851.0+065901,11:08:51.0,+06:59:01,Type 2,0.182,204,28,0.73,2.2,NIRC2/Kp,192,100604,0.3,1,1
114642.5+511030,11:46:42.5,+51:10:30,Type 2,0.130,287,,2.84,6.6,NIRC2/Kp,704,100604,0.4,1,1
115106.7+471158,11:51:06.7,+47:11:58,Type 1,0.318,644,3,1.29,6.0,NIRC2/Kp,600,110105,0.4,1,3
115523.7+150757,11:55:23.7,+15:07:57,Type 1,0.287,480,2,0.58,2.5,NIRC2/Kp,352,100603,0.7,1,3
115715.0+081632,11:57:15.0,+08:16:32,Type 2,0.201,375,,2.61,8.6,NIRC2/Kp,448,100603,0.7,0,3
123915.4+531415,12:39:15.4,+53:14:15,Type 1,0.202,715,75,1.26,4.2,NIRC2/Kp,1088,100604,0.3,1,3
124037.8+353437,12:40:37.8,+35:34:37,Type 2,0.161,491,28,0.19,0.5,OSIRIS/Hbb,960,100307,0.7,1,1
124859.7-025731,12:48:59.7,-02:57:31,Type 1,0.487,380,,0.53,3.2,NIRC2/Kp,768,100604,0.4,1,3
125327.5+254747,12:53:27.5,+25:47:47,Type 1,0.483,688,32,0.72,4.3,NIRC2/Kp,420,110105,0.4,1,3
130128.8-005804,13:01:28.8,-00:58:04,Type 2,0.246,292,17,1.40,5.4,ACS/F550M,2148,030809,,1,1
130724.1+460401,13:07:24.1,+46:04:01,Type 1,0.352,518,,2.37,11.7,NIRC2/Kp,448,100604,0.3,1,3
133226.3+060627,13:32:26.3,+06:06:27,Type 2,0.207,409,,1.58,5.4,NIRC2/Kp,768,100604,0.4,1,1;3
135024.7+240251,13:50:24.7,+24:02:51,Type 1,0.557,277,,1.80,11.6,NIRC2/Kp,420,110105,0.4,1,3
135646.1+102609,13:56:46.1,+10:26:09,Type 2,0.123,383,128,1.32,2.9,NIRC2/Kp,704,100603,0.8,1,1
150243.1+111557,15:02:43.1,+11:15:57,Type 1,0.390,657,36,1.39,7.4,NIRC2/Kp,448,100603,0.7,1,3
151735.2+214533,15:17:35.2,+21:45:33,Type 1,0.399,324,,1.10,5.9,NIRC2/Kp,960,100604,0.4,1,3
154107.8+203609,15:41:07.8,+20:36:09,Type 1,0.508,441,,2.00,12.3,NIRC2/Kp,448,100604,0.3,1,3
161027.4+130807,16:10:27.4,+13:08:07,Type 1,0.229,326,,2.35,8.6,NIRC2/Kp,192,100604,0.3,0,3
165206.1+310708,16:52:06.1,+31:07:08,Type 2,0.075,307,,2.96,4.2,NIRC2/Kp,320,100603,0.6,1,1;2
172049.2+310646,17:20:49.2,+31:06:46,Type 2,0.095,389,,0.38,0.7,NIRC2/Kp,384,100603,0.5,1,1
