SDSS,RA,Dec,OpticalType,z,DeltaV,R,Imager,Exptime,UT,Seeing,IFS,Reference
000249.1+004505,00:02:49.1,+00:45:05,Type 2,0.087,534,7,NIRC2/Kp,192,110105,0.6,0,1;2
000656.9+154848,00:06:56.9,+15:48:48,Type 2,0.125,382,,NIRC2/Kp,300,110105,0.7,0,2
014209.0-005050,01:42:09.0,-00:50:50,Type 2,0.133,248,,NIRC2/Kp,240,110105,0.7,0,2
040001.6-065254,04:00:01.6,-06:52:54,Type 2,0.171,391,10,OSIRIS/Hbb,240,100306,0.7,1,1
073509.5+403624,07:35:09.5,+40:36:24,Type 2,0.103,264,,NIRC2/Kp,420,110105,0.7,0,2
073656.5+475947,07:36:56.5,+47:59:47,Type 2,0.096,257,21,NIRC2/Kp,240,110105,0.7,0,1
073849.8+315612,07:38:49.8,+31:56:12,Type 2,0.297,297,506,NIRC2/Kp,240,110105,0.7,0,1
074129.7+392836,07:41:29.7,+39:28:36,Type 2,0.210,429,28,NIRC2/Kp,240,110105,0.6,0,3
074729.8+344018,07:47:29.8,+34:40:18,Type 2,0.130,319,,NIRC2/Kp,240,110105,0.6,0,2
080741.0+390015,08:07:41.0,+39:00:15,Type 2,0.023,637,2,WFPC2/F606W,500,950226,,0,2
080841.2+481352,08:08:41.2,+48:13:52,Type 2,0.124,396,,NIRC2/Kp,720,110106,0.6,1,1;2;3
082107.9+502116,08:21:07.9,+50:21:16,Type 2,0.095,338,6,NIRC2/Kp,360,110106,0.9,0,1;2
082357.8+391631,08:23:57.8,+39:16:31,Type 1,0.166,580,,NIRC2/Kp,420,110105,0.5,0,3
084130.2+393119,08:41:30.2,+39:31:19,Type 2,0.132,332,,NIRC2/Kp,480,110106,1.0,0,1
084227.5+054716,08:42:27.5,+05:47:16,Type 2,0.275,490,404,NIRC2/Kp,480,110106,0.8,0,1
085358.6+233911,08:53:58.6,+23:39:11,Type 2,0.113,215,,NIRC2/Kp,480,110106,0.9,0,1
090754.0+141509,09:07:54.0,+14:15:09,Type 2,0.120,285,,NIRC2/Kp,900,110106,0.8,0,1
090947.9+312444,09:09:47.9,+31:24:44,Type 1,0.264,977,2,NIRC2/Kp,420,110105,0.5,0,3
090958.3+085542,09:09:58.3,+08:55:42,Type 2,0.159,341,17,NIRC2/Kp,720,110106,0.9,0,3
091654.1+521723,09:16:54.1,+52:17:23,Type 1,0.219,349,,NIRC2/Kp,448,110105,0.5,0,3
094100.8+143614,09:41:00.8,+14:36:14,Type 2,0.383,854,59,NIRC2/Kp,480,110106,1.2,0,3
094124.0+394442,09:41:24.0,+39:44:42,Type 2,0.108,285,2814,WFPC2/F555W,600,990426,,0,2
094144.8+575124,09:41:44.8,+57:51:24,Type 1,0.159,339,322,NIRC2/Kp,420,110105,0.5,0,3
095833.2-005119,09:58:33.2,-00:51:19,Type 2,0.086,407,3,NIRC2/Kp,480,110106,1.2,0,1;2
095834.0+251235,09:58:34.0,+25:12:35,Type 2,0.116,336,4,NIRC2/Kp,480,110106,0.9,0,1
095920.5+422142,09:59:20.5,+42:21:42,Type 2,0.153,292,,NIRC2/Kp,480,110106,0.8,0,1
100145.3+283330,10:01:45.3,+28:33:30,Type 2,0.116,513,,NIRC2/Kp,360,110106,0.8,0,3
100654.2+464717,10:06:54.2,+46:47:17,Type 2,0.123,303,4,NIRC2/Kp,480,110106,0.8,0,1
101241.2+215556,10:12:41.2,+21:55:56,Type 1,0.111,257,,NIRC2/Kp,420,110105,0.5,0,3
102004.4+324343,10:20:04.4,+32:43:43,Type 1,0.484,381,,NIRC2/Kp,420,110105,0.5,0,3
103138.7+380652,10:31:38.7,+38:06:52,Type 1,0.492,734,,NIRC2/Kp,600,110105,0.5,0,3
105052.5+083935,10:50:52.5,+08:39:35,Type 2,0.169,351,,NIRC2/Kp,480,110106,0.9,1,1
111013.2+053339,11:10:13.2,+05:33:39,Type 1,0.152,755,,NIRC2/Kp,600,110105,0.4,0,3
112659.5+294443,11:26:59.5,+29:44:43,Type 2,0.102,319,,NIRC2/Kp,120,110106,0.9,0,1;2
112907.1+575605,11:29:07.1,+57:56:05,Type 2,0.313,314,36,NIRC2/Kp,540,110106,0.9,0,1
113021.0+022212,11:30:21.0,+02:22:12,Type 1,0.241,402,,NIRC2/Kp,640,110105,0.4,0,3
113045.3+505509,11:30:45.3,+50:55:09,Type 1,0.592,252,,NIRC2/Kp,420,110105,0.4,0,3
113105.1+610405,11:31:05.1,+61:04:05,Type 1,0.338,427,,NIRC2/Kp,600,110105,0.4,0,3
