Table 2 
Properties of Double-peaked [O III] AGNs with Integral-field Spectroscopy


SDSS Name	z	DeltaV	$L_{[\rm O\,\mathsc{iii}]}^b$	$L_{[\rm O\,\mathsc{iii}]}^r$	FWHM^b	FWHM^r	R	Deltatheta	DeltaS	Secondary Class	S11 Class	
		(km s^-1)	log(L_sun)	log(L_sun)	(km s^-1)	(km s^-1)		(")	(kpc)			
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	
Orbital motion												
095207.6+255257*	0.339	442	8.55	8.41	682	249	 ... 	1.00	4.8	 ... 	 ... 	
150243.1+111557*	0.390	657	9.84	8.96	384	354	36	1.39	7.4	ENLR	 ... 	
Extended narrow-line region												
012613.3+142013	0.573	580	8.72	9.35	426	334	4698	 ... 	 ... 	 ... 	 ... 	
040001.6-065254	0.171	391	8.43	8.73	344	397	10	 ... 	 ... 	 ... 	NLR	
081507.4+430427*	0.510	536	8.96	9.52	419	509	106	1.95	12.0	 ... 	 ... 	
105104.5+625159*	0.436	364	9.25	8.19	847	167	1	1.52	8.6	 ... 	 ... 	
110851.0+065901	0.182	204	8.74	8.27	686	159	28	0.73	2.2	ambiguous	binary	
114642.5+511030	0.130	287	8.03	8.17	183	264	 ... 	2.84	6.6	 ... 	binary	
115523.7+150757*	0.287	480	8.91	8.50	928	265	2	0.58	2.5	ambiguous	 ... 	
124037.8+353437	0.161	491	8.79	8.20	899	338	28	0.19	0.5	binary	 ... 	
124859.7-025731*	0.487	380	8.58	9.04	92	362	 ... 	0.53	3.2	ambiguous	 ... 	
125327.5+254747*	0.483	688	8.74	8.25	1130	148	32	0.72	4.3	ambiguous	 ... 	
130724.1+460401*	0.352	518	8.30	8.32	629	208	 ... 	2.37	11.7	 ... 	 ... 	
133226.3+060627	0.207	409	7.79	8.04	271	439	 ... 	1.58	5.4	 ... 	binary	
135646.1+102609	0.123	383	8.85	9.19	397	411	128	1.32	2.9	 ... 	binary	
140816.0+015528	0.166	339	7.64	7.67	167	216	11	 ... 	 ... 	 ... 	 ... 	
150437.7+541150*	0.305	719	9.02	8.21	362	351	 ... 	 ... 	 ... 	 ... 	 ... 	
151735.2+214533*	0.399	324	8.62	8.06	781	124	 ... 	1.10	5.9	ambiguous	 ... 	
161847.9+215925*	0.334	365	8.84	8.49	328	140	5	 ... 	 ... 	 ... 	 ... 	
164713.4+383140	0.164	340	7.52	7.49	181	185	 ... 	 ... 	 ... 	 ... 	 ... 	
172049.2+310646	0.095	389	7.69	7.29	231	416	 ... 	0.38	0.7	ambiguous	 ... 	
233313.2+004912	0.170	434	8.29	8.67	370	449	1234	 ... 	 ... 	 ... 	ambiguous	
235256.6+001155	0.167	322	7.98	7.86	287	212	 ... 	 ... 	 ... 	 ... 	 ... 	
Unresolved narrow-line region												
080315.7+483603*	0.635	262	8.98	8.92	285	157	7	2.63	18.0	 ... 	 ... 	
080841.2+481352	0.124	396	7.62	7.82	320	359	 ... 	 ... 	 ... 	 ... 	 ... 	
090246.9+012028	0.513	304	8.87	9.37	132	526	34	2.71	16.8	 ... 	 ... 	
091646.0+283527	0.142	418	9.05	8.18	473	120	13	1.23	3.1	 ... 	 ... 	
092455.2+051052	0.150	429	7.25	7.57	261	333	 ... 	0.44	1.2	ambiguous	 ... 	
094032.3+311329	0.170	374	7.71	7.49	322	132	 ... 	2.45	7.1	 ... 	 ... 	
105052.5+083935	0.169	351	8.19	8.18	366	369	 ... 	 ... 	 ... 	 ... 	 ... 	
115106.7+471158*	0.318	644	9.20	9.33	774	667	3	1.29	6.0	binary	 ... 	
123915.4+531415*	0.202	715	7.87	7.76	297	825	75	1.26	4.2	ENLR	 ... 	
130128.8-005804	0.246	292	9.11	8.26	731	283	17	1.40	5.4	 ... 	 ... 	
135024.7+240251*	0.557	277	8.69	8.57	190	227	 ... 	1.80	11.6	 ... 	 ... 	
144012.8+615633*	0.275	505	8.89	8.42	1494	298	2	 ... 	 ... 	ENLR	 ... 	
151656.6+183022	0.580	400	9.77	9.53	693	354	26314	 ... 	 ... 	 ... 	 ... 	
152431.4+323751	0.629	480	9.41	8.92	378	307	 ... 	 ... 	 ... 	 ... 	 ... 	
153231.8+420343*	0.209	353	8.51	8.44	290	251	 ... 	 ... 	 ... 	 ... 	 ... 	
154107.8+203609*	0.508	441	8.96	8.63	374	241	 ... 	2.00	12.3	 ... 	 ... 	
161826.9+081951*	0.446	384	8.62	9.54	195	689	137	 ... 	 ... 	 ... 	 ... 	
165206.1+310708	0.075	307	6.59	6.73	137	155	 ... 	2.96	4.2	 ... 	 ... 	
171930.6+293413*	0.180	1105	8.12	7.67	1265	776	2	 ... 	 ... 	 ... 	 ... 	
Notes. Objects are grouped according to the origin of the double-peaked [O III] lines. Column 1: J2000 designation. Type-1s are indicated by stars. Column 2: redshift. Column 3: velocity splitting between [O III] lambda5007 components: DeltaV/c = [(1 + z_r)^2/(1 + z_b)^2 - 1]/[(1 + z_r)^2/(1 + z_b)^2 + 1], where z_r and z_b are the redshifts of the redshifted and blueshifted [O III] components, respectively. Columns 4 and 5: [O III] lambda5007 luminosity in log(L_sun) for the blueshifted (b) and redshifted (r) line, corrected for Galactic extinction. Columns 6 and 7: [O III] lambda5007 FWHMs, corrected for the sigma = 65 km s^-1 instrumental broadening. Column 8: Kellermann et al. (1989) radio loudness, $R = F_{\nu,\rm 5\, GHz}/F_{\nu,\rm 4400A}$. Columns 9 and 10: projected angular separation (arcsec) and physical separation (kpc) between the main components in a merging system. Column 11: secondary classification (Section 3). Column 12: classification from Shen et al. (2011a).
