Table 3 
Double-peaked [O III] AGNs with Companions within 3"


SDSS Name	z	DeltaV	R	Deltatheta	DeltaS	Imager	Exptime	UT	Seeing	IFS	Reference	
		(km s^-1)		(")	(kpc)		(s)		(")			
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	
080315.7+483603*	0.635	262	7	2.63	18.0	NIRC2/Kp	420	110105	0.6	1	3	
081507.4+430427*	0.510	536	106	1.95	12.0	NIRC2/Kp	540	110105	0.6	1	3	
083713.5+150037	0.141	387	7	1.37	3.4	NIRC2/Kp	480	110106	0.9	0	1	
090246.9+012028	0.513	304	34	2.71	16.8	NIRC2/Kp	600	110106	0.8	1	3	
090615.9+121846*	0.644	357	 ... 	0.61	4.2	NIRC2/Kp	448	110105	0.5	0	3	
091646.0+283527	0.142	418	13	1.23	3.1	NIRC2/Kp	660	110106	1.0	1	1	
092455.2+051052	0.150	429	 ... 	0.44	1.2	NIRC2/Kp	660	110106	1.0	1	3	
094032.3+311329	0.170	374	 ... 	2.45	7.1	NIRC2/Kp	840	110106	1.0	1	1	
094236.7+192541*	0.540	515	1	0.44	2.8	NIRC2/Kp	640	110105	0.5	0	3	
095207.6+255257*	0.339	442	 ... 	1.00	4.8	OSIRIS/Hbb	480	100306	0.7	1	3	
105104.5+625159*	0.436	364	1	1.52	8.6	NIRC2/Kp	600	110105	0.5	1	3	
110851.0+065901	0.182	204	28	0.73	2.2	NIRC2/Kp	192	100604	0.3	1	1	
114642.5+511030	0.130	287	 ... 	2.84	6.6	NIRC2/Kp	704	100604	0.4	1	1	
115106.7+471158*	0.318	644	3	1.29	6.0	NIRC2/Kp	600	110105	0.4	1	3	
115523.7+150757*	0.287	480	2	0.58	2.5	NIRC2/Kp	352	100603	0.7	1	3	
115715.0+081632	0.201	375	 ... 	2.61	8.6	NIRC2/Kp	448	100603	0.7	0	3	
123915.4+531415*	0.202	715	75	1.26	4.2	NIRC2/Kp	1088	100604	0.3	1	3	
124037.8+353437	0.161	491	28	0.19	0.5	OSIRIS/Hbb	960	100307	0.7	1	1	
124859.7-025731*	0.487	380	 ... 	0.53	3.2	NIRC2/Kp	768	100604	0.4	1	3	
125327.5+254747*	0.483	688	32	0.72	4.3	NIRC2/Kp	420	110105	0.4	1	3	
130128.8-005804	0.246	292	17	1.40	5.4	ACS/F550M	2148	030809	 ... 	1	1	
130724.1+460401*	0.352	518	 ... 	2.37	11.7	NIRC2/Kp	448	100604	0.3	1	3	
133226.3+060627	0.207	409	 ... 	1.58	5.4	NIRC2/Kp	768	100604	0.4	1	1,3	
135024.7+240251*	0.557	277	 ... 	1.80	11.6	NIRC2/Kp	420	110105	0.4	1	3	
135646.1+102609	0.123	383	128	1.32	2.9	NIRC2/Kp	704	100603	0.8	1	1	
150243.1+111557*	0.390	657	36	1.39	7.4	NIRC2/Kp	448	100603	0.7	1	3	
151735.2+214533*	0.399	324	 ... 	1.10	5.9	NIRC2/Kp	960	100604	0.4	1	3	
154107.8+203609*	0.508	441	 ... 	2.00	12.3	NIRC2/Kp	448	100604	0.3	1	3	
161027.4+130807*	0.229	326	 ... 	2.35	8.6	NIRC2/Kp	192	100604	0.3	0	3	
165206.1+310708	0.075	307	 ... 	2.96	4.2	NIRC2/Kp	320	100603	0.6	1	1,2	
172049.2+310646	0.095	389	 ... 	0.38	0.7	NIRC2/Kp	384	100603	0.5	1	1	
Notes. Observing log and properties of the 31 dpAGNs with close companions. Column 1: J2000 designation. Type-1s are indicated by stars. Column 2: redshift. Column 3: velocity splitting between [O III] lambda5007 components. Column 4: Kellermann et al. (1989) radio loudness, $R = F_{\nu,\rm 5\, GHz}/F_{\nu,\rm 4400A}$. Columns 5 and 6: projected angular separation (arcsec) and physical separation (kpc) between the main components in a merging system. Column 7: name of the imager and filter. Column 8: total exposure time of the image. Column 9: UT date (yymmdd) of the image. Column 10: outside seeing at 5000 Aring during the imaging observation. Column 11: IFS data available? 1 - yes, 0 - no. Column 12: source references - (1) Liu et al. 2010b; (2) Wang et al. 2009; and (3) Smith et al. 2010.
