Table 4 
Double-peaked [O III] AGNs without Companions within 3"


SDSS Name	z	DeltaV	R	Imager	Exptime	UT	Seeing	IFS	Reference	
		(km s^-1)			(s)		(")			
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	
000249.1+004505	0.087	534	7	NIRC2/Kp	192	110105	0.6	0	1,2	
000656.9+154848	0.125	382	 ... 	NIRC2/Kp	300	110105	0.7	0	2	
014209.0-005050	0.133	248	 ... 	NIRC2/Kp	240	110105	0.7	0	2	
040001.6-065254	0.171	391	10	OSIRIS/Hbb	240	100306	0.7	1	1	
073509.5+403624	0.103	264	 ... 	NIRC2/Kp	420	110105	0.7	0	2	
073656.5+475947	0.096	257	21	NIRC2/Kp	240	110105	0.7	0	1	
073849.8+315612	0.297	297	506	NIRC2/Kp	240	110105	0.7	0	1	
074129.7+392836	0.210	429	28	NIRC2/Kp	240	110105	0.6	0	3	
074729.8+344018	0.130	319	 ... 	NIRC2/Kp	240	110105	0.6	0	2	
080741.0+390015	0.023	637	2	WFPC2/F606W	500	950226	 ... 	0	2	
080841.2+481352	0.124	396	 ... 	NIRC2/Kp	720	110106	0.6	1	1,2,3	
082107.9+502116	0.095	338	6	NIRC2/Kp	360	110106	0.9	0	1,2	
082357.8+391631*	0.166	580	 ... 	NIRC2/Kp	420	110105	0.5	0	3	
084130.2+393119	0.132	332	 ... 	NIRC2/Kp	480	110106	1.0	0	1	
084227.5+054716	0.275	490	404	NIRC2/Kp	480	110106	0.8	0	1	
085358.6+233911	0.113	215	 ... 	NIRC2/Kp	480	110106	0.9	0	1	
090754.0+141509	0.120	285	 ... 	NIRC2/Kp	900	110106	0.8	0	1	
090947.9+312444*	0.264	977	2	NIRC2/Kp	420	110105	0.5	0	3	
090958.3+085542	0.159	341	17	NIRC2/Kp	720	110106	0.9	0	3	
091654.1+521723*	0.219	349	 ... 	NIRC2/Kp	448	110105	0.5	0	3	
094100.8+143614	0.383	854	59	NIRC2/Kp	480	110106	1.2	0	3	
094124.0+394442	0.108	285	2814	WFPC2/F555W	600	990426	 ... 	0	2	
094144.8+575124*	0.159	339	322	NIRC2/Kp	420	110105	0.5	0	3	
095833.2-005119	0.086	407	3	NIRC2/Kp	480	110106	1.2	0	1,2	
