#Table: J/ApJ/799/72/table3.dat (http://cdsarc.cds.unistra.fr)
------------------------------------------------------------------------------------------------
                  | |      |    |   |    |     |    |l|    |    |   |   |   |   |   |      |
                  | |      |    |   |    |     |    |_|    |    |   |   |   |   |   |      |
                  | |      |    |   |    |     |    |l|    |    |   |   |   |   |   |      |
                  | |      |    |   |    |     |    |o|    |    |   |   |   |   |   |      |
                  | |      |    |   |    |     |    |g|    |    |   |   |  e|   | e_|      |
                  | |      |    |   |    |     |    |L|    |    |   | [N|_[N|[OI|[OI|      |
                  | |      |    |  a|    |     | log|H|  lo|    |e_E|II]|II]|II]|II]|      |   B
RName             |Q|     z|Inst|Sep|pSep| DelV|P1.4|a|gLHa|EWHa|WHa|/Ha|/Ha|/Hb|/Hb|Rcl   |PTcl
------------------|-|------|----|---|----|-----|----|-|----|----|---|---|---|---|---|------|----
005114.10+002049.5|A|0.1126|SDSS|3.4| 7.1| 58.7|23.0| |42.4|51.0|0.3|0.6|0.1|0.3|0.1|Normal|Comp
005113.93+002047.0|A|0.1124|SDSS|3.4| 7.1| 58.7|22.3| |41.8|23.6|0.4|0.7|0.1|1.0|0.2|Normal|Comp
013412.80-010724.8|A|0.0784|SDSS|4.6| 6.8|136.9|23.0|<|39.4|-3.0|0.9|   |   |   |   |Excess|
013412.78-010729.6|A|0.0789|SDSS|4.6| 6.8|136.9|23.1| |40.9| 0.0|0.1|1.7|0.4|1.1|0.7|Excess|AGN2
220634.96+000327.6|A|0.0466|SDSS|4.6| 4.2|124.5|22.0| |41.2| 8.7|0.2|0.8|0.1|0.7|0.1|Normal|Comp
220635.08+000323.3|A|0.0461|SDSS|4.6| 4.1|124.5|22.1| |41.6|14.8|0.2|1.5|0.1|1.3|0.1|Normal|AGN2
222051.66+005815.8|B|0.3178|LRIS|2.6|11.9| 63.5|25.0|<|41.8| 0.0|0.4|   |   |   |   |Excess|
222051.44+005815.0|B|0.3181|SDSS|2.6|11.9| 63.5|24.7|<|41.7|-2.0|1.2|   |   |   |   |Excess|
223222.60+001224.8|A|0.2215|LRIS|3.2|11.6|122.8|23.2| |41.5|35.6|0.3|0.5|0.1|1.3|0.2|Excess|Comp
223222.43+001225.8|A|0.2210|LRIS|3.2|11.6|122.8|22.9| |41.2|28.3|0.3|0.6|0.1|0.6|0.1|Excess|Comp
230010.19-000531.8|A|0.1797|SDSS|2.5| 7.7| 20.9|23.2|<|40.5|-0.1|0.2|   |   |   |   |Excess|
230010.31-000535.0|A|0.1798|SDSS|2.5| 7.7| 20.9|22.9|<|40.6|-1.5|0.3|   |   |   |   |Excess|
------------------------------------------------------------------------------------------------
