004306.47+001422.3| 0.38|0.07| 5.42|004306.39+001423.1|4.8|    |25.7|    |    |    |      |
004306.69+001424.5| 0.87|0.07| 2.63|004306.70+001424.5|4.8|24.2|21.3|19.8|19.3|19.1|      |
005410.63-001220.5| 6.25|0.09|10.09|005410.70-001220.9|2.0|    |    |23.0|21.4|20.6|      |
005410.81-001222.0| 4.85|0.09| 8.23|005410.78-001222.4|2.0|    |24.6|24.3|    |    |      |
010413.64-004241.9| 0.53|0.05| 3.44|010413.62-004241.8|4.9|    |23.9|24.1|21.7|21.3|      |
010413.77-004237.4| 1.01|0.05| 1.06|010413.75-004237.4|4.9|    |23.5|23.9|23.5|    |      |
011613.73+005807.1| 3.02|0.06| 5.19|011613.73+005807.3|5.4|19.0|24.1|23.0|21.4|20.8|      |
011613.77+005802.8| 0.78|0.06| 2.41|011613.77+005801.9|5.4|    |25.0|    |24.0|    |      |
012050.39-004657.2| 0.42|0.07| 0.96|012050.37-004656.6|3.3|    |24.6|23.3|22.2|22.2|      |
012050.63-004659.3| 0.96|0.07| 2.00|012050.55-004658.4|3.3|23.8|23.0|21.0|20.1|19.7|      |
012825.45-005814.7| 0.75|0.05| 2.65|012825.43-005814.8|3.1|    |    |23.5|21.9|20.5|      |
012825.71-005814.3| 0.55|0.05| 1.28|012825.61-005813.3|3.1|23.7|24.5|23.0|22.0|22.1|      |
013328.06+000436.0| 5.52|0.74|43.44|013328.03+000436.5|3.7|24.7|24.8|23.3|21.0|20.5|      |
013328.09+000440.3| 5.18|0.75| 5.18|013328.09+000440.1|3.7|    |25.3|23.6|22.4|21.4|      |
013505.87+011910.9| 1.22|0.12| 2.09|013505.89+011911.5|3.2|21.0|20.3|18.4|17.7|17.4|0.3574|BOSS
013505.88+011908.9| 0.81|0.12| 0.86|013505.88+011908.4|3.2|22.7|22.2|22.0|21.5|20.9|      |
013736.04+003636.1| 1.30|0.10| 2.42|013736.02+003637.8|4.5|    |    |25.5|    |    |      |
013736.06+003633.3| 0.88|0.10| 0.94|013736.07+003633.3|4.5|23.3|24.1|22.1|20.8|20.1|      |
014202.99-000150.1| 0.36|0.05| 0.44|014203.08-000150.3|2.5|24.7|24.3|22.5|21.1|21.1|      |
014203.28-000151.0| 2.68|0.05| 4.07|014203.24-000151.0|2.5|22.2|24.6|21.9|20.5|20.0|      |
014457.09-004216.7| 2.36|0.06| 3.43|014457.10-004216.6|2.5|24.8|24.8|22.4|20.3|19.5|      |
014457.15-004218.0| 0.62|0.06| 5.39|014457.17-004218.8|2.5|22.0|20.9|19.7|19.3|18.9|      |
014626.61-011436.7| 6.78|0.08| 9.89|014626.53-011436.4|3.7|    |    |24.2|    |    |      |
014626.80-011439.5| 8.65|0.08|13.49|014626.72-011438.9|3.7|    |    |23.5|22.2|21.1|      |
014655.08-001124.0| 0.67|0.06| 1.05|014655.06-001124.1|4.4|    |    |    |24.5|    |      |
014655.31-001121.7| 2.18|0.06| 4.50|014655.32-001122.2|4.4|    |25.2|24.5|24.0|    |      |
014928.27-001446.1| 0.55|0.05| 1.93|014928.39-001445.7|2.1|20.9|19.6|19.1|19.5|18.5|      |
014928.50-001448.5| 0.45|0.05| 1.28|014928.41-001447.8|2.1|20.7|20.6|20.0|20.1|18.4|0.0897|BOSS
015253.79-001005.6| 0.70|0.06| 3.36|015253.79-001005.6|2.3|19.9|17.1|16.1|15.7|15.4|0.0824|SDSS
015253.91-001003.9| 0.33|0.06| 0.53|015253.92-001004.3|2.3|23.3|19.6|19.0|18.4|19.1|      |
020301.36-003342.8| 0.49|0.10| 2.21|020301.40-003341.7|2.4|    |23.8|22.9|    |    |      |
020301.42-003339.2| 1.00|0.10| 1.44|020301.43-003339.3|2.4|25.8|23.8|22.0|21.2|20.7|      |
221029.52-000624.6| 0.41|0.07| 2.37|221029.41-000624.6|5.2|    |25.3|25.3|    |    |      |
221029.64-000620.5| 3.55|0.07| 4.66|221029.62-000620.6|5.2|24.2|25.1|22.4|20.9|20.1|      |
221142.39+002730.7| 2.64|0.07| 8.72|221142.42+002731.2|3.1|24.4|25.0|24.0|21.6|20.9|      |
221142.61+002727.6| 5.39|0.07|12.73|221142.51+002728.5|3.1|20.1|19.8|19.6|19.3|19.1|0.7363|BOSS
221331.63+004835.1| 2.05|0.06| 4.90|221331.60+004834.6|4.3|    |    |23.9|25.5|23.6|      |
221331.87+004836.1| 3.06|0.06| 5.39|221331.87+004836.1|4.3|21.0|24.8|21.6|20.6|19.8|      |
221806.92+004515.6| 4.01|0.12| 4.79|221806.92+004515.9|2.2|    |    |    |23.0|    |      |
221806.94+004517.5| 3.79|0.12| 5.24|221806.98+004517.9|2.2|22.1|22.9|22.3|21.8|21.2|      |
222051.44+005815.0|12.27|0.57|14.72|222051.55+005815.5|2.6|23.4|20.4|18.5|17.9|17.5|0.3181|SDSS
222051.66+005815.8| 7.64|0.54|35.28|222051.70+005816.7|2.6|24.6|21.0|19.5|18.8|18.3|0.3178|LRIS
222907.42-000411.7| 3.82|0.06| 9.81|222907.53-000411.1|3.6|    |22.6|    |    |    |0.5935|BOSS
222907.73-000410.9| 3.24|0.06| 5.93|222907.77-000410.9|3.6|24.1|24.9|23.0|21.1|21.3|      |
224426.38+001049.9| 0.86|0.08| 1.81|224426.44+001051.3|2.6|26.1|23.9|22.1|20.7|20.4|      |
224426.55+001051.7| 0.71|0.08| 4.53|224426.61+001051.9|2.6|24.9|24.9|22.6|21.6|21.4|      |
224532.53+005857.8| 1.36|0.06| 1.96|224532.53+005857.9|3.1|21.1|20.4|20.4|20.0|19.9|0.6492|SDSS
224532.71+005854.6| 0.49|0.06| 0.63|224532.68+005855.8|3.1|    |    |    |23.0|23.0|      |
225002.03+001132.1| 0.38|0.06| 1.53|225002.04+001131.9|4.5|    |    |23.3|22.1|21.5|      |
225002.10+001136.3| 0.30|0.06| 0.94|225002.10+001136.3|4.5|23.7|24.5|21.9|21.4|21.0|      |
225817.73+003007.6| 1.05|0.09| 1.27|225817.73+003007.7|5.1|21.6|19.7|18.4|17.9|17.4|      |
225817.91+003010.6| 0.85|0.09| 9.19|225817.97+003011.5|5.1|    |20.5|    |    |19.3|      |
230223.16-000301.3| 0.34|0.06| 3.68|230223.28-000301.2|3.3|25.0|22.8|21.3|21.0|20.7|0.3110|LRIS
230223.46-000259.3| 0.45|0.06| 2.28|230223.46-000259.4|3.3|26.7|22.4|20.6|19.6|19.2|0.5455|BOSS
231405.96+002808.5| 0.39|0.06| 5.05|231406.04+002808.7|4.1|24.5|23.5|22.6|21.9|21.5|      |
231406.05+002813.2| 2.45|0.06| 4.51|231406.03+002812.8|4.1|    |    |24.2|23.0|21.8|      |
231843.31+004527.6| 0.35|0.06| 0.73|231843.30+004527.2|4.3|23.0|22.2|21.3|20.8|20.6|0.9600|LRIS
231843.56+004525.1| 1.84|0.06| 4.47|231843.55+004525.0|4.3|21.2|21.0|20.6|20.4|19.9|0.2750|LRIS
231953.40+003816.2| 2.26|0.06| 5.08|231953.31+003816.7|3.7|    |    |22.0|22.0|20.9|      |
231953.40+003813.4| 0.94|0.06| 1.08|231953.43+003813.4|3.7|19.6|23.8|20.8|20.3|19.3|      |
