3 Lqac_169+013_002/003 3.029 3.009 21.24  21.6 20.0 E/M   169+013_002/169+013_003
3 Lqac_172+007_009/010 2.654 2.668 10.60  18.1 ---  B/I   172+007_009/172+007_010
3 Lqac_019+031_003/004 2.640 2.624 11.22  19.6 21.6 M/E   019+031_003/019+031_004
3 Lqac_246+026_017/018 2.605 2.605  6.32  19.7 ---  E/I   246+026_017/246+026_018
3 Lqac_329+000_016/017 2.550 2.545 20.81  21.3 20.5 E/E   329+000_016/329+000_017
3 Lqac_249+026_006/007 2.540 2.540  9.20  21.5 ---  M/I   249+026_006/249+026_007
3 Lqac_246+026_014/016 2.526 2.522 19.03  ---  17.8 I/E   246+026_014/246+026_016
3 Lqac_041-001_012/013 2.459 2.465  4.44  21.1 20.8 E/E   041-001_012/041-001_013
3 Lqac_187+011_009/010 2.458 2.458 16.59  ---  ---  I/M   187+011_009/187+011_010
4 Lqac_195+029_005/006 0.024 0.023 19.44  16.2 ---  M/M   195+029_005/195+029_006
4 Lqac_204+048_006/007 0.028 0.028  8.42  14.3 17.5 M/E   204+048_006/204+048_007
4 Lqac_209+018_002/003 0.051 0.051  2.45  ---  14.9 M/M   209+018_002/209+018_003
4 Lqac_357+002_005/006 0.053 0.053  3.71  ---  ---  M/M   357+002_005/357+002_006
4 Lqac_159+047_009/010 0.064 0.063 14.20  ---  ---  M/M   159+047_009/159+047_010
4 Lqac_223+047_010/011 0.070 0.070 16.68  ---  ---  M/M * 223+047_010/223+047_011
4 Lqac_223+047_011/012 0.070 0.070  7.25  ---  ---  M/M * 223+047_011/223+047_012
4 Lqac_146+042_004/005 0.074 0.075 21.27  17.6 18.8 E/M + 146+042_004/146+042_005
4 Lqac_154+046_006/007 0.080 0.079  4.57  ---  ---  M/M + 154+046_006/154+046_007
5 Lqac_204+048_006/007 0.028 0.028  8.424 14.3 17.5 M/E   204+048_006/204+048_007
5 Lqac_209+018_002/003 0.051 0.051  2.450 ---  14.9 M/M   209+018_002/209+018_003
5 Lqac_195+029_005/006 0.024 0.023 19.444 16.2 ---  M/M   195+029_005/195+029_006
5 Lqac_209+025_001/002 0.164 0.164  3.665 21.5 16.3 E/E   209+025_001/209+025_002
5 Lqac_137+000_025/026 1.887 1.873 14.978 20.3 16.9 E/E   137+000_025/137+000_026
5 Lqac_144+054_009/010 0.102 0.100 16.400 17.1 ---  M/I   144+054_009/144+054_010
5 Lqac_184+050_007/008 1.456 1.457  9.012 19.6 17.2 E/E   184+050_007/184+050_008
5 Lqac_205+005_008/009 0.266 0.266 20.293 ---  17.3 I/E   205+005_008/205+005_009
5 Lqac_126+003_006/007 0.506 0.506  2.777 17.3 ---  A/I   126+003_006/126+003_007
6 Lqac_250+031_012/013 0.587 0.586  2.132 19.6 ---  E/M   250+031_012/250+031_013
6 Lqac_238+046_013/014 0.136 0.135  2.377 ---  ---  M/M   238+046_013/238+046_014
6 Lqac_209+018_002/003 0.051 0.051  2.450 ---  14.9 M/M   209+018_002/209+018_003
6 Lqac_247+037_006/007 0.923 0.922  2.452 18.9 19.4 M/E   247+037_006/247+037_007
6 Lqac_181+043_009/010 1.789 1.791  2.608 18.3 18.7 M/E   181+043_009/181+043_010
6 Lqac_126+003_006/007 0.506 0.506  2.777 17.3 ---  A/I   126+003_006/126+003_007
6 Lqac_242+028_012/013 0.170 0.170  2.810 19.7 20.8 M/E   242+028_012/242+028_013
6 Lqac_052-000_030/031 0.610 0.609  2.890 24.5 19.5 E/E   052-000_030/052-000_031
6 Lqac_123+040_002/003 0.188 0.189  2.953 22.3 18.3 E/E   123+040_002/123+040_003
