LQAC_250+031_012/013 19.63  0.0   2.1322 0.587 0.586 ----E-----KLM ------------M  96 112 250+031_012/250+031_013
LQAC_238+046_013/014  0.0   0.0   2.3773 0.136 0.135 ------------M ------------M 143 144 238+046_013/238+046_014
LQAC_209+018_002/003  0.0  14.91  2.4501 0.051 0.051 ------------M ------------M   2 157 209+018_002/209+018_003
LQAC_247+037_006/007 18.92 19.4   2.4523 0.923 0.922 ------------M ----E-----K-M  49 101 247+037_006/247+037_007
LQAC_181+043_009/010 18.26 18.65  2.6083 1.789 1.791 ------------M ----E-------M  30  59 181+043_009/181+043_010
LQAC_126+003_006/007 17.33  0.0   2.7771 0.506 0.506 ABCD-----J--M --------I-KL-   9 120 126+003_006/126+003_007
LQAC_242+028_012/013 19.66 20.84  2.8096 0.17  0.17  ------------M ----E----J--M 100 139 242+028_012/242+028_013
LQAC_052-000_030/031 24.52 19.53  2.8899 0.61  0.609 ----E-------- ----E-----KL-  88 107 052-000_030/052-000_031
LQAC_123+040_002/003 22.26 18.3   2.9534 0.188 0.189 ----E-------- ----E----JKLM  31 137 123+040_002/123+040_003
LQAC_179+012_006/007 19.53 19.82  3.3223 0.596 0.596 ------------M ------------M  87 109 179+012_006/179+012_007
LQAC_188+068_007/008 19.05 19.45  3.3991 1.529 1.514 ------------M ------------M  55  84 188+068_007/188+068_008
LQAC_209+025_001/002 21.51 16.3   3.6647 0.164 0.164 ----E-------- ----E----JKLM   4 140 209+025_001/209+025_002
LQAC_357+002_005/006  0.0   0.0   3.7166 0.053 0.053 ------------M ------------M 144 156 357+002_005/357+002_006
LQAC_195+051_005/006 20.09 19.74  3.7278 1.686 1.684 ------------M ------------M 109  69 195+051_005/195+051_006
LQAC_249+026_004/005 20.21 19.65  3.7585 1.961 1.965 ------------M ----E-----KLM  99  43 249+026_004/249+026_005
LQAC_149+054_014/015 19.83 19.52  3.892  1.956 1.954 ------------M ------------M  86  44 149+054_014/149+054_015
LQAC_232+053_012/013 20.1  19.99  3.9819 1.531 1.533 ------------M ------------M 118  82 232+053_012/232+053_013
LQAC_216+007_007/008 20.2  19.59  4.0379 1.312 1.309 ------------M ------------M  93  95 216+007_007/216+007_008
LQAC_258+032_005/006 18.25 24.63  4.124  0.102 0.101 ----E----JKLM ----E----J---  29 147 258+032_005/258+032_006
LQAC_226+029_013/014 20.15 19.7   4.255  0.875 0.862 ------------M ------------M 104 103 226+029_013/226+029_014
LQAC_181+014_004/005 19.93 19.75  4.2621 1.801 1.8   ------------M ------------M 110  57 181+014_004/181+014_005
LQAC_194+012_014/015 19.45 19.56  4.3662 2.18  2.189 ------------M ------------M  79  17 194+012_014/194+012_015
LQAC_041-001_012/013 21.07 20.77  4.4356 2.459 2.465 ----E-----KLM ----E------LM 135   8 041-001_012/041-001_013
LQAC_151+041_005/006 18.03 19.15  4.445  1.734 1.738 ------------M ----E------LM  23  62 151+041_005/151+041_006
LQAC_151+041_005/006 18.03 19.15  4.445  1.734 1.738 ------------M ----E------LM  22  63 151+041_005/151+041_006
LQAC_154+046_006/007  0.0   0.0   4.5715 0.08  0.079 ------------M ------------M 145 151 154+046_006/154+046_007
LQAC_248+026_024/025  0.0  19.49  4.598  2.1   2.086 --------IJKL- ----E-----K-M  84  30 248+026_024/248+026_025
LQAC_193+008_005/006 18.8  17.44  4.6132 0.44  0.439 ------------M ----E----JKLM  13 123 193+008_005/193+008_006
LQAC_325+000_050/051 21.67 22.09  4.8306 2.152 2.14  ------G---K-M ------G---K-M 141  22 325+000_050/325+000_051
LQAC_218-001_007/008 20.71 17.91  5.0177 2.082 2.082 ------------M ----E---IJKLM  18  32 218-001_007/218-001_008
LQAC_224+054_011/012 20.36 20.28  5.204  1.913 1.912 ------------M ------------M 125  47 224+054_011/224+054_012
LQAC_206+038_002/003  0.0  18.32  5.2872 1.533 1.538 --------IJK-- ----E-----KLM  32  80 206+038_002/206+038_003
LQAC_221+021_012/013  0.0  18.45  5.4503 1.4   1.395 --------IJKL- ----E-----KLM  39  88 221+021_012/221+021_013
LQAC_333+013_012/013 19.9  19.64  5.6612 1.995 2.002 ------------M ------------M  97  39 333+013_012/333+013_013
LQAC_200+030_004/005 18.87 19.65  5.7624 1.595 1.596 ----E-----KLM ------------M  47  75 200+030_004/200+030_005
LQAC_186+056_006/007 20.25 19.15  6.0586 2.39  2.379 ------------M ------------M  62  10 186+056_006/186+056_007
LQAC_212+039_003/004 19.62 20.22  6.3113 2.078 2.083 ------------M ------------M  94  33 212+039_003/212+039_004
LQAC_246+026_017/018 19.72  0.0   6.325  2.605 2.605 ----E-----K-M --------IJKL- 106   4 246+026_017/246+026_018
LQAC_171+046_012/013 19.41  0.0   6.3712 0.106 0.106 ------------M ------------M  77 146 171+046_012/171+046_013
LQAC_350+008_002/003  0.0   0.0   6.6457 2.09  2.09  ABCD------KLM --------IJKL- 146  31 350+008_002/350+008_003
LQAC_357+000_012/013 20.06 19.2   7.0195 2.147 2.159 --------I-KLM ----E-----KLM  64  20 357+000_012/357+000_013
LQAC_164-000_024/025 19.87 20.1   7.2296 2.132 2.128 -----FG---KLM ------------M 114  23 164-000_024/164-000_025
LQAC_223+047_011/012  0.0   0.0   7.2474 0.07  0.07  ------------M ------------M 147 154 223+047_011/223+047_012
LQAC_269+023_001/002  0.0   0.0   7.3022 1.721 1.721 ABCD-----J--M --------I-KL- 148  67 269+023_001/269+023_002
LQAC_250+039_007/008 20.09  0.0   7.4091 0.539 0.54  ----E-----KLM --------I-K-- 122 118 250+039_007/250+039_008
LQAC_345-000_006/007 21.64 20.41  7.6698 1.896 1.885 ------G-----M ----E-G---KLM 128  49 345-000_006/345-000_007
LQAC_157+039_001/002 19.25 20.19  7.8861 1.895 1.885 ------------M ------------M  67  50 157+039_001/157+039_002
LQAC_128+011_005/006  0.0  19.41  8.0646 0.589 0.588 --------IJKL- ----E-----KLM  76 111 128+011_005/128+011_006
LQAC_322-006_003/004 19.08 19.24  8.2125 2.065 2.062 ------------M ------------M  56  34 322-006_003/322-006_004
LQAC_204+048_006/007 14.25 17.45  8.4238 0.028 0.028 ------------M ----E----J--M   1 158 204+048_006/204+048_007
LQAC_184+050_007/008 19.6  17.15  9.0124 1.456 1.457 ----E-----KLM ----E----JKLM   7  86 184+050_007/184+050_008
LQAC_249+026_006/007 21.53  0.0   9.2052 2.54  2.54  ------------M --------I-KL- 140   6 249+026_006/249+026_007
LQAC_116+043_008/009 19.72 19.97  9.2084 0.501 0.501 ----E-----KLM ----E-----KLM 105 121 116+043_008/116+043_009
LQAC_206+026_009/010 19.61 19.46  9.225  2.03  2.03  --------I-KLM --------I-KLM  80  38 206+026_009/206+026_010
LQAC_343+013_013/014  0.0   0.0   9.2484 0.543 0.543 ------------M --------IJKL- 149 116 343+013_013/343+013_014
LQAC_253+026_011/012 18.92 18.39  9.6202 1.904 1.899 ----E----JKL- ----E-----KL-  37  48 253+026_011/253+026_012
LQAC_199+000_014/015 20.57 18.8  10.054  0.138 0.138 ------------M ------------M  44 141 199+000_014/199+000_015
