SDSSJ0003-0103A SDSSJ0003-0101B 0.914 0.909 171.6  -760 956.3   14.4 00 03 50.76 -01 03 59.5 19.71 19.53 19.48 19.47 19.38 00 03 56.57 -01 01 31.7 20.05 19.87 19.69 19.71 19.46
SDSSJ0012+0052A SDSSJ0012+0053B 1.634 1.649  16.0  1590  97.3   59.8 00 12 01.88 +00 52 59.7 21.53 20.82 20.33 19.83 19.63 00 12 02.35 +00 53 14.1 21.03 20.82 20.51 20.22 20.10
SDSSJ0014+0112A SDSSJ0014+0113B 2.173 2.179 141.5   540 843.3   11.0 00 14 20.18 +01 12 12.7 20.17 19.93 19.98 19.77 19.41 00 14 27.94 +01 13 33.2 20.85 20.66 20.74 20.60 20.60
SDSSJ0014-0028A SDSSJ0014-0029B 1.924 1.920  95.4  -480 576.1   27.3 00 14 53.36 -00 28 27.6 19.25 19.37 19.23 18.70 18.68 00 14 57.58 -00 29 39.1 19.53 19.47 19.33 18.99 18.84
SDSSJ0025-1048A SDSSJ0025-1051B 2.405 2.386 166.9 -1640 978.1   12.0 00 25 46.94 -10 48 54.3 20.24 19.86 19.77 19.78 19.56 00 25 44.61 -10 51 37.6 20.88 20.24 20.16 20.04 20.18
SDSSJ0033-0018A SDSSJ0033-0018B 0.688 0.699 126.5  1940 637.0  126.4 00 33 33.62 -00 18 58.2 18.44 18.04 18.07 18.14 18.02 00 33 25.40 -00 18 29.7 20.13 19.68 19.62 19.44 19.23
SDSSJ0044+0018A SDSSJ0044+0019B 1.872 1.880  88.6   840 536.1   41.8 00 44 39.33 +00 18 22.9 18.34 18.36 18.18 17.94 17.89 00 44 34.09 +00 19 03.5 19.03 19.14 19.15 18.82 18.95
SDSSJ0049+0003A SDSSJ0049+0004B 1.330 1.336  92.8   790 557.3  103.5 00 49 50.92 +00 03 30.1 19.27 19.75 19.52 19.37 19.42 00 49 55.91 +00 04 24.8 19.03 20.00 19.80 19.83 20.06
SDSSJ0106+0024A SDSSJ0106+0023B 1.017 1.019 171.7   240 984.3    2.7 01 06 43.11 +00 24 35.1 20.02 19.88 19.62 19.75 19.70 01 06 54.05 +00 23 45.0 20.30 20.23 19.97 20.11 19.85
SDSSJ0117-0030A SDSSJ0117-0029B 1.826 1.824  73.1  -260 443.1   42.6 01 17 31.09 -00 30 02.3 20.64 20.53 20.34 19.94 19.93 01 17 27.57 -00 29 11.7 20.26 20.36 20.32 20.13 19.93
SDSSJ0117+0020A SDSSJ0117+0021B 0.613 0.611  44.5  -260 212.9   34.1 01 17 58.84 +00 20 21.5 17.96 17.67 17.82 17.79 17.99 01 17 58.00 +00 21 04.1 20.26 20.01 20.13 19.86 19.89
SDSSJ0129-0055A SDSSJ0129-0057B 1.475 1.480  78.3   540 474.7   37.3 01 29 42.65 -00 55 59.0 19.59 19.46 19.40 19.26 19.22 01 29 45.47 -00 57 04.9 20.25 20.16 19.85 19.83 19.60
SDSSJ0137-0034A SDSSJ0137-0036B 1.807 1.819 160.7  1320 974.1  197.5 01 37 32.24 -00 34 52.1 18.24 18.13 18.15 17.97 17.94 01 37 22.54 -00 36 00.1 19.21 19.25 18.96 18.58 18.45
SDSSJ0139+0009A SDSSJ0139+0010B 1.210 1.212 163.7   370 971.4   45.7 01 39 27.17 +00 09 31.4 18.56 18.83 18.52 18.51 18.69 01 39 17.83 +00 10 56.0 20.12 20.10 20.04 19.94 20.05
SDSSJ0141+0031A SDSSJ0141+0031B 1.892 1.903  42.9  1140 259.2    2.9 01 41 11.63 +00 31 45.9 20.23 20.19 20.11 19.87 19.96 01 41 10.41 +00 31 07.1 20.76 20.59 20.50 20.29 20.20
SDSSJ0150+0029A SDSSJ0150+0029B 0.763 0.758 113.4  -750 595.1  383.7 01 50 17.71 +00 29 02.4 21.45 19.11 18.87 18.72 18.69 01 50 10.16 +00 29 07.5 19.58 18.98 18.82 18.91 18.52
SDSSJ0158+0013A SDSSJ0158+0014B 2.128 2.139 161.4  1030 964.4   54.6 01 58 00.43 +00 13 57.1 20.05 20.08 20.13 19.93 19.83 01 58 10.78 +00 14 41.0 20.83 20.41 20.33 20.25 20.08
SDSSJ0203+0059A SDSSJ0203+0057B 1.996 2.006 144.8  1020 871.6   65.9 02 03 34.95 +00 59 55.6 21.19 20.46 20.22 20.03 19.85 02 03 31.29 +00 57 41.7 20.42 20.50 20.39 20.31 19.95
SDSSJ0206+0018A SDSSJ0206+0019B 1.687 1.684 138.2  -290 839.8   33.4 02 06 46.97 +00 18 00.7 18.89 18.76 18.82 18.63 18.62 02 06 54.38 +00 19 22.9 20.44 20.04 20.01 19.82 19.86
SDSSJ0221-0010A SDSSJ0221-0010B 1.045 1.034  84.2 -1550 486.0  174.8 02 21 53.52 -00 10 14.8 21.23 20.64 20.06 19.91 19.62 02 21 58.78 -00 10 44.4 20.43 20.23 20.04 20.07 20.20
