SDSSJ0002-0053A SDSSJ0002-0053B 2.206 1.545   7.3        44.5   20.9 00 02 12.07 -00 53 09.1 20.09 19.64 19.52 19.42 19.24 00 02 12.53 -00 53 11.7 20.71 20.59 20.34 20.13 20.18
SDSSJ0036-1109A SDSSJ0036-1109B 1.512 2.184   4.7        28.5   19.0 00 36 49.63 -11 09 29.8 19.05 18.82 18.67 18.45 18.64 00 36 49.73 -11 09 34.2 20.90 20.61 20.46 20.53 20.20
SDSSJ0040+0055A SDSSJ0040+0055B 2.092 2.030   8.5        51.3   15.2 00 40 18.68 +00 55 25.9 19.54 19.35 19.20 19.04 18.80 00 40 18.22 +00 55 31.0 19.04 18.85 18.66 18.58 18.46
SDSSJ0111+1402A SDSSJ0111+1401B 2.927 2.470  35.7       208.4   85.0 01 11 49.40 +14 02 15.8 21.78 20.26 20.04 20.18 19.84 01 11 50.07 +14 01 41.4 18.09 17.51 17.49 17.45 17.20
SDSSJ0115-1053A SDSSJ0115-1052B 2.966 2.073  49.0       294.0  176.3 01 15 32.42 -10 53 00.3 21.32 19.63 19.50 19.42 19.32 01 15 29.13 -10 52 52.6 19.49 19.40 19.35 19.20 18.97
SDSSJ0122+1410A SDSSJ0122+1410B 1.296 1.579   7.3        43.6   23.5 01 22 12.70 +14 10 54.7 20.10 19.99 19.83 19.56 19.53 01 22 13.19 +14 10 53.0 20.21 20.14 19.94 19.89 19.88
SDSSJ0124-0033A SDSSJ0124-0033B 2.254 1.432  27.7       167.4   32.1 01 24 15.54 -00 33 18.5 19.52 18.98 18.85 18.77 18.57 01 24 16.92 -00 33 36.8 20.87 20.66 20.60 20.57 21.08
SDSSJ0127+1506A SDSSJ0127+1507B 2.180 2.393  46.9       279.6   26.7 01 27 41.20 +15 06 55.9 18.73 18.51 18.36 18.36 18.17 01 27 42.57 +15 07 38.4 21.21 20.61 20.55 20.71 20.70
SDSSJ0152-0033A SDSSJ0152-0034B 2.080 2.137  49.7       298.0   24.7 01 52 41.18 -00 33 35.3 20.07 19.80 19.69 19.64 19.43 01 52 42.60 -00 34 20.3 20.31 20.13 20.22 20.10 19.93
SDSSJ0153-0858A SDSSJ0153-0859B 2.465 1.919  54.8       331.0   46.0 01 53 13.82 -08 58 20.6 19.42 18.91 19.01 19.08 18.84 01 53 11.37 -08 59 01.6 19.72 19.58 19.58 19.44 19.35
SDSSJ0153+0055A SDSSJ0153+0055B 2.248 0.799  18.9       101.0   12.8 01 53 45.05 +00 55 28.2 21.72 20.72 20.65 20.47 20.15 01 53 46.15 +00 55 37.4 21.20 20.71 20.76 20.63 20.20
SDSSJ0214-0759A SDSSJ0214-0759B 2.190 0.257  12.3        34.6   83.6 02 14 37.31 -07 59 55.6 19.45 19.22 19.15 19.16 19.01 02 14 36.50 -07 59 53.1 20.73 20.56 20.17 20.05 19.71
SDSSJ0215-0908A SDSSJ0215-0907B 2.081 1.908  38.4       232.2   13.9 02 15 51.73 -09 08 00.9 20.59 20.51 20.40 20.23 19.98 02 15 54.08 -09 07 44.3 19.79 19.88 19.83 19.67 19.71
SDSSJ0225+0048A SDSSJ0225+0048B 2.757 2.820  27.4       156.0   13.1 02 25 17.68 +00 48 22.0 21.52 20.59 20.31 20.31 20.35 02 25 19.50 +00 48 23.7 21.40 20.65 20.45 20.62 20.34
SDSSJ0239-0106A SDSSJ0239-0106B 3.124 2.304   3.7        21.7   55.0 02 39 46.44 -01 06 44.1 22.21 20.28 19.99 20.00 19.93 02 39 46.43 -01 06 40.4 21.26 20.61 20.56 20.54 20.19
SDSSJ0241+0010A SDSSJ0241+0010B 1.442 1.673   8.1        49.0   12.2 02 41 06.86 +00 10 26.8 20.09 19.97 19.82 19.73 19.79 02 41 07.40 +00 10 27.8 21.14 20.86 20.87 20.62 20.56
