iSDSS,z1,Selection Method,Confirmation Method,i_cor,theta_SDSS,theta_iband,Comment,Ref,z2
SDSSJ034801.20-070416.9,1.959,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.10,1.54,1.54,No lensing object,,-99
SDSSJ072843.03+370834.9,1.404,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.97,1.34,0.08,No lensing object,,-99
SDSSJ074352.62+245743.6,2.166,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,19.01,1.02,1.14,No lensing object,,-99
SDSSJ083530.89+054240.7,1.696,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.50,0.99,0.18,No lensing object,,-99
SDSSJ084710.40-001302.6,0.627,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.60,0.95,0.43,QSO pair,,0.626
SDSSJ085122.37+472249.0,0.894,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.80,1.47,0.03,No lensing object,,-99
SDSSJ093207.15+072251.3,1.993,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.96,1.42,1.95,QSO pair,,1.994
SDSSJ095324.39+570319.5,0.619,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.81,2.57,0.14,No lensing object,,-99
SDSSJ100229.46+444942.7,2.052,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.39,0.72,0.25,theta=0.8as,,-99
SDSSJ100327.37+595804.0,1.138,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,17.71,1.19,0.09,No multiple point sources,,-99
SDSSJ100859.55+035104.4,1.746,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,19.09,0.98,1.18,QSO pair,,1.740
SDSSJ104716.39+055159.5,0.891,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.51,0.54,1.50,theta=0.4as,,-99
SDSSJ112012.11+671116.0,1.494,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.46,1.71,1.40,QSO pair,,1.494
SDSSJ112241.58+641601.2,1.433,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.31,1.40,0.19,No lensing object,,-99
SDSSJ113236.06+030335.1,1.766,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.42,3.81,1.18,No lensing object,,-99
SDSSJ121244.33+091208.1,1.686,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.63,2.04,1.37,QSO pair,,1.600
SDSSJ125617.97+584550.0,1.205,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,17.88,1.19,0.83,No lensing object,,-99
SDSSJ125758.84+623834.2,2.136,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.50,0.72,1.47,theta=0.4as,,-99
SDSSJ133512.10+052732.4,1.958,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.98,0.79,0.32,theta=0.8as,,-99
SDSSJ140622.44-011230.7,1.154,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.84,1.15,1.18,No lensing object,,-99
SDSSJ143239.09+510431.6,1.193,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.94,0.68,1.59,theta=0.6as,,-99
SDSSJ171101.70+292950.9,1.329,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,17.84,2.18,0.71,No lensing object,,-99
SDSSJ171925.07+271338.0,1.912,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.55,1.53,0.03,No lensing object,,-99
SDSSJ211108.95+110642.3,1.003,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,19.00,0.62,0.03,theta=0.6as,,-99
SDSSJ212243.01-002653.6,1.971,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.64,0.75,0.75,theta=0.3as,,-99
SDSSJ221110.98-000953.3,0.666,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,,18.63,0.81,1.15,theta=0.7as,,-99
