Name1,z1,imag1,thetaSDSS1,Comment1,Name2,z2,imag2,thetaSDSS2,Comment2,reference
SDSSJ004757.25+144741.9,1.612,18.67,,,SDSSJ004757.87+144744.7,2.790,18.72,9.42,QSO pair,
SDSSJ025804.27-001059.9,1.551,18.93,,,SDSSJ025803.81-001118.1,-99,20.05,19.43,Different SED,
SDSSJ074013.44+292648.4,0.980,18.42,,,SDSSJ074013.42+292645.8,0.978,19.68,2.64,QSO pair,1
SDSSJ080435.00+314311.4,2.141,19.05,,,SDSSJ080435.23+314328.7,-99,19.74,17.53,Different SED,
SDSSJ080658.22+273448.0,1.243,18.63,,,SDSSJ080658.17+273450.1,-99,19.91,2.26,No lensing object,
SDSSJ081502.51+262804.2,1.286,18.56,,,SDSSJ081502.28+262804.7,-99,19.53,3.11,Different SED,
SDSSJ081617.73+293639.6,0.768,18.24,,,SDSSJ081618.06+293643.7,-99,19.51,5.92,No lensing object,
SDSSJ081812.94+511923.4,2.098,18.98,,,SDSSJ081813.02+511917.5,-99,19.80,6.05,Different SED,
SDSSJ081904.56+035455.6,0.886,18.44,,,SDSSJ081904.40+035455.8,-99,19.66,2.41,No lensing object,
SDSSJ082046.24+035742.1,1.574,18.57,,,SDSSJ082046.67+035740.9,1.870,19.13,6.44,QSO pair,
SDSSJ083349.46+440952.7,2.011,19.03,,,SDSSJ083349.19+440954.0,-99,19.89,3.17,No lensing object,
SDSSJ083557.50+341455.4,1.328,18.91,,,SDSSJ083556.32+341504.2,1.505,19.44,17.08,QSO pair,
SDSSJ083649.55+484154.0,1.710,18.04,,,SDSSJ083649.45+484150.0,0.657,19.09,4.10,QSO pair,1
SDSSJ090955.54+580143.2,1.712,18.97,,,SDSSJ090956.50+580140.5,1.712,20.18,8.07,QSO pair no lensing object,
SDSSJ092024.21+030636.0,1.363,18.86,,,SDSSJ092024.01+030650.9,1.450,19.56,15.20,QSO pair,
SDSSJ092151.55+524559.7,1.991,18.98,,,SDSSJ092153.00+524551.4,-99,20.17,15.59,Different SED,
SDSSJ094309.66+103400.6,1.239,18.62,,,SDSSJ094309.36+103401.3,1.430,19.60,4.57,QSO pair,
SDSSJ094510.75+472448.8,1.952,18.90,,,SDSSJ094510.88+472435.9,0.560,20.02,12.92,QSO pair,
SDSSJ095711.08+640548.6,1.338,18.62,,,SDSSJ095711.22+640602.7,1.288,19.86,14.11,QSO pair,
SDSSJ095841.15+385629.9,1.639,18.94,,,SDSSJ095839.67+385621.9,-99,18.99,18.98,Different SED,
SDSSJ100034.17+540628.6,1.212,18.64,,,SDSSJ100034.86+540641.4,1.220,19.14,14.19,QSO pair no lensing object,
SDSSJ100304.55+444335.9,1.630,18.80,,,SDSSJ100304.61+444338.8,-99,19.93,2.95,No lensing object,
SDSSJ101930.41+522411.7,1.961,18.24,,,SDSSJ101930.17+522413.2,-99,19.47,2.70,No lensing object,
SDSSJ103423.11+623340.3,1.406,18.76,,,SDSSJ103423.16+623343.3,-99,19.86,3.03,No lensing object,
SDSSJ103519.36+075258.0,1.215,19.03,,,SDSSJ103519.22+075256.3,1.218,20.11,2.66,QSO pair no lensing object,1
SDSSJ103950.00+593511.6,1.560,18.92,,,SDSSJ103949.51+593505.9,-99,19.72,6.81,Different SED,
SDSSJ104213.61+061942.0,1.559,18.67,,,SDSSJ104214.22+061959.1,1.620,19.60,19.41,QSO pair,
SDSSJ104658.02+471726.9,1.532,18.58,,,SDSSJ104657.05+471737.4,2.060,19.24,14.43,QSO pair,
SDSSJ110536.22+031952.4,0.922,18.15,,,SDSSJ110536.29+031955.3,-99,18.92,3.06,Different SED,
SDSSJ110932.13+531635.7,0.982,18.72,,,SDSSJ110932.49+531635.5,1.350,19.00,3.25,QSO pair,
SDSSJ112456.26+090848.8,1.649,19.03,,,SDSSJ112455.65+090849.7,-99,19.43,9.16,No lensing object,
SDSSJ114306.19+025402.1,1.605,19.02,,,SDSSJ114305.85+025413.1,-99,19.89,12.14,No lensing object,
SDSSJ114546.22+032251.9,2.008,19.01,,,SDSSJ114546.54+032236.7,1.773,19.94,15.93,QSO pair,1
SDSSJ115940.79-003203.5,2.033,17.62,,,SDSSJ115940.40-003213.9,-99,18.68,11.83,Different SED,
SDSSJ120457.12+043241.0,1.187,18.28,,,SDSSJ120456.64+043245.7,-99,19.50,8.55,No lensing object,
SDSSJ121002.47+495312.7,1.618,18.96,,,SDSSJ121002.28+495253.1,1.554,20.06,19.74,QSO pair no lensing object,
SDSSJ121636.02+543159.2,1.894,19.01,,,SDSSJ121637.35+543158.2,1.780,20.03,11.57,QSO pair,
SDSSJ121647.22+495720.4,1.200,18.34,,,SDSSJ121647.62+495710.6,1.195,19.55,10.53,QSO pair no lensing object,
SDSSJ122126.47+572414.0,1.959,18.99,,,SDSSJ122126.69+572416.6,-99,20.27,3.12,No lensing object,
SDSSJ125422.00+610421.6,2.055,18.91,,,SDSSJ125420.54+610435.6,2.041,19.27,17.61,QSO pair,1
SDSSJ131008.97+660350.3,1.747,18.90,,,SDSSJ131008.54+660349.6,-99,20.04,2.74,No lensing object,
SDSSJ132732.66-031645.7,1.274,19.06,,,SDSSJ132733.00-031644.3,-99,19.85,5.31,Different SED,
SDSSJ133945.37+000946.1,1.872,18.85,,,SDSSJ133945.06+001004.4,0.978,19.85,18.85,QSO pair from 2dF data,7
SDSSJ134702.84+032233.4,1.710,18.96,,,SDSSJ134703.70+032238.4,-99,18.87,13.80,No lensing object,
SDSSJ134918.53-015734.8,1.586,19.09,,,SDSSJ134919.32-015736.9,-99,19.31,12.01,No lensing object,
SDSSJ135418.26+585935.9,0.791,19.00,,,SDSSJ135418.10+585951.7,-99,19.14,15.82,Different SED,
SDSSJ135752.15+051544.7,1.595,18.92,,,SDSSJ135751.03+051545.5,-99,20.13,16.78,Different SED,
SDSSJ140016.87+542131.7,1.479,18.99,,,SDSSJ140016.19+542136.6,1.810,19.84,7.72,QSO pair,
SDSSJ142359.48+545250.8,1.409,18.31,,,SDSSJ142400.00+545248.7,0.610,19.56,4.94,QSO pair,
SDSSJ142541.12+021018.7,1.665,19.04,,,SDSSJ142542.27+021010.1,-99,19.77,19.27,No lensing object,
SDSSJ142944.25+042202.6,1.148,18.86,,,SDSSJ142944.18+042205.6,-99,19.69,3.20,No lensing object,
SDSSJ143433.45+613752.7,1.818,19.04,,,SDSSJ143432.68+613737.0,0.427,19.21,16.59,QSO pair,
SDSSJ143735.94+033334.3,2.122,18.63,,,SDSSJ143736.44+033326.9,-99,19.13,10.55,Different SED,
SDSSJ144104.91+044348.4,1.112,18.42,,,SDSSJ144104.58+044350.8,-99,18.69,5.48,No lensing object,
SDSSJ150319.42+475206.8,0.757,17.92,,,SDSSJ150319.46+475209.7,-99,18.74,2.84,No lensing object,
SDSSJ151519.40-001103.4,1.564,19.01,,,SDSSJ151519.94-001049.3,-99,19.45,16.36,No lensing object,
SDSSJ152510.00+602828.1,1.337,19.03,,,SDSSJ152510.45+602833.3,-99,19.25,6.19,No lensing object,
SDSSJ154148.81+523051.9,2.054,19.01,,,SDSSJ154148.93+523053.6,-99,19.59,1.94,No lensing object,
SDSSJ155723.93+492607.5,2.195,18.42,,,SDSSJ155723.79+492551.1,-99,19.69,16.46,Different SED,
SDSSJ160547.59+511330.2,1.785,19.09,,,SDSSJ160546.66+511322.6,1.844,18.46,11.63,QSO pair,1
SDSSJ160914.86+380728.1,1.126,18.64,,,SDSSJ160914.85+380730.0,-99,18.68,1.93,No lensing object,
SDSSJ162602.40+334030.0,1.541,18.77,,,SDSSJ162603.61+334025.9,-99,19.97,15.65,No lensing object,
SDSSJ162902.59+372430.8,0.926,19.03,,,SDSSJ162902.63+372435.1,0.906,19.37,4.35,QSO pair no lensing object,1
SDSSJ165248.93+352134.1,1.498,18.33,,,SDSSJ165250.29+352141.6,-99,19.20,18.26,No lensing object,
SDSSJ172633.52+530300.4,0.654,19.00,,,SDSSJ172633.44+530302.0,-99,19.07,1.70,No lensing object,
SDSSJ203845.35+005532.1,1.903,18.53,,,SDSSJ203846.08+005541.4,-99,19.47,14.32,No lensing object different SED,
SDSSJ203955.67-054102.8,1.460,18.90,,,SDSSJ203955.63-054044.7,-99,19.80,18.08,No lensing object,
SDSSJ204030.52-003015.9,1.549,18.84,,,SDSSJ204030.71-003010.5,-99,18.33,6.04,No lensing object,
SDSSJ204113.41-060158.5,1.432,18.63,,,SDSSJ204114.12-060149.0,0.830,19.56,14.19,QSO pair,
SDSSJ210706.22-062506.7,1.577,18.91,,,SDSSJ210706.31-062503.2,-99,19.56,3.71,No lensing object,
SDSSJ211102.60+105038.3,1.897,18.87,,,SDSSJ211102.41+105047.5,1.897,19.02,9.67,QSO pair (different SED),
SDSSJ211230.33-063332.1,1.554,18.94,,,SDSSJ211229.31-063331.4,0.551,19.71,15.21,QSO pair,1
SDSSJ211610.83+111429.0,1.076,18.46,,,SDSSJ211610.58+111423.2,-99,19.23,6.83,Different SED,
SDSSJ212429.83-004727.0,1.614,18.96,,,SDSSJ212430.90-004725.2,-99,19.11,16.26,Different SED,
SDSSJ212956.44-005150.4,1.112,18.98,,,SDSSJ212956.56-005152.4,-99,20.04,2.68,No lensing object,
SDSSJ213414.01-004533.1,1.535,18.77,,,SDSSJ213414.17-004514.6,-99,18.44,18.59,Different SED,
SDSSJ213639.11+114731.8,1.518,19.04,,,SDSSJ213640.40+114736.9,-99,18.13,19.47,Different SED,
SDSSJ220256.32-092556.7,0.723,18.31,,,SDSSJ220257.01-092602.3,-99,18.80,11.71,Different SED,
SDSSJ230250.85+143203.2,0.654,18.99,,,SDSSJ230250.90+143158.5,-99,20.17,4.71,Different SED,
SDSSJ230951.18-094016.3,1.572,19.07,,,SDSSJ230950.59-093958.3,-99,20.32,20.04,Different SED,
SDSSJ235108.66+134322.6,1.218,18.81,,,SDSSJ235108.70+134320.8,-99,19.92,1.86,No lensing object,
SDSSJ235924.73+152541.6,1.574,19.01,,,SDSSJ235924.84+152544.3,-99,19.98,3.09,No lensing object,
SDSSJ235924.73+152541.6,1.574,19.01,,,SDSSJ235924.84+152544.3,-99,19.98,3.09,No lensing object,
