Name,z1,Selection Method,Confirmation Method,i_band_psfmag(extcorr),sep_as,Comment,z2
SDSSJ074942.51+171512.1,2.163,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.87,1.01,No lens object,-99
SDSSJ080009.98+165509.4,0.708,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,17.97,0.79,No lens object,-99
SDSSJ083240.71+060759.3,0.808,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,19.04,1.58,No lens object,-99
SDSSJ094713.15+024743.6,0.641,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.99,1.57,No lens object,-99
SDSSJ135143.59+245248.8,1.286,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,19.06,1.47,No lens object,-99
SDSSJ135404.14+110725.7,1.318,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.26,1.34,No lens object,-99
SDSSJ142326.96+093216.5,0.633,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,19.03,1.58,No lens object,-99
SDSSJ151109.85+335701.7,0.799,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.96,1.10,Binary QSO,0.799
SDSSJ155225.62+300902.0,0.752,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.85,1.25,Binary QSO,0.752
SDSSJ221227.74+005140.5,1.773,Fiber Optical Spectroscopy / Optical Spectroscopy / Optical Imaging,Optical Fiber Spectroscopy,18.88,1.76,No lens object,-99
