Name1,z1,i_band_psfmag(extcorr)1,Name2,z2,i_band_psfmag(extcorr)2,Sep_as,Comment
SDSS J032029.75+000650.0,1.704,19.05,SDSS J032030.90+000658.0,0.000,20.34,18.99,No lens object 
SDSS J034347.00-000706.5,1.975,18.85,SDSS J034347.48-000658.9,0.000,19.30,10.49,No lens object 
SDSS J072653.68+394706.9,1.599,18.92,SDSS J072653.66+394710.6,0.000,18.84,3.69,No lens object 
SDSS J074550.99+503423.1,1.737,18.98,SDSS J074550.78+503430.3,0.000,19.84,7.44,No lens object 
SDSS J080932.70+193847.2,1.670,18.49,SDSS J080931.82+193849.3,0.000,19.28,12.68,No lens object 
SDSS J081210.96+070826.2,1.862,17.65,SDSS J081210.93+070838.7,0.000,16.89,12.39,No lens object 
SDSS J084109.72+250200.2,1.227,19.06,SDSS J084109.88+250216.0,0.000,20.13,15.89,no lens object 
SDSS J084359.79+073229.7,2.175,19.02,SDSS J084359.89+073215.9,0.000,20.28,13.97,no lens object 
SDSS J085705.91+270149.0,1.419,19.08,SDSS J085706.14+270147.6,0.000,20.06,3.36,No lens object 
SDSS J090323.94+313445.6,1.217,18.99,SDSS J090324.19+313443.6,0.000,19.23,3.78,No lens object 
SDSS J090505.55+085826.4,1.082,19.03,SDSS J090505.51+085829.3,0.000,20.22,2.88,No lens object 
SDSS J095820.72+291901.1,1.537,18.65,SDSS J095821.77+291855.5,0.000,19.60,14.75,No lens object 
SDSS J102335.90+384909.4,1.362,18.95,SDSS J102336.00+384908.2,0.000,19.13,1.71,No lens object 
SDSS J103419.11+124608.0,2.104,18.77,SDSS J103419.16+124609.9,0.000,18.69,1.95,No lens object 
SDSS J104655.40+292045.7,1.139,18.94,SDSS J104654.72+292052.3,0.000,19.47,11.03,No lens object 
SDSS J111727.07+420003.0,1.154,19.01,SDSS J111727.08+420000.3,0.000,20.25,2.78,No lens object 
SDSS J112856.75+143352.2,1.533,18.37,SDSS J112856.01+143349.4,0.000,18.58,11.22,No lens object 
