Name1,z1,imag1,Name2,z2,imag2,theta,Com
SDSSJ080713.57+155844.5,2.159,18.97,SDSSJ080713.05+155838.5,0,19.70,9.72,no lensing object
SDSSJ081753.35+125821.5,1.975,18.77,SDSSJ081754.04+125836.0,1.700,19.49,17.57,QSO pair
SDSSJ082234.33+170935.9,1.780,18.39,SDSSJ082234.38+170955.0,1.798,19.65,19.02,QSO pair
SDSSJ082911.62+114008.7,1.476,18.99,SDSSJ082910.61+114012.1,0.802,18.52,15.23,QSO pair
SDSSJ083805.87+145152.2,0.981,19.04,SDSSJ083805.69+145152.7,0,20.26,2.64,no lensing object
SDSSJ090437.50+113427.7,0.918,19.00,SDSSJ090437.41+113426.2,0,18.74,2.06,no lensing object
SDSSJ091146.01+235112.6,1.463,18.82,SDSSJ091146.17+235114.2,0,19.54,2.61,no lensing object
SDSSJ091808.86+243550.0,1.218,18.52,SDSSJ091809.07+243604.0,1.223,19.60,14.22,QSO pair
SDSSJ093230.57+161008.5,1.918,18.86,SDSSJ093230.73+161006.2,0,19.91,3.32,no lensing object
SDSSJ094234.97+231031.1,1.833,18.99,SDSSJ094235.04+231028.9,1.833,19.70,2.45,QSO pair
SDSSJ095657.64+212818.6,1.548,18.11,SDSSJ095657.83+212759.0,0,19.08,19.92,no lensing object
SDSSJ100817.27+141908.6,1.513,19.08,SDSSJ100817.89+141909.1,0,19.47,8.93,no lensing object
SDSSJ100941.34+250104.0,1.873,18.82,SDSSJ100940.58+250053.9,1.982,19.56,14.59,QSO pair
SDSSJ101344.23+285043.5,1.559,18.98,SDSSJ101344.17+285038.1,0,19.74,5.53,no lensing object
SDSSJ102143.28+193425.4,1.436,18.87,SDSSJ102143.57+193421.0,1.870,20.01,6.01,QSO pair
SDSSJ104143.09+195722.1,1.843,18.81,SDSSJ104143.86+195724.4,2.144,19.31,10.91,QSO pair
SDSSJ104836.68+213843.9,1.856,19.04,SDSSJ104836.59+213823.9,0,18.26,20.09,no lensing object
SDSSJ105406.95+315644.6,1.389,18.88,SDSSJ105407.57+315659.2,0,19.74,16.55,no lensing object
SDSSJ110049.03+205129.7,2.161,18.88,SDSSJ110049.81+205135.2,0,17.97,12.03,no lensing object
SDSSJ110807.90+330611.2,1.508,18.75,SDSSJ110808.29+330608.9,2.340,19.67,5.41,QSO pair
SDSSJ111427.40+232729.2,1.111,18.67,SDSSJ111427.30+232730.2,0,19.84,1.71,no lensing object
SDSSJ112713.53+170954.8,1.501,18.98,SDSSJ112713.18+171011.9,0,20.03,17.82,no lensing object
SDSSJ113120.92+172217.9,1.522,18.74,SDSSJ113121.26+172159.7,0,20.01,18.83,no lensing object
SDSSJ123316.04+174854.8,2.187,19.03,SDSSJ123315.30+174908.8,1.643,20.29,17.50,QSO pair
SDSSJ125022.32+174144.5,1.246,19.06,SDSSJ125023.29+174142.3,1.241,18.63,13.91,QSO pair
SDSSJ125150.47+250438.4,1.526,18.81,SDSSJ125150.46+250452.8,0,17.61,14.30,no lensing object
SDSSJ130439.13+210559.9,2.015,18.77,SDSSJ130438.38+210555.4,0,18.25,11.60,no lensing object
SDSSJ130548.06+261930.0,1.496,19.09,SDSSJ130548.83+261932.7,0,18.21,10.67,no lensing object
SDSSJ131017.23+105448.3,2.134,18.68,SDSSJ131018.17+105458.3,0,19.00,16.93,no lensing object
SDSSJ131531.76+262132.3,1.525,18.45,SDSSJ131531.82+262116.2,0,19.08,16.14,no lensing object
SDSSJ131847.14+105245.0,0.844,19.02,SDSSJ131846.35+105233.6,1.910,19.16,16.41,QSO pair
SDSSJ132551.85+080957.2,1.448,18.71,SDSSJ132551.79+080947.0,0,18.01,10.32,no lensing object
SDSSJ133139.33+082647.1,1.586,17.98,SDSSJ133138.87+082641.1,0,19.29,9.15,no lensing object
SDSSJ133353.11+132614.0,1.786,18.86,SDSSJ133353.20+132612.0,0,20.02,2.35,no lensing object
SDSSJ133818.02+095210.8,1.690,18.61,SDSSJ133818.01+095212.3,0,19.61,1.50,no lensing object
SDSSJ134953.90+220927.7,1.308,18.88,SDSSJ134953.79+220912.5,0,19.35,15.25,no lensing object
SDSSJ135020.67+190337.8,1.261,18.40,SDSSJ135020.52+190340.2,0,19.13,3.12,no lensing object
