Name,z,r,f60,f100,logLFIR,delta_V(Halpha),delta_V(Halpha)_err,Spatial Offset (as),Spatial Offset (kpc),delta_V(Hbeta),delta_V(Hbeta)_err
075819.69+421935.1,0.212,17.01,0.33,0.54,11.98,-154,10,0.46,1.57,-226,25
080101.41+184840.7,0.140,16.62,0.08,0.62,11.36,-87,10,0.36,0.89,-110,4
080742.46+375332.1,0.230,18.18,0.06,0.15,11.40,-76,5,0.21,0.78,-105,10
085946.35+274534.8,0.245,17.71,0.15,0.26,11.79,-85,10,0.23,0.87,-105,5
090654.47+391455.3,0.241,17.78,0.12,0.12,11.60,-137,36,0.37,1.40,-101,23
091617.53+303037.9,0.215,18.40,0.10,0.17,11.48,-208,17,0.61,2.12,-236,22
092247.03+512038.0,0.161,17.39,0.16,0.31,11.43,-212,13,0.78,2.17,-215,13
105752.69+105037.9,0.221,17.78,K,K,K,-91,0,0.26,0.93,-137,13
115341.16+101754.0,0.161,16.37,0.25,0.38,11.58,-202,5,0.74,2.07,-189,25
115632.23+112653.8,0.226,17.52,0.15,0.42,11.81,-161,6,0.45,1.64,-191,14
122749.13+321458.9,0.137,17.66,0.16,0.42,11.34,-77,4,0.33,0.79,-91,23
130103.50+065711.7,0.233,17.77,0.07,0.10,11.38,-208,11,0.57,2.13,-290,23
132018.19+390722.7,0.236,18.35,0.11,0.19,11.62,-132,26,0.36,1.34,-165,54
132820.40+240927.4,0.223,17.44,0.04,0.07,11.13,-136,15,0.39,1.39,-118,10
134537.81+633130.5,0.176,17.90,0.05,0.11,11.03,-110,0,0.38,1.12,-128,10
134640.03-030013.1,0.224,18.32,0.06,0.11,11.31,-202,10,0.57,2.06,-254,15
135516.56+561244.6,0.122,16.77,0.07,0.06,10.69,-153,5,0.71,1.56,-103,18
140407.87+185208.3,0.245,18.13,0.18,0.42,11.93,-107,11,0.28,1.09,-138,0
145824.46+363119.5,0.247,16.96,0.10,0.22,11.67,-185,12,0.49,1.89,-275,12
145840.41+195218.6,0.223,17.68,0.20,1.16,12.11,-127,7,0.36,1.30,-179,9
155318.72+170202.9,0.162,17.62,0.14,0.09,11.23,-217,0,0.80,2.22,-322,29
155504.79+134335.8,0.174,17.49,0.11,0.27,11.39,-84,6,0.29,0.86,-120,0
160216.00+111926.9,0.156,17.15,0.26,1.52,11.88,-160,5,0.61,1.64,-227,15
163734.52+305403.5,0.241,18.41,0.07,0.07,11.36,-175,25,0.47,1.79,-211,44
171304.46+352333.5,0.085,16.20,0.14,0.49,10.90,-307,8,1.97,3.14,-388,25
205418.80+004915.9,0.228,18.05,0.17,0.72,11.97,-80,6,0.23,0.82,-87,12
