Name(SDSS),z,r(mag),Reduced_chi2,Reduced_chi2,deltaV
J080544.13+113040.2,0.1991,17.43,10.25,0.69,455
J081359.30+213512.7,0.1800,16.80,0.33,0.23,380
J081542.53+063522.9,0.2438,17.72,0.62,0.14,338
J085431.28-003650.6,0.2370,18.08,0.88,0.20,269
J085632.40+504114.0,0.2346,16.32,1.05,0.50,724
J090427.29+374357.4,0.1983,17.48,0.18,0.09,271
J092140.83+293809.6,0.2262,17.45,2.00,0.53,272
J092635.11+072446.4,0.1894,17.75,3.30,0.26,453
J092820.98+493736.8,0.2383,17.68,0.43,0.15,270
J094439.88+034940.1,0.1554,16.62,0.39,0.10,318
J094822.45+684835.2,0.2020,17.86,13.32,1.37,278
J100208.14+345353.7,0.2052,17.25,1.12,0.21,388
J100627.94+603043.6,0.2103,17.66,0.14,0.08,345
J100642.57+412201.9,0.1498,16.46,2.09,0.66,316
J101312.15+020416.4,0.2201,17.16,0.21,0.08,292
J102152.34+464515.6,0.2043,17.43,0.18,0.09,257
J103359.46+355509.0,0.1688,16.67,4.11,0.22,494
J103808.63+233133.4,0.2260,17.53,4.48,1.51,301
J103953.89+293847.8,0.2461,17.52,1.20,0.60,277
J104111.97+282805.0,0.2110,16.39,0.33,0.11,277
J113020.99+022211.5,0.2412,17.51,1.00,0.22,400
J113257.84+604653.6,0.2325,18.35,2.46,0.61,305
J114247.79+215709.5,0.2309,17.14,0.18,0.13,315
J115349.26+112830.4,0.1766,16.36,1.93,0.19,359
J121522.77+414620.9,0.1961,17.52,3.52,0.16,389
J122311.46+474426.7,0.1627,16.43,1.57,0.28,336
J122313.21+540906.5,0.1559,16.62,12.32,0.59,232
J123341.80+644317.4,0.2221,16.81,0.53,0.13,253
J123509.28+294849.9,0.2430,17.81,1.64,0.32,231
J123557.86+582122.9,0.2115,17.94,6.25,0.43,301
J123915.40+531414.6,0.2013,16.71,1.66,0.69,854
J124013.05+310243.3,0.2357,17.71,0.27,0.11,305
J124238.37+045616.5,0.2338,18.14,1.51,0.18,396
J124323.82+051446.3,0.1642,16.64,0.28,0.15,344
J124813.82+362423.6,0.2069,17.40,7.93,0.30,377
J125016.21+045745.0,0.2337,17.61,0.46,0.15,325
J125051.04+060909.9,0.1821,16.97,2.25,0.24,603
J130007.99+035556.6,0.1841,17.15,2.95,0.39,311
J130416.99+020537.0,0.2286,17.18,0.19,0.08,526
J131256.75+163150.5,0.1646,17.31,3.76,1.30,252
J132105.98+504634.4,0.2330,17.35,0.14,0.10,256
J132508.60+061112.2,0.1831,17.95,3.19,0.75,256
J132832.58-023321.4,0.1836,16.85,1.18,0.13,313
J132931.37+202723.1,0.2314,18.05,0.62,0.18,255
J134327.27+082234.1,0.2426,17.51,1.15,0.16,378
J134615.88+580008.1,0.1625,16.90,2.05,0.70,403
J135550.20+204614.5,0.1962,15.69,2.71,0.18,566
J140208.86+462414.4,0.2369,17.96,0.62,0.25,287
J140914.35+565625.7,0.2386,17.91,0.21,0.12,345
J141041.50+223337.0,0.1728,16.79,1.48,0.54,328
J141053.43+091026.9,0.1779,16.56,3.75,0.21,314
J141315.28+290637.7,0.2252,17.55,0.78,0.37,406
J141556.84+052029.5,0.1264,16.76,3.83,0.31,258
J142040.86+065059.5,0.2375,17.52,0.21,0.07,253
J143422.97+324041.4,0.2455,17.78,0.31,0.13,317
J144347.48+513050.0,0.2005,17.95,0.57,0.28,306
J144748.79+624444.7,0.2299,17.67,0.39,0.21,639
J145434.34+080336.7,0.1298,16.26,2.43,0.12,350
J151907.33+520605.9,0.1379,16.61,3.84,0.55,267
J152422.14+264223.6,0.2365,18.07,0.99,0.09,322
J153231.80+420342.7,0.2095,18.08,9.15,0.37,354
J154307.77+193751.7,0.2289,16.68,1.24,0.11,482
J154316.41+540526.0,0.2452,17.79,0.25,0.14,253
J154518.05+463837.9,0.2282,17.17,1.81,0.26,424
J154732.17+102451.2,0.1381,15.91,1.70,0.28,488
J155318.72+170202.9,0.1611,17.19,0.21,0.04,360
J155446.71+362141.4,0.2494,18.35,0.50,0.17,294
J160518.49+375653.4,0.2009,17.04,0.13,0.06,270
J161649.37-004250.4,0.2379,16.83,3.70,0.23,459
J162633.92+480230.1,0.2426,17.47,0.34,0.10,451
J164331.90+304835.5,0.1837,17.11,0.43,0.30,373
J165939.77+183436.8,0.1708,17.11,5.03,1.58,263
J171411.63+575833.9,0.0926,15.88,0.50,0.06,290
J171526.52+291923.5,0.2082,18.00,0.20,0.11,254
J212203.82+001119.2,0.2289,18.61,4.01,0.43,218
J222909.81+002527.3,0.2276,17.84,0.16,0.06,489
J230155.55-010649.0,0.2383,16.95,1.11,0.05,601
