Table 2.
Summary of observations. NIQ=nearly identical quasar, assigned to systems of quasars at the same redshift but without photometric detection of a lensing galaxy. Selection shows the quasar catalogue and Gaia technique with which the candidate was selected: S=single, D=double, T=triple. All dates are in 2017. WISE magnitudes and colours are given in the AB system.
Name	RA	Dec.	Selection	W1 − W2, W1	Gaia G	Date, Exp. Time	Outcome
J0003+4555	0.96401	45.92215	D+WISE	0.37, 17.95	17.61, 18.97	12 Sep, 600s	quasar+star
J0011−0845	2.83435	−8.76407	D+GMM/WISE	0.10, 17.89	20.31, 20.35	12 Sep, 1200s	lens, z= 1.70
J0028+0631	7.09369	6.53195	S+GMM/WISE	0.16, 16.86	18.95	12 Sep, 1200s	lens, z=1.06
J0030−1525	7.56378	−15.41752	S+WISE	−0.09, 17.01	19.30	13 Sep, 1200s	quad lens, z= 3.36
J0123−0455	20.84084	−4.93266	S+GMM/WISE	0.21, 17.28	20.29	12 Sep, 2100s	lens, z = 1.38
J0127−1441	21.78539	−14.68861	D+WISE	0.61, 18.14	20.15, 20.50	12 Sep, 1200s	NIQ, z= 1.76
J0139+3526	24.88888	35.43658	D+WISE	0.47, 16.52	19.46, 19.65	12 Sep, 600s	NIQ, z = 0.65
J0140−1152	25.01231	−11.872	S+WISE	0.19, 17.07	18.41	12 Sep, 1800s	lens, z = 1.80
J0140+4107	25.20420	41.13331	S+WISE	0.27, 16.82	17.54	12 Sep, 1200s	NIQ, z = 2.50
J0146−1133	26.63691	−11.56113	D+WISE	0.46, 16.87	18.39, 18.66	12 Sep, 1800s	lens, z = 1.44
J0232−2429	38.06565	−24.49433	S+WISE	0.48, 17.14	17.99	13 Sep, 600s	quasar+star
J0235−2433	38.86431	−24.55356	D+WISE	0.34, 16.70	18.12, 18.85	12 Sep, 1800s	lens, z = 1.44
J0259−2338	44.88961	−23.63388	D+WISE	0.13, 16.91	19.23, 20.34	12 Sep, 2400s	lens, z = 1.19
J0322+5024	50.71298	50.41402	D+WISE	0.17, 17.49	18.82, 19.11	12 Sep, 600s	stars
J0417+3325	64.49682	33.41700	S+WISE	0.34, 16.87	19.22	13 Sep, 1200s	lens, z = 1.41
J0511−0351	77.91098	−3.85049	D+WISE	0.57, 18.20	19.25, 19.99	13 Sep, 600s	quasar+other
J0515+0652	78.75772	6.86855	S+WISE	0.35, 18.15	18.98	13 Sep, 1200s	quasar+other
J0616+4912	94.13678	49.20712	S+WISE	0.45, 16.49	18.33	12 Sep, 600s	star+quasar
J0630−1201	97.53796	−12.02223	T+GMM	0.24, 16.89	19.61, 19.76, 19.95	1 Apr, 1200s	5-image lens, z = 3.34
J0659+5217	104.92159	52.28907	D+WISE	0.13, 17.99	18.60, 19.63	12 Sep, 600s	stars
J0723+4739	110.93660	47.65259	S+WISE	0.39, 17.35	19.60	12 Sep, 1200s	inconclusive
J0740+2926	115.05603	29.44677	D+GMM/WISE	0.66, 16.81	18.20, 19.64	12 Sep, 1200s	NIQ, z = 0.98
J0812+3349	123.22844	33.83062	S+GMM	0.55, 18.22	19.75	13 Sep, 1500s	NIQ, z = 1.49
J0822+6659	125.57509	66.99985	D+GMM/WISE	0.29, 16.75	18.77, 19.20	31 Mar, 900s	stars
J0823+4929	125.87600	49.48748	D+GMM/WISE	0.17, 16.99	19.41, 19.99	1 Apr, 600s	quasar pair, z = 0.52, 0.86
J0826+7002	126.53489	70.04488	S+WISE	0.03, 15.90	17.50	13 Sep, 600s	inconclusive, quasar(+star?)
J0840+3550	130.13842	35.83334	S+GMM/WISE	−0.12, 17.21	19.95	31 Mar, 1200s	lens, z = 1.77, zlens=0.26
J0941+0518	145.34378	5.30664	SDSS spectra	−0.05, 16.68	–	31 Mar, 1200s	lens, z = 1.54, zlens=0.34
J0949+4208	147.47830	42.13381	D+GMM/WISE	0.14, 16.72	18.94, 19.81	31 Mar, 1200s	lens, z = 1.27, zlens = 0.51
J1139+4143	174.94610	41.73088	D+GMM/WISE	0.32, 18.05	19.46, 19.62	1 Apr, 1200s	NIQ, z = 2.23
J1147+3634	176.89300	36.57819	D+GMM	0.79, 18.62	19.16, 20.23	31 Mar, 600s	quasar + star
J1239−2216	189.83645	−22.27778	S+GMM/WISE	0.61, 17.81	18.28	1 Apr, 750s	quasar + galaxy
J1440+3736	220.20396	37.61107	S+WISE	0.43, 16.91	19.27	1 Apr, 600s	galaxy + star
J1508+3844	227.18253	38.73934	D+GMM/WISE	0.11, 17.28	20.21, 20.92	31 Mar, 2700s	lens, z = 1.68
J1536+3629	234.01479	36.49226	S+GMM	−0.36, 19.93	20.51	1 Apr, 600s	galaxy at z = 0.111
