Table 4.
Summary of observations. NIQ = nearly identical quasar, assigned to systems of quasars at the same redshift but without photometric detection of a lensing galaxy. The method of selection is shown for each candidate: WD, WT, WQ = ALLWISE double, triple, quad; uW = unWISE model fitting; MQ = Milliquas; SG1  = spectroscopic galaxy with one Gaia detection; MG1  = morphological galaxy with one Gaia detection.
Name	RA	Dec.	Selection	Gaia G	Gaia P.M. sig.	Exp. Time	Outcome
J0013+5119	3.34808	51.31822	WD	20.65, 20.87	2.72, 0.73	1800 s	lens z  = 2.63
J0047+2514	11.94659	25.24085	WD, uW	20.58, 20.69	2.01, -	1800 s	lens z  = 1.20
J0102+2445	15.6965	24.7543	MQ, WD, uW	19.34, 20.22	0.76, -	1200 s	lens z  = 2.085
J0124−0033	21.23943	−0.5533	MG1	20.67	1.05	2400 s	lens z  = 2.84
J0203+1612	30.9977	16.20213	SG1	20.76	-	1200 s	probable lens,
z  = 0.488, 2.18
J0228+3953	37.046244	39.88536	MQ, WD, uW	20.37, 20.93	-, -	1600 s	lens z  = 2.07
J1238+2846	189.67778	28.78297	MQ, WD, uW	20.75, 20.88	0.52, -	2400 s	lens z  = 2.355
J1307+0642	196.92947	6.70376	SG1	20.16	2.44	1800 s	inconclusive
J1418−1610	214.57367	−16.16897	MQ, WD, uW	18.46, 19.33	1.34, 2.50	1200 s	NIQ z  = 1.13
J1428+0500	217.23102	5.00552	MQ, WD, uW	19.89, 19.96	1.50, 2.26	600 s	NIQ z  = 1.38
J1515+3137	228.91601	31.62784	MQ, WD, uW	19.97, 20.83	1.14, -	700 s	lens z  = 1.97
J1518+4658	229.51286	46.97113	WD, uW	19.82, 21.04	2.83, -	900 s	lens? z  = 2.36
J1524+4801	231.12428	48.02056	WD, uW	20.29, 20.60	1.84, -	1500 s	lens z  = 1.70
J1537−3010	234.3556	−30.17134	WT	20.22, 20.32, 20.45	-, -, -	2500 s	lens z  = 1.72
J1553+3149	238.4092	31.82542	WD, uW	18.38, 19.43	1.42, 2.55	600 s	lens z  = 2.55
J1554+5817	238.5769	58.29635	MQ, WD, uW	19.17, 20.01	1.13, 1.09	450 s	NIQ z  = 1.49
J1612+3920	243.05136	39.34632	MG1	20.08	0.26	900 s	lens z  = 1.68
J1616+1415	244.1934	14.26214	WD, uW	19.89, 20.48	2.60, 0.51	600 s	lens z  = 2.88
J1623+7533	245.82049	75.55507	WD, uW	19.47, 20.01	0.30, 2.68	1500 s	lens z  = 2.64
J1627−0224	246.9594	−2.40363	WD, uW	19.25, 20.08	0.99, 0.55	600 s	lens z  = 1.91
J1641+1002	250.35522	10.0484	MQ, WD, uW	18.82, 20.95	1.48, -	1200 s	z  = 1.72 quasar  + other
J1653+5155	253.43865	51.91796	WD, uW	19.94, 20.91	1.97, -	750 s	lens z  = 1.165
J1724+0807	261.07672	8.12308	WD, uW	18.82, 20.26, 20.44	9.71, -, -	600 s	stars + galaxy
J1817+2729	274.37855	27.49447	WQ	18.93, 20.07, 20.72	3.05, 2.56, 0.75	1050 s	quad z  = 3.07
J1949+7732	297.40117	77.54416	MQ, WD, uW	18.71, 19.51	1.22, 2.68	600 s	lens z  = 1.63
J2014−3024	303.72582	−30.41457	WT	18.76, 19.09, 19.24	4.51, 5.00, -	450 s	z  = 2.35 quasar + star
J2032−2358	308.15721	−23.97286	MQ, WD, uW	19.12, 19.26	1.23, 0.67	800 s	NIQ z  = 1.64
J2132+2603	323.0079	26.0517	WT	19.76, 20.89	0.91, -	600 s	lens z  = 2.26
J2145+6345	326.27159	63.76145	WQ	16.86, 17.26, 18.34, 18.56	4.39, 2.86, 1.87, 1.10	900 s	quad z  = 1.56
J2212+3144	333.03355	31.73785	MQ, WD, uW	19.28, 19.97	1.39, 1.58	1200 s	lens z  = 1.71
J2250+2117	342.64396	21.28988	MQ, WD, uW	18.62, 20.27	1.93, -	600 s	lens z  = 1.73
