Name,Sep_as,RA(J2000),Dec(J2000),Selection,Selection Method,Confirmation Method,z
DESJ0027+0232,2.72,6.7619,2.5375,G1,Mid-IR Colors / Mid-IR Imaging / Optical Imaging,Optical Spectroscopy,2.02
DESJ0101-4943,4.02,15.3366,-49.7234,G1,Mid-IR Colors / Mid-IR Imaging / Optical Imaging,Optical Spectroscopy,2.10
DESJ0118-0104,1.74,19.5501,-1.0785,G1,Mid-IR Colors / Mid-IR Imaging / Optical Imaging,Optical Spectroscopy,0.74
DESJ0118-3115,1.00,19.6679,-31.2619,C,Mid-IR Colors / Mid-IR Imaging / Optical Imaging / Optical Colors,Optical Spectroscopy,1.74
DESJ0122+0358,1.71,20.5990,3.9771,G1,Mid-IR Colors / Mid-IR Imaging / Optical Imaging,Optical Spectroscopy,1.69
DESJ0229+0320,2.08,37.4924,3.3419,V,Mid-IR Colors / Mid-IR Imaging / Optical Imaging / Optical Variability,Optical Spectroscopy,1.43
DESJ0254-2243,2.32,43.5720,-22.7315,G1,Mid-IR Colors / Mid-IR Imaging / Optical Imaging,Optical Spectroscopy,2.04
DESJ0313-2546,2.20,48.4088,-25.7751,G1,Mid-IR Colors / Mid-IR Imaging / Optical Imaging,Optical Spectroscopy,1.955
DESJ0443-2403,1.85,70.9802,-24.0572,G1,Mid-IR Colors / Mid-IR Imaging / Optical Imaging,Optical Spectroscopy,1.78
DESJ2215-5204,2.74,333.9171,-52.0679,G1,Mid-IR Colors / Mid-IR Imaging / Optical Imaging,Optical Spectroscopy,2.35
