Table 2.
Quasar pairs. Selection: G1: Gaia 1, G2: Gaia 2, V: variability, C: component fitting. NIQ stands for nearly identical quasar pair.
Name	RA (J2000)	Dec. (J2000)	Selection	Spectrum	Imaging	Outcome
DESJ0027+0232	6.7619	2.5375	G1	ESI	–	z = 2.02 NIQ
DESJ0101−4943	15.3366	−49.7234	G1	EFOSC2	–	z = 2.10 NIQ
DESJ0118−0104	19.5501	−1.0785	G1	ESI	–	z = 0.74 NIQ
DESJ0118−3115	19.6679	−31.2619	C	EFOSC2	SOAR	z =1.74 NIQ
DESJ0122+0358	20.5990	3.9771	G1	EFOSC2	SOAR	z = 1.69 NIQ
DESJ0152−4415	28.1183	−44.2525	C	EFOSC2	SOAR	Projected QSOs, z = 0.62 and z = 2.17
DESJ0229+0320	37.4924	3.3419	V	ESI	–	z = 1.43 NIQ
DESJ0254−2243	43.5720	−22.7315	G1	EFOSC2	SOAR	z = 2.04 NIQ
DESJ0313−2546	48.4088	−25.7751	G1	ESI	SOAR	z = 1.955 NIQ
DESJ0330−4413	52.5070	−44.2266	G1	EFOSC2	SOAR	Projected QSOs, z = 0.52 and z = 1.25
DESJ0443−2403	70.9802	−24.0572	G1	ESI	SOAR	z = 1.78 NIQ
DESJ2215−5204	333.9171	−52.0679	G1	EFOSC2	–	z = 2.35 NIQ
