SDSS_ID,RA,Dec,z,[OIII]dV,AGN_type,Sep_as,Sep_kpc,Exp.,UT_observed
J085841.76+104122.1,08:58:41.76,+10:41:22.1,0.148,384,2,0.40,1.0,13,2012-May-19
J124046.63+512902.1,12:40:46.63,+51:29:02.1,0.597,260,1,1.70,11.0,25,2012-May-20
J140318.10+164959.6,14:03:18.10,+16:49:59.6,0.455,340,1,1.20,6.7,21,2012-May-19
J140646.11+234821.0,14:06:46.11,+23:48:21.0,0.519,310,1,0.90,5.4,22,2012-May-19
J152117.30+075955.4,15:21:17.30,+07:59:55.4,0.463,500,1,1.30,7.4,20,2012-May-20
J152327.57+262940.7,15:23:27.57,+26:29:40.7,0.236,540,2,1.20,4.3,20,2012-May-19
J155634.15+105616.7,15:56:34.15,+10:56:16.7,0.449,420,1,1.40,7.8,16,2012-May-20
J155645.97+241828.5,15:56:45.97,+24:18:28.5,0.220,530,1,1.00,3.4,19,2012-May-19
J165603.68+261722.1,16:56:03.68,+26:17:22.1,0.467,210,1,0.70,1.5,19,2012-May-19
J095942.61+261914.2,09:59:42.61,+26:19:14.2,0.051,248,2,L,L,20,2012-May-20
J102325.57+324348.4,10:23:25.57,+32:43:48.4,0.127,386,2,L,L,20,2012-May-19
J104257.96+385347.2,10:42:57.96,+38:53:47.2,0.107,440,2,L,L,19,2012-May-20
J120343.22+283557.8,12:03:43.22,+28:35:57.8,0.374,850,1,L,L,20,2012-May-20
J143135.43-011159.8,14:31:35.43,-01:11:59.8,0.560,490,1,L,L,19,2012-May-19
J144804.17+182537.9,14:48:04.17,+18:25:37.9,0.038,251,2,L,L,20,2012-May-19
J145408.36+240521.3,14:54:08.36,+24:05:21.3,0.535,400,1,L,L,19,2012-May-19
J145717.69+110412.4,14:57:17.69,+11:04:12.4,0.462,200,1,L,L,20,2012-May-20
J150125.57+111356.6,15:01:25.57,+11:13:56.6,0.151,940,1,L,L,20,2012-May-20
J151842.95+244026.0,15:18:42.95,+24:40:26.0,0.561,280,2,L,L,20,2012-May-20
J152431.41+323750.6,15:24:31.41,+32:37:50.6,0.629,350,2,L,L,27,2012-May-20
J153301.43+070513.7,15:33:01.43,+07:05:13.7,0.354,510,1,L,L,10,2012-May-19
J155619.29+094855.5,15:56:19.29,+09:48:55.5,0.068,410,2,L,L,17,2012-May-20
J160659.57+083514.6,16:06:59.57,+08:35:14.6,0.187,380,2,L,L,11,2012-May-20
J162345.20+080851.1,16:23:45.20,+08:08:51.1,0.199,470,2,L,L,9,2012-May-20
J162939.58+240856.0,16:29:39.58,+24:08:56.0,0.059,257,2,L,L,11,2012-May-20
J210449.13-000919.1,21:04:49.13,-00:09:19.1,0.135,380,2,L,L,11,2012-May-19
