SDSSName,RA,Dec,z,Type,Imager,Exptime(s),UTobserved(yymmdd),Seeing(as),Reference
000249.07+004504.8,00:02:49.07,+00:45:04.8,0.087,530,2,NIRC2/Kp,192,2011-Jan-05,0.6,W;L
000656.85+154847.9,00:06:56.85,+15:48:47.9,0.125,386,2,NIRC2/Kp,300,2011-Jan-05,0.7,W
011802.94-082647.2,01:18:02.94,-08:26:47.2,0.137,350,2,NIRC2/H,630,2009-Sep-22,L,S
013555.82+143529.7,01:35:55.82,+14:35:29.7,0.072,272,2,NIRC2/Kp,960,2009-Sep-11,L,W;L
014209.01-005050.0,01:42:09.01,-00:50:50.0,0.133,248,2,NIRC2/Kp,240,2011-Jan-05,0.7,W
040001.59-065254.1,04:00:01.59,-06:52:54.1,0.171,392,2,NIRC2/Kp,480,2009-Sep-11,L,L
073509.49+403624.3,07:35:09.49,+40:36:24.3,0.103,260,2,NIRC2/Kp,420,2011-Jan-05,0.7,W
073656.47+475946.8,07:36:56.47,+47:59:46.8,0.096,251,2,NIRC2/Kp,240,2011-Jan-05,0.7,L
073849.75+315611.9,07:38:49.75,+31:56:11.9,0.297,297,2,NIRC2/Kp,240,2011-Jan-05,0.7,L
074129.66+392835.9,07:41:29.66,+39:28:35.9,0.210,480,2,NIRC2/Kp,240,2011-Jan-05,0.6,S
074729.76+344018.1,07:47:29.76,+34:40:18.1,0.130,322,2,NIRC2/Kp,240,2011-Jan-05,0.6,W
080740.99+390015.2,08:07:40.99,+39:00:15.2,0.023,609,2,WFPC2/F606W,500,2095-Feb-26,L,W
080841.21+481351.9,08:08:41.21,+48:13:51.9,0.124,340,2,NIRC2/Kp,720,2011-Jan-06,0.6,S;W
081542.53+063522.9,08:15:42.53,+06:35:22.9,0.244,280,1,NIRC2/H,1140,2009-Sep-22,L,S
082107.89+502115.8,08:21:07.89,+50:21:15.8,0.095,342,2,NIRC2/Kp,600,2011-Jan-06,0.9,W;L
082357.80+391630.9,08:23:57.80,+39:16:30.9,0.166,700,1,NIRC2/Kp,420,2011-Jan-05,0.5,S
082857.99+074255.7,08:28:57.99,+07:42:55.7,0.554,300,2,NIRC2/H,1000,2010-Jan-05,L,S
084130.18+393119.2,08:41:30.18,+39:31:19.2,0.132,326,2,NIRC2/Kp,480,2011-Jan-06,1.0,L
084227.46+054716.4,08:42:27.46,+05:47:16.4,0.275,486,2,NIRC2/Kp,480,2011-Jan-06,0.8,L
085358.65+233911.4,08:53:58.65,+23:39:11.4,0.113,223,2,NIRC2/Kp,480,2011-Jan-06,0.9,L
090753.98+141509.2,09:07:53.98,+14:15:09.2,0.120,290,2,NIRC2/Kp,900,2011-Jan-06,0.8,L
090947.85+312443.6,09:09:47.85,+31:24:43.6,0.264,1050,1,NIRC2/Kp,360,2011-Jan-05,0.5,S
090958.32+085542.2,09:09:58.32,+08:55:42.2,0.159,240,2,NIRC2/Kp,720,2011-Jan-06,0.9,S
091649.41+000031.5,09:16:49.41,+00:00:31.5,0.222,310,1,NIRC2/H,1150,2010-Jan-05,L,S
091654.09+521723.0,09:16:54.09,+52:17:23.0,0.219,315,1,NIRC2/Kp,424,2011-Jan-05,0.5,S
094100.81+143614.4,09:41:00.81,+14:36:14.4,0.383,870,2,NIRC2/Kp,480,2011-Jan-06,1.2,S
094124.02+394441.8,09:41:24.02,+39:44:41.8,0.108,440,2,WFPC2/F555W,600,1999-Apr-26,L,W
094144.83+575123.6,09:41:44.83,+57:51:23.6,0.159,410,1,NIRC2/Kp,420,2011-Jan-05,0.5,S
095833.20-005118.6,09:58:33.20,-00:51:18.6,0.086,406,2,NIRC2/Kp,480,2011-Jan-06,1.2,W;L
095833.98+251235.4,09:58:33.98,+25:12:35.4,0.116,335,2,NIRC2/Kp,480,2011-Jan-06,0.9,L
095920.52+422141.7,09:59:20.52,+42:21:41.7,0.153,297,2,NIRC2/Kp,480,2011-Jan-06,0.8,L
095942.61+261914.2,09:59:42.61,+26:19:14.2,0.051,248,2,NIRC2/H,1200,2012-May-20,0.5,L
100145.30+283330.3,10:01:45.30,+28:33:30.3,0.116,550,2,NIRC2/Kp,480,2011-Jan-06,0.8,S
100654.20+464717.2,10:06:54.20,+46:47:17.2,0.123,293,2,NIRC2/Kp,480,2011-Jan-06,0.8,L
101241.20+215556.0,10:12:41.20,+21:55:56.0,0.111,210,1,NIRC2/Kp,420,2011-Jan-05,0.5,S
102004.36+324342.5,10:20:04.36,+32:43:42.5,0.484,340,1,NIRC2/Kp,420,2011-Jan-05,0.5,S
102325.57+324348.4,10:23:25.57,+32:43:48.4,0.127,386,2,NIRC2/H,1200,2012-May-19,0.4,W
103138.67+380651.7,10:31:38.67,+38:06:51.7,0.492,730,1,NIRC2/Kp,540,2011-Jan-05,0.5,S
104257.96+385347.2,10:42:57.96,+38:53:47.2,0.107,440,2,NIRC2/H,1140,2012-May-20,0.6,S;L
105052.46+083934.8,10:50:52.46,+08:39:34.8,0.169,324,2,NIRC2/Kp,540,2011-Jan-06,0.9,L
111013.20+053338.8,11:10:13.20,+05:33:38.8,0.152,830,1,NIRC2/Kp,600,2011-Jan-05,0.4,S
112659.54+294442.8,11:26:59.54,+29:44:42.8,0.102,318,2,NIRC2/Kp,120,2011-Jan-06,0.9,W;L
112907.10+575605.4,11:29:07.10,+57:56:05.4,0.313,337,2,NIRC2/Kp,540,2011-Jan-06,0.9,L
113020.99+022211.5,11:30:20.99,+02:22:11.5,0.241,330,1,NIRC2/Kp,576,2011-Jan-05,0.4,S
113045.33+505509.1,11:30:45.33,+50:55:09.1,0.592,270,1,NIRC2/Kp,420,2011-Jan-05,0.4,S
113105.07+610405.1,11:31:05.07,+61:04:05.1,0.338,330,1,NIRC2/Kp,636,2011-Jan-05,0.4,S
113257.84+604653.6,11:32:57.84,+60:46:53.6,0.233,330,1,NIRC2/Kp,360,2011-Jan-05,0.3,S
114852.65+151415.8,11:48:52.65,+15:14:15.8,0.113,260,1,NIRC2/Kp,360,2011-Jan-05,0.4,S
114908.49+144547.0,11:49:08.49,+14:45:47.0,0.595,200,1,NIRC2/Kp,420,2011-Jan-05,0.4,S
115249.33+190300.3,11:52:49.33,+19:03:00.3,0.097,318,2,NIRC2/Kp,448,2010-Jun-03,0.6,W;L
120240.68+263138.6,12:02:40.68,+26:31:38.6,0.476,450,1,NIRC2/Kp,192,2010-Jun-04,0.4,S
120343.22+283557.8,12:03:43.22,+28:35:57.8,0.374,850,1,NIRC2/H,1200,2012-May-20,0.4,S;W;L
121911.16+042905.9,12:19:11.16,+04:29:05.9,0.555,480,1,NIRC2/H,720,2010-Apr-21,0.8,S
121911.16+042905.9,12:19:11.16,+04:29:05.9,0.555,480,1,NIRC2/Kp,64,2010-Jun-03,0.7,S
121957.51+190003.5,12:19:57.51,+19:00:03.5,0.117,417,2,NIRC2/Kp,448,2010-Jun-03,0.6,L
131106.74+195234.2,13:11:06.74,+19:52:34.2,0.156,319,2,NIRC2/Kp,448,2010-Jun-03,0.7,L
131235.96+500415.8,13:12:35.96,+50:04:15.8,0.116,390,2,NIRC2/Kp,128,2010-Jun-04,0.4,W
132104.59-001445.8,13:21:04.59,-00:14:45.8,0.082,330,2,NIRC2/Kp,448,2010-Jun-03,0.7,L
140231.58+021546.4,14:02:31.58,+02:15:46.4,0.180,308,2,NIRC2/Kp,448,2010-Jun-03,0.7,L
140534.85+244735.0,14:05:34.85,+24:47:35.0,0.130,307,2,NIRC2/Kp,224,2010-Jun-04,0.4,L
140845.73+353218.5,14:08:45.73,+35:32:18.5,0.166,374,2,NIRC2/Kp,448,2010-Jun-03,0.7,L
140923.51-012430.5,14:09:23.51,-01:24:30.5,0.405,270,1,NIRC2/H,1020,2010-Apr-21,0.4,S
143135.43-011159.8,14:31:35.43,-01:11:59.8,0.560,490,1,NIRC2/H,1140,2012-May-19,0.4,S
144012.74+615633.0,14:40:12.74,+61:56:33.0,0.275,800,1,NIRC2/Kp,448,2010-Jun-03,0.7,S
144157.24+094859.1,14:41:57.24,+09:48:59.1,0.220,810,2,NIRC2/Kp,320,2010-Jun-04,0.4,S
144804.17+182537.9,14:48:04.17,+18:25:37.9,0.038,251,2,NIRC2/H,1200,2012-May-19,0.5,L
145156.82+301602.7,14:51:56.82,+30:16:02.7,0.158,513,2,NIRC2/Kp,320,2010-Jun-03,0.8,L
145408.36+240521.3,14:54:08.36,+24:05:21.3,0.535,400,1,NIRC2/H,1140,2012-May-19,0.4,S
145717.69+110412.4,14:57:17.69,+11:04:12.4,0.462,200,1,NIRC2/H,1200,2012-May-20,0.7,S
150125.57+111356.6,15:01:25.57,+11:13:56.6,0.151,940,1,NIRC2/H,1200,2012-May-20,0.8,S
150437.67+541149.6,15:04:37.67,+54:11:49.6,0.305,700,1,NIRC2/Kp,224,2010-Jun-03,0.7,S
150452.34+321414.8,15:04:52.34,+32:14:14.8,0.113,254,2,NIRC2/Kp,384,2010-Jun-03,0.8,W
151659.24+051751.5,15:16:59.24,+05:17:51.5,0.051,324,2,NIRC2/Kp,160,2010-Jun-04,0.5,W;L
151757.36+114452.6,15:17:57.36,+11:44:52.6,0.227,400,2,NIRC2/Kp,320,2010-Jun-03,0.7,S
151842.95+244026.0,15:18:42.95,+24:40:26.0,0.561,280,2,NIRC2/H,1200,2012-May-20,0.6,S
