Name1,RA1,Dec1,Selection,Result,Name2,RA2,Dec2,z1,z2,Sep_as,iA,iB,dV
SDSS J0818+0601A,08:18:30.46,+06:01:38.0,M,Quasar pair,SDSS J0818+0601B,08:18:30.420,+06:01:37.860,2.359,2.361,1.1,18.1,20.0,226
SDSS J0821+0735A,08:21:43.36,+07:35:45.9,C,Quasar pair,SDSS J0821+0735B,08:21:43.241,+07:35:45.108,2.383,2.387,1.3,20.7,21.6,319
SDSS J0930+4614A,09:30:21.16,+46:14:22.8,M,Quasar pair,SDSS J0930+4614B,09:30:20.986,+46:14:23.260,2.393,2.394,1.5,18.4,19.9,111
SDSS J1043+4320A,10:43:24.87,+43:20:49.4,M,Quasar pair,SDSS J1043+4320B,10:43:25.025,+43:20:48.958,2.245,2.225,1.7,21.4,20.7,1778
SDSS J1124+5710A,11:24:55.24,+57:10:56.5,C,Quasar pair,SDSS J1124+5710B,11:24:55.440,+57:10:58.120,2.309,2.315,2.0,18.6,19.7,496
SDSS J1309+5617A,13:09:27.55,+56:17:38.9,C,Quasar pair,SDSS J1309+5617B,13:09:27.338,+56:17:41.161,2.513,2.515,2.8,20.5,21.6,169
SDSS J1405+1350A,14:05:56.92,+13:50:38.3,C,Quasar pair,SDSS J1405+1350B,14:05:56.865,+13:50:39.827,2.345,2.361,1.7,21.7,22.0,1400
SDSS J0035+2659,00:35:31.98,+26:59:59.9,M,2.294,Different SED,,,,,,,,
SDSS J0139+1908,01:39:40.69,+19:08:40.7,MC,3.095,Different SED,,,,,,,,
SDSS J0206+0440,02:06:49.50,+04:40:19.0,C,2.396,Different SED,,,,,,,,
SDSS J0847+1504,08:47:21.96,+15:04:50.2,M,3.280,Different SED,,,,,,,,
SDSS J1001+0156,10:01:40.95,+01:56:43.1,M,2.202,Different SED,,,,,,,,
SDSS J1138+5254,11:38:38.54,+52:54:18.2,M,2.758,Different SED,,,,,,,,
SDSS J1429+2523,14:29:38.20,+25:23:43.4,M,3.904,Different SED,,,,,,,,
SDSS J1551+3303,15:51:37.02,+33:03:19.6,C,3.806,Different SED,,,,,,,,
SDSS J1611+0844,16:11:05.64,+08:44:35.4,C,4.548,Different SED,,,,,,,,
SDSS J1627+5553,16:27:16.69,+55:53:37.0,C,4.072,Different SED,,,,,,,,
SDSS J1715+2831,17:15:17.32,+28:31:29.5,C,2.023,Different SED,,,,,,,,
SDSS J2314-0108,23:14:24.50,-01:08:58.7,C,3.455,Different SED,,,,,,,,
