Table 1.
Summary of spectroscopic observations. The ‘Selection’ column indicates the method(s) with ‘M’ for morphological selection, ‘C’ for colour selection, and ‘S’ for spectroscopic selection (see the text for details). Several candidates were selected by multiple methods. ‘Observation’ indicates the telescope (S-Subaru or K-Keck), the date and setup of the spectroscopic observations (see also Section 3.1). ‘Result’ indicates the conclusion from the follow-up spectroscopy as well as imaging observations described in Section 3.2. The zQSO are taken from the BOSS DR12 catalogue which has redshifts corrected after visual inspection of the spectra. The last column has redshifts from the follow-up spectra except when marked witha which are taken from the BOSS spectrum.
Object ID	RA (J2000)	Dec. (J2000)	Selection	zQSO	Observation	Exp. (s)	Result
SDSS J0033+2015	00:33:37.59	+20:15:38.2	C	2.701	K, 2013 Sep (400/3400+400/8500)	600	Quasar+star
SDSS J0035+2659	00:35:31.98	+26:59:59.9	M	2.294	S, 2015 Jun (300B/L600)	1500	Different SED
SDSS J0114+0722	01:14:38.38	+07:22:28.5	MC	1.828	K, 2013 Sep (400/3400+400/8500)	600	Quasar lens (zl = 0.408)
SDSS J0139+1908	01:39:40.69	+19:08:40.7	MC	3.095	K, 2013 Sep (400/3400+400/8500)	600	Different SED
SDSS J0206+0440	02:06:49.50	+04:40:19.0	C	2.396	K, 2013 Sep (400/3400+400/8500)	600	Different SED
SDSS J0213−0421	02:13:22.86	−04:21:34.3	C	1.910	S, 2015 Feb (300B/L600)	900	Quasar pair z=1.911&0.992
SDSS J0256+0153	02:56:40.76	+01:53:29.3	S	2.600	K, 2013 Sep (400/3400+400/8500)	600	Quasar lens (zl = 0.603)
SDSS J0737+4825	07:37:08.67	+48:25:51.1	M	2.892	S, 2015 Feb (300B/L600)	1080	Quasar lens
SDSS J0757+2150	07:57:20.54	+21:50:07.7	MC	2.128	S, 2014 May (300B/L600)	720	Quasar+galaxy at z = 0.118
SDSS J0818+0601	08:18:30.46	+06:01:38.0	M	2.381	S, 2015 Feb (300B/L600)	900	Quasar pair z=2.359&2.361
SDSS J0821+0735	08:21:43.36	+07:35:45.9	C	2.378	S, 2015 Feb (300B/L600)	1080	Quasar pair z=2.383&2.387
SDSS J0821+4542	08:21:58.66	+45:42:44.4	M	2.066	S, 2014 May (300B/L600)	900	Quasar lens (zl = 0.349)
SDSS J0826+4248	08:26:52.99	+42:48:17.8	MS	1.942	S, 2014 May (300B/L600)	900	Inconclusive
SDSS J0847+1504	08:47:21.96	+15:04:50.2	M	3.280	S, 2015 Feb (300B/SY47)	900	Different SED
SDSS J0921+2854	09:21:15.47	+28:54:44.3	MC	1.410	S, 2015 Feb (300B/L600)	720	Quasar lens (zl = 0.445a)
SDSS J0928+4332	09:28:39.19	+43:32:42.4	MC	3.698	S, 2014 May (300B/SY47)	900	Quasar pair z=3.694&2.995
