Table 7.
Summary of confirmed quasar pairs. See Table 1 for the RA and Dec. of the brighter quasar image (A). The positions and the i-band magnitudes in this table are from the SDSS data base except for J0818+0601 where we used the astrometrically calibrated SOAR images.
Object ID	RAB	Dec.B	zA	zB	Δθ(arcsec)	iA	iB	Δ V (km s−1)
SDSS J0213−0421	02:13:22.865	−04:21:34.341	1.911	0.992	2.0	20.8	18.8	>2000
SDSS J0818+0601	08:18:30.420	+06:01:37.860	2.359	2.361	1.1	18.1	20.0	226
SDSS J0821+0735	08:21:43.241	+07:35:45.108	2.383	2.387	1.3	20.7	21.6	319
SDSS J0928+4332	09:28:39.048	+43:32:42.141	3.694	2.995	1.6	21.1	20.3	>2000
SDSS J0930+4614	09:30:20.986	+46:14:23.260	2.393	2.394	1.5	18.4	19.9	111
SDSS J1043+4320	10:43:25.025	+43:20:48.958	2.245	2.225	1.7	21.4	20.7	1778
SDSS J1124+5710	11:24:55.440	+57:10:58.120	2.309	2.315	2.0	18.6	19.7	496
SDSS J1309+5617	13:09:27.338	+56:17:41.161	2.513	2.515	2.8	20.5	21.6	169
SDSS J1405+1350	14:05:56.865	+13:50:39.827	2.345	2.361	1.7	21.7	22.0	1400
SDSS J1548+2830	15:48:50.776	+28:30:12.714	3.208	1.487	1.7	20.8	20.9	>2000
SDSS J2245+2548	22:45:55.801	+25:48:33.548	2.995	2.178	2.0	20.4	20.7	>2000
Oxford University Press uses cookies to enhance your experience on our website. By selecting ‘accept all’ you are agreeing to our use of cookies. You can change your cookie settings at any time. More information can be found in our Cookie Policy.

Cookie settings
Deny all
Accept all
