Source,RA,Dec,z
SDSS J000249+004504,00:02:49.07,+00:45:04.8,0.0868
SDSS J000911-003654,00:09:11.58,-00:36:54.7,0.0733
SDSS J073117+452803,07:31:17.55,+45:28:03.2,0.0835
SDSS J073656+475946,07:36:56.47,+47:59:46.8,0.0962
SDSS J080218+304622,08:02:18.65,+30:46:22.7,0.0766
SDSS J084624+425842,08:46:24.51,+42:58:42.8,0.2192
SDSS J085841+104122,08:58:41.76,+10:41:22.1,0.1480
SDSS J091646+283526,09:16:46.03,+28:35:26.7,0.1423
SDSS J093024+343057,09:30:24.84,+34:30:57.3,0.0610
SDSS J102325+324348,10:23:25.57,+32:43:48.4,0.1271
SDSS J102727+305902,10:27:27.90,+30:59:02.4,0.1245
SDSS J111201+275053,11:12:01.78,+27:50:53.8,0.0472
SDSS J115249+190300,11:52:49.33,+19:03:00.3,0.0967
SDSS J115822+323102,11:58:22.58,+32:31:02.2,0.1658
SDSS J155619+094855,15:56:19.30,+09:48:55.6,0.0678
SDSS J162345+080851,16:23:45.20,+08:08:51.1,0.1992
SDSS J171544+600835,17:15:44.05,+60:08:35.7,0.1569
SDSS J225420-005134,22:54:20.99,-00:51:34.1,0.0795
