SourceName,OptID,z,RAoptical,Decoptical,RAcore,Deccore,Notes
J0746+4526,G,0.517,07:46:17.92,+45:26:34.47
J0804+5809,08:04:42.79,+58:09:34.94
J0855+4204,G,0.279,08:55:49.15,+42:04:20.12
J0910+0345,G,0.588,09:10:59.10,+03:45:31.68
J1039+0536,G,0.0908,10:39:28.21,+05:36:13.61
J1103+0636,G,0.449,11:03:13.29,+06:36:16.00
J1158+2621,G,0.1120,11:58:20.13,+26:21:12.08,11:58:20.12,+26:21:12.04
J1208+0821,G,0.600,12:08:56.78,+08:21:38.57,12:08:56.78,+08:21:38.44
J1238+1602,S,12:38:21.20,+16:02:41.43
J1240+2122,G,0.357,12:40:13.48,+21:22:33.04
J1326+1924,G,0.1762,13:26:13.67,+19:24:23.75
J1328+2752,G,0.0911,13:28:48.45,+27:52:27.81,13:28:48.43,+27:52:27.55
J1344-0030,G,0.579,13:44:46.92,-00:30:09.28
J1407+5132,G,0.324,14:07:18.49,+51:32:04.88
J1500+1542,G,0.456,15:00:55.18,+15:42:40.64
J1521+5214,G,0.537,15:21:05.90,+52:14:40.15
J1538-0242,G,0.575,15:38:41.31,-02:42:05.52
J1545+5047,G,0.4309,15:45:17.21,+50:47:54.18
J1605+0711,G,0.268,16:05:13.74,+07:11:52.56
J1627+2906,G,0.722,16:27:54.63,+29:06:20.00
J1649+4133,S,16:49:28.32,+41:33:41.58
J1705+3940,G,0.701,17:05:17.83,+39:40:29.25
J1706+4340,S,17:06:25.43,+43:40:40.41
