FCG J000330.7+002756   00 03 31.218  +00 28 04.25   1.12    c  00 03 30.731 +00 27 56.09 000455                      wat
FCG J002042.0-112103   00 20 41.243  -11 21 07.36   0.95    v  00 20 42.045 -11 21 03.42 002611                      nat dd?, ring nearby
FCG J004012.8+012542   00 40 13.004  +01 26 03.05   1.99    v  00 40 12.891 +01 25 42.06 004994                      wat dd?
FCG J004150.2-092548   00 41 51.461  -09 25 47.99   0.64    v  00 41 50.271 -09 25 48.92 005236                      nat dd
FCG J004152.1+002837   00 41 51.586  +00 28 36.22   0.80    v? 00 41 52.109 +00 28 37.37 005238                      nat
FCG J005602.6-012004   00 56 01.880  -01 20 25.26   0.92    v  00 56 02.666 -01 20 04.82 007000                      nat prototypical 0053-015 in A119
FCG J010236.5-005007   01 02 36.812  -00 50 00.99   0.94    c  01 02 36.579 -00 50 07.69 007807                      wat int starwars, first system of group
FCG J010242.4-005032   01 02 41.686  -00 50 27.71   1.16    c  01 02 42.429 -00 50 32.98 007807                      wat int starwars, second system of group
FCG J010403.0-002440   01 04 04.046  -00 24 32.84   0.76    v  01 04 03.040 -00 24 40.94 007991                      nat
FCG J011425.5+002932   01 14 25.792  +00 29 36.77   1.05    c  01 14 25.594 +00 29 32.59 009186                      wat
FCG J011900.1-100346   01 19 01.539  -10 03 29.08   1.09    c? 01 19 00.162 -10 03 46.55 009752                      nat
FCG J012947.0+004633   01 29 47.629  +00 46 32.61   0.95    c  01 29 47.038 +00 46 33.45 011039                      wat bifurcation
FCG J013134.5+003341   01 31 34.481  +00 33 33.12   1.35    v? 01 31 34.533 +00 33 41.77 011265                      wat distorted, core id ambiguous
FCG J013247.1+011545   01 32 46.834  +01 15 54.77   1.49    c  01 32 47.163 +01 15 45.45 011430                      nat
FCG J021052.2-063333   02 10 52.275  -06 33 35.99   1.26    v  02 10 52.223 -06 33 33.63 017193                      nat distorted int
FCG J021234.9-082042   02 12 35.093  -08 20 39.80   0.54    v  02 12 34.934 -08 20 42.16 017581                      nat mg
FCG J021619.7-024433   02 16 21.563  -02 44 15.61   3.36    v? 02 16 19.753 -02 44 33.59 018482                      nat/wat
FCG J024558.4-064859   02 45 58.031  -06 48 59.23   1.32    c  02 45 58.451 -06 48 59.96 022425                      wat
FCG J024612.8-084735   02 46 12.407  -08 47 54.73   0.84    c  02 46 12.819 -08 47 35.89 022456                      nat
FCG J031147.3+010846   03 11 47.767  +01 08 51.80   0.26    c? 03 11 47.362 +01 08 46.64 024970                      nat
FCG J070029.9+494647   07 00 30.262  +49 46 51.45   0.43    c  07 00 29.914 +49 46 47.41 026563                      wat
FCG J070723.0+592725   07 07 24.610  +59 27 10.79   3.68    c? 07 07 23.091 +59 27 25.65 028338                      wat w? mg
FCG J070759.2+444906   07 07 59.675  +44 49 06.07   1.39    c  07 07 59.276 +44 49 06.02 028563                      wat dd ring-lobe
FCG J070825.8+540838   07 08 25.646  +54 08 51.58   1.51    c  07 08 25.861 +54 08 38.84 028693                      nat/wat mg ring-lobe?, wat component?
FCG J071406.0+510000   07 14 05.715  +51 00 07.49   0.64    v  07 14 06.006 +51 00 00.20 030860                      wat
FCG J071424.6+401559   07 14 23.649  +40 16 04.77   0.76    v  07 14 24.611 +40 15 59.29 030985                      nat
FCG J072106.9+363903   07 21 07.948  +36 39 14.26   1.04    v? 07 21 06.968 +36 39 03.26 034421                      wat
FCG J072109.8+531237   07 21 11.665  +53 12 43.38   1.20    c  07 21 09.856 +53 12 37.39 034428                      wat first system of group
FCG J072115.5+531411   07 21 15.169  +53 14 07.53   0.78    v  07 21 15.520 +53 14 11.46 034428                      wat second system of group
FCG J072431.5+501052   07 24 31.382  +50 10 54.30   1.28    c  07 24 31.572 +50 10 52.85 036444                      wat
FCG J072725.1+310934   07 27 25.442  +31 09 26.21   1.61    c  07 27 25.140 +31 09 34.60 038212                      wat
FCG J072930.2+594952   07 29 29.415  +59 49 42.26   0.50    c  07 29 30.246 +59 49 52.79 039493                      nat
