FCG J014001.7-101206   01 39 59.890  -10 12 13.15   1.09       01 40 01.763 -10 12 06.82 012331                      with resolved jet?
FCG J020025.6-075753   02 00 26.361  -07 57 54.19   0.57       02 00 25.616 -07 57 53.55 014831                     
FCG J021612.2-010518   02 16 12.209  -01 05 18.75   0.51       02 16 12.209 -01 05 18.75 018460                      both sides
FCG J021839.6-002151   02 18 39.991  -00 21 45.08   0.40       02 18 39.630 -00 21 51.49 019015                     
FCG J070725.8+450314   07 07 24.389  +45 03 11.23   0.70       07 07 25.868 +45 03 14.69 028354                      mg
FCG J071030.5+562237   07 10 31.483  +56 22 38.05   0.42       07 10 30.541 +56 22 37.97 029472                     
FCG J072147.8+430240   07 21 49.791  +43 02 31.19   0.77       07 21 47.826 +43 02 40.74 034816                      dl
FCG J072409.6+490054   07 24 08.606  +49 01 01.24   0.55       07 24 09.685 +49 00 54.44 036230                      ss
FCG J073113.7+325133   07 31 14.068  +32 51 21.50   0.49       07 31 13.707 +32 51 33.73 040539                      nat?
FCG J073352.5+502209   07 33 52.855  +50 22 07.77   0.31       07 33 52.526 +50 22 09.06 042172                     
FCG J073704.1+360318   07 37 04.179  +36 03 23.82   0.30       07 37 04.107 +36 03 18.89 044194                      int double on one side
FCG J073846.9+205825   07 38 46.173  +20 58 13.28   0.56       07 38 46.963 +20 58 25.23 045393                     
FCG J074129.1+401329   07 41 29.181  +40 13 20.08   0.31       07 41 29.183 +40 13 29.42 047239                     
FCG J074702.3+324720   07 47 02.958  +32 47 17.43   0.31       07 47 02.336 +32 47 20.13 051387                      int double on one side
FCG J075219.8+411552   07 52 20.113  +41 15 46.61   0.38       07 52 19.878 +41 15 52.77 055380                     
FCG J081508.0+111017   08 15 08.067  +11 10 10.95   0.24       08 15 08.090 +11 10 17.76 074727                     
FCG J081649.8+124433   08 16 50.752  +12 44 26.84   0.53       08 16 49.825 +12 44 33.45 076352                     
FCG J082335.7+113206   08 23 35.579  +11 31 45.90   0.75       08 23 35.751 +11 32 06.99 082918                     
FCG J083214.6+395244   08 32 15.200  +39 53 05.10   0.69       08 32 14.664 +39 52 44.80 091378                     
FCG J083315.0+350647   08 33 15.680  +35 06 45.04   0.25       08 33 15.097 +35 06 47.40 092352                     
FCG J083535.2+474435   08 35 36.543  +47 44 44.72   0.50       08 35 35.259 +47 44 35.91 094705                     
FCG J083840.8+380553   08 38 41.221  +38 05 45.01   0.32       08 38 40.864 +38 05 53.65 098048                      wat??
FCG J083840.9+380646   08 38 41.804  +38 06 45.02   0.35       08 38 40.946 +38 06 46.50 098048                      wat??
FCG J084503.7-004929   08 45 03.468  -00 49 21.54   0.48       08 45 03.746 -00 49 29.79 104649                     
FCG J084537.7+260800   08 45 37.238  +26 08 09.55   0.42       08 45 37.741 +26 08 00.79 105253                     
FCG J084637.2+171751   08 46 36.987  +17 17 47.25   0.35       08 46 37.294 +17 17 51.70 106306                     
FCG J084714.0+211602   08 47 14.109  +21 15 55.01   0.24       08 47 14.073 +21 16 02.61 106992                      sz?
FCG J085441.9+575730   08 54 42.267  +57 57 25.01   0.40       08 54 41.973 +57 57 30.13 114909                     
FCG J090127.4+043304   09 01 28.552  +04 33 11.31   0.55       09 01 27.451 +04 33 04.38 122344                     
FCG J090840.6+453642   09 08 39.616  +45 36 28.90   0.54       09 08 40.605 +45 36 42.24 130225                     
FCG J091331.8+272109   09 13 32.200  +27 21 13.23   0.35       09 13 31.886 +27 21 09.91 135709                     
FCG J091905.3+351817   09 19 05.123  +35 18 20.06   0.27       09 19 05.370 +35 18 17.47 141880                     
FCG J092028.6+401857   09 20 28.997  +40 18 53.87   0.27       09 20 28.670 +40 18 57.66 143487                      mg may be larger
FCG J092119.0-022944   09 21 18.523  -02 29 41.24   0.29       09 21 19.077 -02 29 44.53 144375                      mg
FCG J092341.4-013742   09 23 40.683  -01 37 45.01   0.42       09 23 41.468 -01 37 42.59 146954                      mg
FCG J092412.6-070149   09 24 12.857  -07 01 47.92   0.31       09 24 12.696 -07 01 49.60 147578                     
FCG J093741.1+513034   09 37 41.951  +51 30 30.11   0.30       09 37 41.172 +51 30 34.86 162451                     
FCG J094311.0+201125   09 43 10.394  +20 11 29.88   0.54       09 43 11.070 +20 11 25.84 168546                      nat??
FCG J094722.5+423830   09 47 22.812  +42 38 37.77   0.35       09 47 22.576 +42 38 30.71 173283                     
FCG J095023.8+355703   09 50 22.686  +35 56 59.61   0.67       09 50 23.893 +35 57 03.87 176599                     
FCG J095737.9+551106   09 57 38.882  +55 11 07.41   0.24       09 57 37.969 +55 11 06.63 184618                     
FCG J100252.6+122849   10 02 53.321  +12 28 54.77   0.40       10 02 52.628 +12 28 49.90 190498                     
FCG J100305.0+253658   10 03 04.958  +25 37 02.14   0.40       10 03 05.087 +25 36 58.77 190701                      tb
FCG J102214.3+113840   10 22 14.003  +11 38 17.88   0.75       10 22 14.316 +11 38 40.80 212283                     
FCG J102707.2+025807   10 27 07.698  +02 58 05.40   0.31       10 27 07.216 +02 58 07.25 217684                     
FCG J103213.9+275700   10 32 13.914  +27 56 56.34   0.15       10 32 13.952 +27 57 00.77 223316                     
FCG J104357.3-065617   10 43 56.926  -06 56 20.05   0.36       10 43 57.365 -06 56 17.48 236187                      nat?
FCG J105026.2+092547   10 50 26.018  +09 25 57.42   0.48       10 50 26.282 +09 25 47.91 243223                      ss?
FCG J105111.1-070422   10 51 11.101  -07 04 35.36   0.40       10 51 11.155 -07 04 22.34 244138                      FRII lobe?
FCG J105156.2+182557   10 51 56.748  +18 25 53.49   0.27       10 51 56.284 +18 25 57.85 244985                      mg
FCG J105624.7+164429   10 56 26.243  +16 44 31.62   0.69       10 56 24.792 +16 44 29.72 249969                      ss?
FCG J105626.7+015833   10 56 27.757  +01 58 29.88   0.46       10 56 26.779 +01 58 33.68 250001                      dd beads
FCG J110558.4+350118   11 05 58.867  +35 01 12.45   0.34       11 05 58.472 +35 01 18.90 260283                     
FCG J112023.1+540426   11 20 22.119  +54 04 24.96   0.54       11 20 23.161 +54 04 26.93 276080                     
FCG J112159.6+421909   11 22 00.089  +42 19 21.57   0.65       11 21 59.683 +42 19 09.27 278105                     
