FCG J002039.9-111944   00 20 39.955  -11 19 44.06   0.25                                 002613                      ring, a two-component group ring
FCG J070805.8+411351   07 08 05.884  +41 13 51.40   0.63                                 028598                      ring
FCG J071944.2+251219   07 19 44.207  +25 12 19.44   0.68                                 033601                      ring system center
FCG J071944.7+251213   07 19 44.729  +25 12 13.17   0.48                                 033601                      ring center
FCG J073929.8+394711   07 39 29.843  +39 47 11.58   0.77                                 045877                      ring nat?
FCG J080612.0+253131   08 06 12.067  +25 31 31.30   0.48                                 066527                      ring? nat? int
FCG J084815.6+284139   08 48 15.600  +28 41 39.86   0.51                                 108132                      ring? mg d+arc unu
FCG J090124.0+025859   09 01 24.036  +02 58 59.00   0.95                                 122268                      ring? nat int
FCG J090205.4+610310   09 02 05.442  +61 03 10.01   0.44                                 123019                      ring nat? sz? dl distorted int
FCG J090651.5+285547   09 06 51.569  +28 55 47.65   0.28                                 128319                      ring? nat?
FCG J091735.0+425906   09 17 35.085  +42 59 06.27   0.70                                 140244                      ring? for system, w rc? sz? - the flying saucer
FCG J091735.5+425906   09 17 35.515  +42 59 06.28   0.30                                 140244                      ring? for ring              - the flying saucer
FCG J093159.4+201245   09 31 59.442  +20 12 45.77   0.24                                 156278                      ring nat sz? tri? bug int
FCG J093644.1+034045   09 36 44.139  +03 40 45.92   0.48                                 161362                      ring? for system nat? arc? half ring
FCG J093644.6+034043   09 36 44.615  +03 40 43.80   0.48                                 161362                      ring? for ring
FCG J100043.6+204712   10 00 43.672  +20 47 12.91   0.50                                 188081                      ring nat
FCG J104201.5+392701   10 42 01.550  +39 27 01.97   0.46                                 234050                      ring nat?
FCG J104634.0+134445   10 46 34.077  +13 44 45.01   0.31                                 239008                      ring, for smaller ring
FCG J104634.9+134502   10 46 34.959  +13 45 02.68   0.82                                 239008                      ring, for system (larger ring) NGC 3367 - barred spiral
FCG J105006.5+304035   10 50 06.500  +30 40 35.00   0.44                                 242951                      ring
FCG J112309.3+211158   11 23 09.370  +21 11 58.20   0.12                                 279364                      ring, ring-lobe?
FCG J112555.0+200501   11 25 55.020  +20 05 01.11   0.44                                 282486                      ring? lobe? ss? very unu rc? sn? int
FCG J112655.8+170510   11 26 55.817  +17 05 10.20   0.44                                 283581                      ring mg? sz?
FCG J113122.8+212608   11 31 22.875  +21 26 08.21   0.36                                 288639                      ring nat
